" Movie Title"," Distributor"," Gross"," Release"
"Avatar","Fox","$1,209,048","12/18"
"Ice Age: Dawn of the Dinosaurs","Fox","$1,178,779","7/3"
"2012","Sony","$317,333","11/12"
"Bolt","n/a","$306,993","1/23"
"Inglourious Basterds","UIP","$289,951","8/21"
"Up","Disney","$259,652","8/7"
"The Twilight Saga: New Moon","n/a","$242,238","11/27"
"Brüno","n/a","$232,777","7/10"
"The Proposal","Disney","$219,258","7/17"
"Harry Potter and the Half Blood Prince","Warner Bros.","$216,589","7/24"
"Cloudy with a Chance of Meatballs","Sony","$215,098","10/16"
"The Hangover","WB","$205,653","6/19"
"Angels & Demons","Sony","$202,781","5/15"
"The Final Destination","WB","$172,401","9/18"
"The Ugly Truth","Sony","$167,141","10/9"
"Fast and Furious","UIP","$165,730","4/10"
"My Bloody Valentine 3-D","n/a","$160,017","3/6"
"Terminator Salvation: The Future Begins","Sony","$149,382","6/5"
"Monsters Vs. Aliens","UIP","$138,992","4/3"
"Alvin and the Chipmunks: The
Squeakquel","Fox","$138,405","12/25"
"Slumdog Millionaire","n/a","$129,599","3/13"
"Transformers: Revenge of the Fallen","UIP","$125,346","6/26"
"G-Force","Disney","$116,008","9/4"
"Couples Retreat","UIP","$109,548","11/5"
"A Christmas Carol (2009)","Disney","$109,452","11/20"
"Marley and Me","n/a","$107,000","3/13"
"Yes Man","n/a","$95,307","1/16"
"The Curious Case of Benjamin Button","n/a","$91,611","2/6"
"Old Dogs","Disney","$91,608","12/4"
"Night at the Museum: Battle of the
Smithsonian","Fox","$84,423","5/22"
"Michael Jackson's This Is It","Sony","$81,237","10/28"
"He's Just Not That Into You","n/a","$78,202","2/20"
"Public Enemies","UIP","$68,221","7/10"
"Surrogates","Disney","$65,016","10/9"
"Valkyrie","n/a","$64,375","2/13"
"District 9","Sony","$63,741","8/14"
"RockNRolla","n/a","$62,430","1/2"
"Ghosts of Girlfriends Past","WB","$59,644","5/29"
"The Men Who Stare at Goats","n/a","$58,326","12/11"
"17 Again","WB","$57,717","4/24"
"The Tale of Despereaux","n/a","$56,786","1/2"
"The Imaginarium of Doctor Parnassus","n/a","$55,208","12/25"
"Zombieland","Sony","$53,229","10/2"
"Saw VI","n/a","$51,659","10/28"
"Knowing","n/a","$50,844","4/3"
"Crank: High Voltage","n/a","$49,777","4/17"
"Orphan","n/a","$48,888","10/16"
"Spread","n/a","$48,073","8/21"
"Kanikuly strogogo rezhima","n/a","$44,760","9/4"
"Obitaemyy ostrov (The Inhabited Island: Part I)","n/a","$44,671","1/9"
"Friday the 13th (2009)","n/a","$44,633","2/13"
"Bride Wars","n/a","$43,461","1/23"
"Vicky Cristina Barcelona","n/a","$42,390","1/9"
"X-Men Origins: Wolverine","Fox","$42,228","5/1"
"Star Trek","UIP","$42,027","5/8"
"Drag Me to Hell","n/a","$40,562","6/12"
"Coraline","UIP","$40,402","5/15"
"Year One","Sony","$40,266","9/4"
"Julie & Julia","Sony","$39,362","9/25"
"Watchmen","n/a","$38,698","3/13"
"Revolutionary Road","n/a","$38,356","1/30"
"Confessions of a Shopaholic","n/a","$37,376","2/13"
"Hotel for Dogs","n/a","$36,540","3/6"
"Muumi ja vaarallinen juhannus (Moomin and Midsummer Madness)","n/a","$36,374","6/5"
"The Taking of Pelham One, Two, Three","Sony","$34,538","7/31"
"G.I. Joe","UIP","$34,353","8/28"
"The Time Traveler's Wife","n/a","$32,533","10/28"
"Zack and Miri Make a Porno","n/a","$32,040","1/2"
"Duplicity","UIP","$30,928","3/27"
"Race to Witch Mountain","Disney","$29,275","3/20"
"Pangarööv","n/a","$29,195","10/23"
"Seven Pounds","n/a","$29,026","1/16"
"Easy Virtue","n/a","$29,024","7/24"
"Underworld: Rise of the Lycans","n/a","$28,977","2/6"
