" Movie Title"," Distributor"," Gross"," Release"
"Avatar","Fox","$5,124,697","12/18"
"Ice Age: Dawn of the Dinosaurs","FS Film","$4,971,898","7/1"
"Harry Potter and the Half Blood Prince","SMD","$4,340,470","7/17"
"Rööperi (Hellsinki)","Nordisk","$2,795,194","1/9"
"Up","Disney","$2,773,122","10/9"
"The Twilight Saga: New Moon","Nordisk","$2,425,881","11/20"
"Angels & Demons","Dis./Sony","$2,374,690","5/15"
"Havukka-ahon ajattelija (Backwood Philosopher)","Nordisk","$2,266,216","12/25"
"Inglourious Basterds","Finnkino","$2,248,461","9/4"
"Slumdog Millionaire","FS Film","$2,170,664","3/13"
"Täällä Pohjantähden alla (Under the North Star)","Disney","$1,942,703","12/4"
"Bolt","Disney","$1,817,483","2/13"
"Twilight","Nordisk","$1,812,540","1/2"
"Haarautuvan rakkauden talo (The House of Branching Love)","FS Film","$1,801,039","8/21"
"2012","Dis./Sony","$1,481,186","11/13"
"Brüno","Nordisk","$1,411,967","7/10"
"The Hangover","SMD","$1,340,217","6/19"
"Alvin and the Chipmunks: The Squeakquel","FS Film","$1,276,713","12/25"
"Kielletty hedelmä (Forbidden Fruit)","Sandrew","$1,227,505","2/13"
"Monsters Vs. Aliens","Finnkino","$1,225,859","4/3"
"Public Enemies","Finnkino","$1,103,222","8/14"
"Postia pappi Jaakobille (Letters to Father Jacob)","Nordisk","$1,072,135","4/3"
"The Curious Case of Benjamin Button","Sandrew","$1,007,337","2/20"
"G-Force","Disney","$991,305","9/11"
"Män som hatar kvinnor (The Girl with the Dragon Tattoo)","Nordisk","$988,539","3/27"
"Flickan som lekte med elden","Nordisk","$975,940","9/18"
"It's Complicated","Finnkino","$951,412","12/25"
"Transformers: Revenge of the Fallen","UIP","$928,121","6/24"
"Fast and Furious","UIP","$904,547","4/10"
"Terminator Salvation: The Future Begins","Dis./Sony","$859,038","6/3"
"A Christmas Carol (2009)","Disney","$825,823","11/6"
"Fame (2009)","SND","$818,267","10/16"
"Watchmen","Finnkino","$754,219","3/6"
"Michael Jackson's This Is It","Dis./Sony","$716,521","10/28"
"Night at the Museum: Battle of the Smithsonian","FS Film","$705,669","5/20"
"Couples Retreat","Finnkino","$618,163","11/27"
"Pettson & Findus - Glömligheter","FS Film","$609,248","8/28"
"Ralliraita (Rally On!)","Disney","$601,426","2/27"
"Valkyrie","FS Film","$595,066","1/30"
"Gran Torino","Sandrew","$585,360","4/3"
"Star Trek","Finnkino","$547,328","5/8"
"Confessions of a Shopaholic","Disney","$535,786","3/6"
"Julie & Julia","Dis./Sony","$533,335","10/2"
"X-Men Origins: Wolverine","FS Film","$499,225","5/1"
"The Ugly Truth","Dis./Sony","$494,699","9/11"
"The Proposal","Disney","$494,545","8/7"
"Hannah Montana The Movie","Disney","$478,087","5/1"
