" Movie Title","Distributor","Gross","Release"
"Napapiirin sankarit (Lapland Odyssey)","SMD","$4,727,362","10/15"
"Harry Potter and the Deathly Hallows (Part One)","SMD","$3,946,861","11/17"
"Alice in Wonderland (2010)","Disney","$3,794,730","3/12"
"Sex and the City 2","SMD","$3,652,754","6/4"
"Risto Räppääjä ja polkupyörävaras (Ricky Rapper and the Bicycle
Thief)","Nordisk","$3,151,286","2/12"
"Inception","SMD","$3,130,570","7/23"
"Rare Exports: A Christmas Tale","FS Film","$3,028,688","12/3"
"Prinsessa (2010)","SMD","$2,972,664","9/9"
"Shrek Forever After","Finnkino","$2,552,982","7/9"
"Toy Story 3","Disney","$2,542,922","8/27"
"The Twilight Saga: Eclipse","Nordisk","$1,997,451","6/30"
"Sisko tahtoisin jäädä (Run Sister Run!)","Nordisk","$1,636,669","8/13"
"Sherlock Holmes","SMD","$1,582,713","1/22"
"Despicable Me","Finnkino","$1,560,035","10/15"
"Veijarit (The Hustlers)","Nordisk","$1,351,732","12/24"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","FS Film","$1,191,088","12/25"
"The Expendables","Futurefilm","$1,063,547","8/13"
"Robin Hood","Finnkino","$1,018,475","5/12"
"Shutter Island","Finnkino","$1,006,495","2/19"
"Jos rakastat (If You Love)","FS Film","$912,617","1/6"
"The Princess and the Frog","Disney","$897,662","2/19"
"Megamind","Finnkino","$873,889","12/25"
"Täällä Pohjantähden alla 2 (Under the North Star 2)","Dis./Sony","$800,945","9/24"
"Clash of the Titans (2010)","WB","$798,908","4/9"
"Iron Man 2","PPI","$796,554","5/5"
"Valentine's Day","SMD","$783,018","2/12"
"Knight & Day","FS Film","$761,185","7/16"
"Due Date","SMD","$758,200","11/5"
"Prince of Persia: The Sands of Time","Disney","$755,081","5/19"
"Luftslottet som sprängdes (The Girl Who Kicked the Hornet's Nest)","Nordisk","$736,561","1/1"
"Eat Pray Love","Dis./Sony","$731,034","10/8"
"Wall Street: Money Never Sleeps","FS Film","$702,769","10/1"
"Reindeerspotting - Pako joulumaasta","Nordisk","$654,990","4/9"
"Harjunpää ja pahan pappi (Priest of Evil)","Nordisk","$591,366","10/29"
"The Social Network","Dis./Sony","$561,246","10/22"
