" Movie Title"," Gross"
"Harry Potter and the Deathly Hallows (Part Two)","$5,308,968"
"Pirates of the Caribbean: On Stranger Tides (3D)","$5,149,281"
"Cars 2","$3,230,314"
"Johnny English Reborn","$3,160,535"
"The King's Speech","$2,380,158"
"The Twilight Saga: Breaking Dawn Part 1","$2,368,196"
"Sherlock Holmes: A Game of Shadows","$2,232,861"
"Tangled","$2,193,981"
"Rio","$1,946,344"
"The Hangover Part II","$1,912,945"
"The Smurfs","$1,878,874"
"The Adventures of Tintin","$1,823,781"
"Kung Fu Panda 2","$1,674,201"
"The Storage","$1,448,080"
"Transformers 3","$1,377,688"
"Le Havre","$1,352,557"
"Fast Five","$1,184,638"
"Vares - Sukkanauhakäärme","$1,065,663"
"Vares - Pahan suudelma","$997,270"
"Yogi Bear","$990,932"
"Bad Teacher","$974,961"
"Pussikaljaelokuva","$957,694"
"Vares - Huhtikuun tytöt","$957,077"
"Alvin and the Chipmunks: Chipwrecked","$955,293"
"Hella W","$942,533"
"New Year's Eve","$894,884"
"Rise of the Planet of the Apes","$798,730"
"The Tourist","$759,934"
"The Girl with the Dragon Tattoo (2011)","$739,827"
"Midnight in Paris","$698,764"
"Bridesmaids","$653,628"
"Winnie the Pooh","$627,487"
"True Grit","$611,388"
"Svinalängorna (Beyond)","$609,770"
"Red Riding Hood","$600,099"
"Gulliver's Travels","$564,646"
"Rango","$546,820"
"No Strings Attached","$534,103"
"Missä kuljimme kerran (Where Once We Walked)","$529,773"
"Just Go With It","$511,147"
"Horrible Bosses","$500,657"
"Limitless","$497,332"
"In Time","$496,895"
"Tower Heist","$494,743"
"August (2011)","$491,833"
"Friends with Benefits","$481,650"
"Scream 4","$471,529"
"Mr. Popper's Penguins","$460,324"
"Life for Sale","$447,839"
"X-Men: First Class","$434,955"
"Water for Elephants","$434,146"
"127 Hours","$424,449"
"Thor","$418,130"
"Paranormal Activity 3","$417,166"
"Another Year","$415,696"
"Contagion","$415,629"
"The Three Musketeers (2011)","$413,850"
"Mr. Hayhill","$391,784"
"Drive (2011)","$387,039"
"Body of Water","$386,919"
"Crazy, Stupid, Love.","$384,215"
"Happy Feet Two","$375,095"
"The Skin I Live In","$347,930"
"Roskisprinssi (Garbage Prince)","$329,613"
"Sanctum (3D)","$329,371"
"Burlesque","$326,228"
"The Adjustment Bureau","$320,956"
"Gnomeo and Juliet","$312,740"
"Captain America: The First Avenger","$312,658"
"Immortals","$307,547"
"Silence","$286,942"
"Super 8","$274,291"
"Cowboys & Aliens","$267,249"
"The Help","$264,132"
"The Borrowers (Kari-gurashi no Arietti)","$263,337"
"The Tree of Life","$263,068"
"Arthur Christmas","$252,037"
"Battle: Los Angeles","$246,363"
"The Change-Up","$241,072"
"Melancholia","$236,925"
"Hop","$225,774"
"My Week with Marilyn","$223,164"
"The Green Hornet","$218,681"
"Source Code","$216,367"
"Black Swan","$212,884"
"Green Lantern","$201,967"
"Maaginen kristalli (The Magic Crystal)","$195,599"
"Sucker Punch","$190,790"
"I Am Number Four","$183,666"
"Konferenz der Tiere (Animals United)","$181,375"
"Hereafter","$180,386"
"Real Steel","$173,516"
"The Way Back","$169,598"
"One Day","$166,712"
"Life as We Know It","$163,686"
"Conan the Barbarian (2011)","$162,526"
"50/50","$161,802"
"Something Borrowed","$158,246"
"Risto","$154,855"
"Oceans","$142,859"
"Arthur et la guerre des deux mondes","$140,522"
"What's Your Number?","$140,072"
"Klovn: The Movie","$133,660"
"Hanna","$132,751"
"L'arnacoeur (Heartbreaker)","$131,602"
"Eetu ja Konna","$127,766"
"Certified Copy","$124,952"
"Iris (2011)","$122,370"
"The Rite","$121,957"
"Hysteria","$116,979"
"The Fighter","$112,295"
"Biutiful","$112,158"
"The Unknown Woman (2011)","$109,427"
"Justin Bieber: Never Say Never","$108,688"
"Priest","$106,252"
"Paul","$102,688"
"Hodejegerne (Headhunters)","$99,813"
"Hall Pass","$96,651"
"Abduction","$96,048"
"Hyvä poika (Good Son)","$93,781"
"La tête en friche","$92,783"
"Colombiana","$92,636"
"Pina","$91,959"
"Unknown","$89,645"
"I Don't Know How She Does It","$88,763"
"The Thing (2011)","$85,124"
"Don't Be Afraid of the Dark","$84,178"
"Morning Glory","$80,684"
"Noruwei no mori (Norwegian Wood)","$80,312"
"Jägarna 2 (False Trail)","$78,322"
