" Movie Title"," Distributor"," Gross"," Release"
"Bienvenue chez les Ch'tis","Pathé","$193,764,365","2/27"
"Astérix aux jeux olympiques","Pathé","$60,772,186","1/30"
"Madagascar: Escape 2 Africa","PPI","$42,257,796","12/3"
"Indiana Jones and the Kingdom of the Crystal Skull","PPI","$41,114,044","5/21"
"Quantum of Solace","Sony","$30,829,209","10/31"
"Hancock","Sony","$30,812,606","7/9"
"Kung Fu Panda","PPI","$29,315,194","7/9"
"Wall-E","Disney","$27,984,103","7/30"
"The Dark Knight","WB","$27,514,612","8/13"
"The Chronicles of Narnia: Prince Caspian","Disney","$25,455,881","6/25"
"Disco","Studio Canal","$22,322,671","4/2"
"Enfin veuve","Gaumont","$20,744,247","1/16"
"Iron Man","SND","$19,197,690","4/30"
"L'Instinct de mort","Pathé","$18,137,700","10/22"
"National Treasure: Book of Secrets","Disney","$18,124,906","2/13"
"Sex and the City","Metropolitan","$18,069,194","5/28"
"High School Musical 3: Senior Year","Disney","$15,763,462","10/22"
"Paris (2008)","Mars","$15,473,499","2/20"
"Dr. Seuss' Horton Hears a Who!","Fox","$15,469,090","4/2"
"Australia","Fox","$15,016,825","12/24"
"Vicky Cristina Barcelona","WB","$14,995,044","10/8"
"Largo Winch","Wild Bunch","$13,872,826","12/16"
"Into the Wild","Pathé","$13,570,398","1/9"
"Mamma Mia!","PPI","$13,058,056","9/10"
"Entre les murs (The Class)","Haut","$13,018,239","9/24"
"The Mummy: Tomb of the Dragon Emperor","PPI","$12,727,214","8/6"
"L'ennemi public n° 1","Pathé","$12,625,822","11/19"
"The Happening","Fox","$12,388,538","6/11"
"Burn After Reading","Studio Canal","$11,953,191","12/10"
"Transporter 3","EuropaC","$11,370,900","11/26"
"Journey to the Center of the Earth","Metropolitan","$10,789,205","7/16"
"Jumper","Fox","$10,688,551","2/20"
"Le Premier jour du reste de ta vie","Studio Canal","$10,499,301","7/23"
"Ca$h","TFM","$10,366,887","4/23"
"Wanted","PPI","$10,207,415","7/16"
"Changeling","UPI","$10,067,085","11/12"
"Deux jours à tuer","Studio Canal","$10,039,001","4/30"
"What Happens in Vegas","Fox","$9,989,647","5/7"
"Faubourg 36 (Paris 36)","Pathé","$9,932,560","9/24"
"Le Crime est notre affaire","Studio Canal","$9,781,927","10/15"
"The Day the Earth Stood Still (2008)","Fox","$9,772,274","12/10"
"Agathe Cléry","Pathé","$9,690,769","12/3"
"The Incredible Hulk","SND","$9,554,120","7/23"
"Space Chimps","SND","$9,443,041","10/22"
"Taken","EuropaC","$9,430,887","2/27"
"Sweeney Todd: The Demon Barber of Fleet Street","WB","$9,344,714","1/23"
"Il y a longtemps que je t'aime (I've Loved You So Long)","UGC","$9,157,138","3/19"
"No Country for Old Men","PPI","$9,057,277","1/23"
"Seuls two","WB","$8,830,447","6/25"
"Parlez-moi de la pluie","Studio Canal","$8,367,768","9/17"
"MR 73","Gaumont","$8,330,674","3/12"
"Babylon A.D.","Studio Canal","$8,051,142","8/20"
"Cloverfield","PPI","$8,025,625","2/6"
"Vilaine","SND","$7,913,951","11/12"
"Juno","Fox","$7,860,919","2/6"
"10,000 B.C.","WB","$7,811,232","3/12"
"Les Femmes de l'ombre (Female Agents)","TFM","$7,710,386","3/5"
"Rambo","Metropolitan","$7,565,578","2/6"
"Body of Lies","WB","$7,047,530","11/5"
"The Water Horse: Legend of the Deep","Sony","$6,824,706","2/13"
"Two Lovers","Wild Bunch","$6,571,300","11/19"
"Séraphine","Diaphana","$6,561,855","10/1"
"21","Sony","$6,417,965","6/4"
"La Fille de Monaco (Girl From Monaco)","WB","$6,215,039","8/20"
"The Spiderwick Chronicles","PPI","$6,200,845","4/16"
"Mes amis, mes amours","Pathé","$6,010,555","7/2"
"Survivre avec les Loups","Bac","$5,876,215","1/16"
"There Will Be Blood","Disney","$5,843,976","2/27"
"Go Fast","EuropaC","$5,778,100","10/1"
"Alien vs. Predator - Requiem","Fox","$5,711,339","1/2"
"L'Empreinte de l'ange","Diaphana","$5,400,009","8/13"
"The Darjeeling Limited","Fox","$5,364,473","3/19"
"Righteous Kill","Metropolitan","$5,297,800","10/8"
"Les Enfants de Timpelbach","Pathé","$5,252,212","12/17"
"Cliente","Gaumont","$5,249,009","10/1"
"Un conte de Noël (A Christmas Tale)","Bac","$5,216,577","5/21"
"[Rec]","Wild Side","$5,196,755","4/23"
"Pour elle (Anything for Her)","Wild Bunch","$5,169,270","12/3"
"Nim's Island","SND","$5,152,767","4/9"
"Chasseurs de dragons (Dragon Hunters)","Bac","$5,150,361","3/26"
"Mirrors","Fox","$5,012,490","9/10"
"Charlie Wilson's War","PPI","$4,937,452","1/16"
"Sagan","EuropaC","$4,886,440","6/11"
"The Bank Job","Metropolitan","$4,849,100","8/6"
"Niko - Lentäjän poika (Niko & The Way to the Stars)","Bac","$4,796,060","12/17"
"Comme les autres","Mars","$4,718,300","9/3"
"Hellboy II: The Golden Army","PPI","$4,663,941","10/29"
"Secret défense","UGC","$4,645,133","12/10"
"Les Liens du sang","Studio Canal","$4,607,318","2/6"
"Be Kind, Rewind","EuropaC","$4,606,761","3/5"
"Vantage Point","Sony","$4,523,306","3/19"
"Step Up 2 the Streets","PPI","$4,485,795","4/9"
"Tropic Thunder","PPI","$4,460,777","10/15"
"Mia et le Migou","Gebeka","$4,414,342","12/10"
"Coluche, l'histoire d'un mec","Mars","$4,346,054","10/15"
"Gomorra","Le Pacte","$4,301,513","8/13"
"27 Dresses","Fox","$4,286,004","4/23"
"Vals Im Bashir (Waltz with Bashir)","Le Pacte","$4,240,300","6/25"
"Saw V","Metropolitan","$4,134,338","11/5"
"It's a Free World...","Diaphana","$4,120,202","1/2"
"The Other Boleyn Girl","Wild Bunch","$4,013,238","4/2"
"Musée haut, musée bas","WB","$3,860,046","11/19"
"15 ans et demi","Gaumont","$3,849,338","4/30"
"Nos 18 ans","TFM","$3,778,775","7/16"
"L'Heure d'été (Summer Hours)","MK2","$3,772,116","3/5"
"Le Grand alibi","UGC","$3,748,374","4/30"
"P.S. I Love You","SND","$3,726,641","2/6"
"Sans arme, ni haine, ni violence","Mars","$3,645,950","4/16"
"Made of Honor","Sony","$3,641,204","6/18"
"Get Smart","WB","$3,600,133","9/10"
"Louise-Michel","Ad Vitam","$3,567,443","12/24"
"In Bruges","SND","$3,534,566","6/25"
"Les Randonneurs à Saint-Tropez","TFM","$3,531,094","4/9"
"La Jeune fille et les loups","WB","$3,524,364","2/13"
"Bangkok Dangerous (2008)","TFM","$3,456,700","8/27"
"Street Kings","Fox","$3,345,707","6/25"
"The X-Files: I Want to Believe","Fox","$3,335,186","7/30"
"Winx club - Il segreto del regno perduto (Winx Club: The Secret of the Lost Kingdom)","Quinta","$3,281,125","4/2"
"Max Payne","Fox","$3,233,461","11/12"
"1408","TFM","$3,008,068","1/16"
"Happy-Go-Lucky","MK2","$2,962,788","8/27"
"Bedtime Stories","Disney","$2,957,682","12/24"
"Etz Limon (Lemon Tree)","Ocean","$2,846,667","4/23"
"Cleaner","Colifilms","$2,810,633","5/14"
"Meet Dave","Fox","$2,803,465","8/13"
"The Oxford Murders","Fabrique","$2,750,123","3/26"
"Star Wars: The Clone Wars","WB","$2,725,380","8/27"
"Eagle Eye","PPI","$2,694,083","12/24"
"Atonement","Studio Canal","$2,691,000","1/9"
"Le Silence de lorna (Lorna's Silence)","Diaphana","$2,678,831","8/27"
"Passe-passe","WB","$2,604,719","4/16"
"Le Bouquet final (des fleurs pour tout le monde)","Gaumont","$2,593,445","11/5"
"The Meerkats","Wild Bunch","$2,539,708","10/15"
"Appaloosa","Metropolitan","$2,535,685","10/1"
"Dan in Real Life","EuropaC","$2,517,800","9/17"
"Mongol","Metropolitan","$2,419,436","4/9"
"The Eye","Mars","$2,396,100","4/9"
"Lakeview Terrace","Sony","$2,355,478","10/1"
"La Vie moderne","Ad Vitam","$2,306,409","9/24"
"J'ai toujours rêvé d'être un gangster","Mars","$2,253,690","3/26"
"Mes Stars et moi","Studio Canal","$2,169,668","10/29"
"Modern Love","Pathé","$2,135,130","3/12"
"You Don't Mess with the Zohan","Sony","$2,128,014","8/27"
"El Orfanato (The Orphanage)","Wild Bunch","$2,099,482","3/5"
"La Personne aux deux personnes","Studio Canal","$2,089,732","6/18"
"The Spirit","Sony","$2,077,867","12/31"
"Tu peux garder un secret?","Wild Bunch","$2,061,028","5/7"
"The Accidental Husband","Metropolitan","$2,058,869","8/27"
"Cortex","Wild Bunch","$2,053,308","1/30"
"Fly Me to the Moon","MK2","$2,031,222","10/29"
"Superhero Movie","TFM/TWC","$1,965,765","6/4"
"J'irai dormir à Hollywood","Disney","$1,944,870","11/19"
"30 Days of Night","SND","$1,942,095","1/9"
"Le Nouveau protocole","Studio Canal","$1,938,761","3/19"
"Affaire de famille","Fabrique","$1,937,363","6/4"
"L'Emmerdeur (2008)","TFM","$1,900,973","12/10"
"The Forbidden Kingdom","TFM","$1,897,010","9/24"
"Les Plages d'Agnès","Losange","$1,873,418","12/17"
"The Visitor","TFM","$1,803,822","10/29"
"The Duchess","Pathé","$1,761,579","11/12"
"Four Christmases","Metropolitan","$1,752,200","12/31"
"The Bucket List","WB","$1,736,387","2/27"
"Si jie (Lust, Caution)","UGC","$1,735,655","1/16"
"The Crimson Wing: Mystery of the Flamingos","Disney","$1,710,436","12/17"
"3:10 to Yuma (2007)","TFM/TWC","$1,694,205","3/26"
"Death Race","PPI","$1,690,712","10/15"
