" Movie Title"," Gross"
"Harry Potter and the Deathly Hallows (Part One)","$51,104,397"
"Shrek Forever After","$46,616,337"
"Alice in Wonderland (2010)","$45,855,971"
"Les petits mouchoirs (Little White Lies)","$44,380,398"
"Inception","$43,437,833"
"Toy Story 3","$40,499,578"
"Tangled","$39,405,587"
"L'arnacoeur (Heartbreaker)","$37,273,565"
"The Twilight Saga: Eclipse","$32,987,421"
"The Princess and the Frog","$32,378,176"
"Camping 2","$30,777,193"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$28,757,248"
"Despicable Me","$28,507,123"
"Arthur et la guerre des deux mondes","$27,367,493"
"Des hommes et des dieux (Of Gods and Men)","$27,211,609"
"Invictus","$26,616,922"
"Shutter Island","$26,406,255"
"La Rafle. (The Round-Up)","$24,297,695"
"Oceans","$23,878,845"
"How to Train Your Dragon","$22,605,822"
"Iron Man 2","$19,792,160"
"Clash of the Titans (2010)","$19,294,563"
"Sherlock Holmes","$18,553,178"
"Robin Hood","$18,209,877"
"Potiche","$18,154,444"
"Prince of Persia: The Sands of Time","$16,654,853"
"Knight & Day","$14,335,598"
"The Expendables","$13,547,449"
"Les aventures extraordinaires d'Adèle Blanc-Sec (The Extraordinary Adventures of Adèle Blanc-Sec)","$13,331,416"
"The Social Network","$13,145,055"
"L'immortel (22 Bullets)","$12,946,267"
"The Sorcerer's Apprentice","$12,930,320"
"Le mac","$12,886,305"
"Salt","$12,324,585"
"Megamind","$11,629,091"
"The Last Airbender","$11,546,248"
"Tout ce qui brille","$11,158,430"
"The Karate Kid","$10,926,086"
"Little Fockers","$10,884,568"
"Sammy's Adventures: The Secret Passage","$10,767,225"
"Sex and the City 2","$10,398,517"
"Percy Jackson & The Olympians: The Lightning Thief","$10,356,705"
"Les émotifs anonymes","$10,148,457"
"Valentine's Day","$9,960,261"
"L'homme qui voulait vivre sa vie (The Big Picture)","$9,500,875"
"Fatal","$9,267,224"
"Serge Gainsbourg, vie héroïque","$9,234,225"
"The A-Team","$9,138,205"
"Resident Evil: Afterlife","$9,009,612"
"La tête en friche","$8,917,241"
"The Town","$8,913,333"
"L' Italien","$8,895,760"
"Step Up 3-D","$8,701,891"
"L'amour, c'est mieux à deux","$8,365,271"
"Un balcon sur la mer (A View of Love)","$8,328,979"
"Planet 51","$8,264,852"
"À bout portant (Point Blank)","$7,872,079"
"The Ghost Writer","$7,870,069"
"You Will Meet a Tall Dark Stranger","$7,399,145"
"The Tourist","$7,154,754"
"Piranha 3D","$6,876,965"
"Paranormal Activity 2","$6,876,138"
"Il reste du jambon?","$6,846,472"
"Red","$6,564,318"
"Due Date","$6,505,509"
