" Movie Title"," Distributor"," Gross"," Release"
"Intouchables","n/a","$151,233,825","11/2"
"Rien à déclarer (Nothing to Declare)","n/a","$74,563,018","2/2"
"Harry Potter and the Deathly Hallows (Part Two)","Warner Bros.","$67,311,500","7/13"
"The Adventures of Tintin","Sony","$53,970,688","10/26"
"Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$49,217,332","5/18"
"Puss in Boots","PPI","$33,237,577","11/30"
"The Twilight Saga: Breaking Dawn Part 1","n/a","$31,131,910","11/16"
"Rise of the Planet of the Apes","Fox","$29,754,730","8/10"
"Kung Fu Panda 2","PPI","$27,859,798","6/15"
"Transformers 3","PPI","$27,705,388","6/29"
"The Smurfs","Sony","$27,621,245","8/3"
"Cars 2","Disney","$27,585,179","7/27"
"The King's Speech","Wild Bunch","$26,779,314","2/2"
"Rio","Fox","$24,764,458","4/13"
"Black Swan","Fox","$23,924,495","2/9"
"The Hangover Part II","Warner Bros.","$23,152,607","5/25"
"Fast Five","UPI","$23,113,416","5/4"
"Polisse","n/a","$19,798,008","10/19"
"X-Men: First Class","Fox","$19,537,368","6/1"
"Les femmes du 6ème étage","n/a","$19,282,664","2/16"
"Mission: Impossible - Ghost Protocol","PPI","$18,806,515","12/14"
"Hollywoo","Studio Canal","$18,593,269","12/7"
"Thor","PPI","$18,370,989","4/27"
"Hereafter","Warner Bros.","$16,700,888","1/19"
"Un monstre à Paris","Europa","$16,166,105","10/12"
"Case départ","n/a","$16,056,145","7/6"
"Alvin and the Chipmunks: Chipwrecked","Fox","$14,803,381","12/21"
"Midnight in Paris","n/a","$14,501,463","5/11"
"La Nouvelle Guerre des Boutons (War of the Buttons)","n/a","$13,602,454","9/21"
"Super 8","PPI","$13,595,891","8/3"
"Titeuf, le film","n/a","$13,534,815","4/6"
"Les Tuche","n/a","$13,366,390","7/1"
"Drive (2011)","n/a","$13,264,311","10/5"
"L'élève Ducobu","UGC","$12,949,509","6/22"
"The Artist","Warner Bros.","$12,896,329","10/12"
"Bienvenue à bord","n/a","$12,547,434","10/5"
"La fille du puisatier (The Well Digger's Daughter)","n/a","$11,870,967","4/20"
"Largo Winch 2: The Burma Conspiracy","Wild Bunch","$11,730,112","2/16"
"La guerre des boutons (War of the Buttons)","UGC","$11,690,535","9/14"
"Tron Legacy","Disney","$11,549,298","2/9"
"True Grit","PPI","$11,533,147","2/23"
"Rango","PPI","$10,563,989","3/23"
"Le fils à Jo","n/a","$10,440,917","1/12"
"Konferenz der Tiere (Animals United)","Metropolitan","$10,405,710","2/9"
"Captain America: The First Avenger","PPI","$10,284,742","8/17"
"Scream 4","n/a","$9,792,016","4/13"
"Les Lyonnais (A Gang Story)","n/a","$9,706,275","11/30"
"Hugo","Metropolitan","$9,600,362","12/14"
"Real Steel","Disney","$9,539,371","10/19"
"Final Destination 5","Warner Bros.","$9,289,177","8/31"
"La chance de ma vie","n/a","$9,163,162","1/5"
"Bad Teacher","Sony","$9,096,392","7/27"
"Unknown","Studio Canal","$8,941,125","3/2"
"The Tree of Life","Europa","$8,913,366","5/18"
"Season of the Witch","Metropolitan","$8,789,369","1/12"
"Ma part du gâteau","Studio Canal","$8,735,527","3/16"
"In Time","Fox","$8,672,556","11/23"
"No Strings Attached","PPI","$8,154,245","2/16"
"Cowboys & Aliens","PPI","$7,852,035","8/24"
"Limitless","n/a","$7,809,396","6/8"
"Green Lantern","Warner Bros.","$7,594,611","8/10"
"The Way Back","Metropolitan","$7,404,457","1/26"
"Arthur Christmas","Sony","$7,352,342","11/23"
"The Green Hornet","Sony","$7,337,939","1/12"
"The Rite","Warner Bros.","$7,306,480","3/9"
"Paranormal Activity 3","PPI","$7,120,341","10/19"
"The Borrowers (Kari-gurashi no Arietti)","Disney","$7,010,476","1/12"
"Halal police d'État","Europa","$6,973,154","2/16"
"Horrible Bosses","Warner Bros.","$6,950,206","8/17"
"Mr. Popper's Penguins","Fox","$6,725,483","7/20"
"Source Code","n/a","$6,556,672","4/20"
"Gulliver's Travels","Fox","$6,473,272","2/23"
"La guerre est déclarée (Declaration of War)","Wild Bunch","$6,438,116","8/31"
"Mon pire cauchemar (My Worst Nightmare)","n/a","$6,364,190","11/9"
"Paul","UPI","$6,216,220","3/2"
"La conquête (The Conquest)","n/a","$6,200,674","5/18"
"La croisière","n/a","$6,173,048","4/20"
"Water for Elephants","Fox","$5,987,605","5/4"
"Tu seras mon fils","UPI","$5,927,814","8/24"
