" Movie Title","Distributor","Gross","Release"
"Madagascar: Escape 2 Africa","UPI","$45,925,782","12/4"
"Quantum of Solace","Sony","$40,739,699","11/6"
"Mamma Mia!","UPI","$39,040,538","7/17"
"Hancock","Sony","$39,008,160","7/3"
"Indiana Jones and the Kingdom of the Crystal Skull","UPI","$30,206,069","5/22"
"The Dark Knight","WB","$29,669,980","8/21"
"Earth (2007)","Universum","$29,298,899","2/7"
"Sex and the City","WB","$27,111,878","5/29"
"Kung Fu Panda","UPI","$25,866,121","7/3"
"I Am Legend","WB","$25,290,675","1/10"
"Wall-E","Disney","$24,130,400","9/25"
"Die Welle (The Wave)","Constantin","$23,620,131","3/13"
"Der Baader-Meinhof Komplex","Constantin","$22,123,995","9/25"
"P.S. I Love You","Tobis","$21,851,316","1/17"
"National Treasure: Book of Secrets","Disney","$18,646,685","1/24"
"High School Musical 3: Senior Year","Disney","$17,865,900","10/23"
"You Don't Mess with the Zohan","Sony","$17,732,656","8/14"
"Bienvenue chez les Ch'tis","Kinowelt","$17,147,691","10/30"
"Australia","Fox","$16,239,240","12/25"
"The Mummy: Tomb of the Dragon Emperor","UPI","$16,137,978","8/7"
"1 1/2 Ritter - Auf der Suche nach der hinreißenden Herzelinde","WB","$14,348,566","12/18"
"Dr. Seuss' Horton Hears a Who!","Fox","$13,914,992","3/13"
"Die Wilden Kerle 5","Disney","$13,250,133","2/21"
"Astérix aux jeux olympiques","Constantin","$13,202,873","1/31"
"The Chronicles of Narnia: Prince Caspian","Disney","$13,108,900","7/31"
"Burn After Reading","Tobis","$12,654,607","10/2"
"What Happens in Vegas","Fox","$11,844,131","5/8"
"Krabat","Fox","$11,826,472","10/9"
"Die Buddenbrooks","WB","$11,422,762","12/25"
"Kirschblüten - Hanami (Cherry Blossoms)","Majestic","$10,127,883","3/6"
"Inkheart","WB","$10,112,691","12/11"
"Wanted","UPI","$9,207,537","9/4"
"Juno","Fox","$9,131,521","3/20"
"The Bucket List","WB","$9,003,392","1/24"
"Step Up 2 the Streets","Constantin","$8,959,609","3/6"
"Bedtime Stories","Disney","$8,873,264","12/25"
"10,000 B.C.","WB","$8,871,023","3/6"
"Iron Man","Concorde","$8,560,475","5/1"
"The Day the Earth Stood Still (2008)","Fox","$8,274,119","12/11"
"Die Geschichte vom Brandner Kaspar","Concorde","$8,103,443","10/16"
"Sommer","Disney","$7,974,937","4/17"
"The Game Plan","Disney","$7,821,375","3/27"
"Freche Mädchen","Constantin","$7,645,100","7/17"
"21","Sony","$7,622,140","4/10"
"Saw IV","Kinowelt","$7,391,703","2/7"
"Meet the Spartans","Fox","$7,109,113","2/28"
"27 Dresses","Fox","$6,983,532","2/14"
"Nights in Rodanthe","WB","$6,612,489","10/16"
"Rambo","WB","$6,540,748","2/14"
"No Country for Old Men","UPI","$6,380,205","2/28"
"Vantage Point","Sony","$6,272,784","2/28"
"Jumper","Kinowelt","$6,258,666","3/27"
"Get Smart","WB","$5,745,900","7/17"
"Hellboy II: The Golden Army","UPI","$5,731,226","10/16"
"Die Rote Zora","UPI","$5,631,932","1/24"
"Superhero Movie","Senator","$5,529,622","7/24"
"Vicky Cristina Barcelona","Concorde","$5,450,265","12/4"
"Body of Lies","WB","$5,351,455","11/20"
"The Kite Runner","UPI","$5,300,155","1/17"
"Der Mondbär - Das grosse Kinoabenteuer","Universum","$4,807,831","10/16"
"Sweeney Todd: The Demon Barber of Fleet Street","WB","$4,577,911","2/21"
"The Happening","Fox","$4,557,146","6/12"
"Forgetting Sarah Marshall","UPI","$4,524,552","6/12"
"Tropic Thunder","UPI","$4,429,024","9/18"
"Made of Honor","Sony","$4,318,556","5/15"
"Dodo (2007)","WB","$4,138,755","1/1"
"Nim's Island","UPI","$4,074,404","6/19"
"Charlie Wilson's War","UPI","$4,060,021","2/7"
"Nordwand","Majestic","$4,030,997","10/23"
"Wolke Neun","Senator","$3,874,417","9/4"
"Michael Clayton","Constantin","$3,822,030","2/28"
"The Spiderwick Chronicles","UPI","$3,446,723","3/20"
"Babylon A.D.","Concorde","$3,415,400","9/11"
"Eagle Eye","UPI","$3,379,769","10/9"
"The X-Files: I Want to Believe","Fox","$3,183,486","7/24"
"Recep Ivedik","Kinostar","$3,143,369","3/13"
"Urmel voll in Fahrt","Constantin","$3,072,041","5/1"
"The Darjeeling Limited","Fox","$2,977,631","1/3"
"Street Kings","Fox","$2,913,583","4/17"
"Cloverfield","UPI","$2,903,601","1/31"
"The Accidental Husband","Disney","$2,835,280","11/13"
"Fool's Gold","WB","$2,764,004","4/24"
"Max Payne","Fox","$2,752,715","11/20"
"Der Rote Baron","WB","$2,587,511","4/10"
"In Bruges","Tobis","$2,562,837","5/15"
"Mirrors","Kinowelt","$2,551,888","10/30"
"Wild Child","UPI","$2,533,905","12/18"
"Happy-Go-Lucky","Tobis","$2,498,003","7/3"
"The Incredible Hulk","Concorde","$2,461,403","7/10"
"Into the Wild","Tobis","$2,454,187","1/31"
"The Women (2008)","Constantin","$2,364,557","12/11"
"Paris (2008)","Prokino","$2,257,810","7/17"
"Angus, Thongs and Perfect Snogging","UPI","$2,220,126","8/28"
"Untraceable","UPI","$2,220,092","4/3"
"Star Wars: The Clone Wars","WB","$2,171,890","8/14"
"Le Scaphandre et le papillon (The Diving Bell and the Butterfly)","Prokino","$2,090,635","3/27"
"The House Bunny","Sony","$2,060,390","10/9"
"Räuber Kneißl","Movienet","$2,051,003","8/21"
"Im Winter ein Jahr","Constantin","$2,011,990","11/13"
"Meet Dave","Kinowelt","$1,998,805","8/28"
"My Blueberry Nights","Prokino","$1,959,913","1/24"
"Winx club - Il segreto del regno perduto (Winx Club: The Secret of the Lost Kingdom)","24 Bilder","$1,945,677","9/4"
"Vratné lahve","Kool","$1,894,511","1/24"
"Muro: Nalet olsun içimdeki insan sevgisine","Kinowelt","$1,865,148","12/4"
"Shine a Light","Kinowelt","$1,828,535","4/3"
"Death Race","UPI","$1,795,294","11/27"
"U-900","WB","$1,759,338","10/9"
"The Other Boleyn Girl","UPI","$1,733,674","3/6"
"A.R.O.G","Maxximum","$1,725,890","12/4"
"The Mist","Senator","$1,711,682","1/17"
"Elegy","Tobis","$1,624,001","8/14"
"Let's Make Money","Delphi","$1,595,861","10/30"
"Fleisch ist mein Gemüse","UPI","$1,563,197","4/17"
"The Bank Job","Kinowelt","$1,561,401","6/19"
"There Will Be Blood","Disney","$1,543,829","2/14"
"Låt den rätte komma in (Let the Right One In)","MFA Film","$1,528,033","12/23"
"Anonyma - Eine Frau in Berlin","Constantin","$1,523,402","10/23"
"Dan in Real Life","Concorde","$1,508,235","3/20"
"Love in the Time of Cholera","Tobis","$1,501,681","2/21"
"Chasseurs de dragons (Dragon Hunters)","Universum","$1,500,316","4/24"
"Once","Kinowelt","$1,382,976","1/17"
"Novemberkind","Schwarz","$1,363,595","11/20"
"The Eye","Falcom","$1,335,633","5/29"
"Definitely, Maybe","UPI","$1,319,099","3/27"
"Four Christmases","WB","$1,290,546","12/4"
"I'm Not There","Tobis","$1,261,480","2/28"
"Gomorra","Prokino","$1,231,245","9/11"
"Control (2007)","Capelight","$1,221,229","1/10"
"Trip to Asia - Die Suche nach dem Einklang","Piffl","$1,212,045","2/28"
"Beste Gegend","Constantin","$1,178,535","1/3"
"Bikur Ha-Tizmoret (The Band's Visit)","Concorde","$1,157,186","1/31"
"Be Kind, Rewind","Senator","$1,151,880","4/3"
"Sukkar banat (Caramel)","Alamode","$1,109,538","4/3"
"The Meerkats","Central","$1,048,101","11/20"
"Before the Devil Knows You're Dead","Neue","$1,041,122","4/10"
"Maskeli besler kibris","Maxximum","$998,171","1/17"
"[Rec]","3L Film","$997,300","5/8"
"Mongol","X Verleih","$989,860","8/7"
"El Orfanato (The Orphanage)","Senator","$947,373","2/14"
"Robert Zimmermann wundert sich über die Liebe","Delphi","$929,503","8/28"
"99 francs","Alamode","$897,833","7/31"
"The Love Guru","Kinowelt","$894,531","10/2"
"Die Entdeckung der Currywurst","Schwarz","$838,563","9/11"
"La Graine et le mulet (The Secret of the Grain)","Arsenal","$815,402","8/28"
"The Water Horse: Legend of the Deep","Sony","$813,904","2/7"
"Vals Im Bashir (Waltz with Bashir)","Pandora","$785,729","11/6"
"Wedding Daze","WB","$775,711","5/1"
"Chiko","Falcom","$767,194","4/17"
"One Missed Call","WB","$764,369","3/20"
"The Strangers","Kinowelt","$733,584","11/20"
"Le Fils de l'épicier (The Grocer's Son)","Arsenal","$709,353","4/24"
"Osmanli cumhuriyeti","Maxximum","$702,119","11/20"
"St. Trinian's","Concorde","$687,883","8/7"
"Lars and the Real Girl","Central","$673,128","3/13"
"We Own the Night","UPI","$653,722","2/21"
"Kunsten å tenke negativt (The Art of Negative Thinking)","Kool","$633,223","9/18"
"Far Cry","Fox","$620,549","10/2"
"Der Mond und andere Liebhaber","Neue","$618,018","7/24"
"Désaccord parfait","Movienet","$616,400","1/3"
"Young@Heart","Senator","$602,885","10/2"
"Zuruck Im Sommer","Senator","$601,575","8/7"
"Fireflies in the Garden","Senator","$597,319","8/7"
"La Bohème","NFP","$583,370","10/23"
"Never Back Down","Concorde","$566,326","8/14"
"Berlin Calling","Movienet","$550,645","10/2"
"Cassandra's Dream","Constantin","$550,355","6/5"
"La Fille coupée en deux (A Girl Cut in Two)","Concorde","$512,546","1/10"
"Prom Night (2008)","Sony","$509,378","6/5"
"Lauf um Dein Leben! - Vom Junkie zum Ironman","Kinowelt","$507,211","4/24"
"How to Lose Friends and Alienate People","Concorde","$498,981","11/27"
"O'Horten","Pandora","$491,038","12/18"
"Du levande (You, the Living)","Neue","$486,008","3/20"
"All the Boys Love Mandy Lane","Senator","$482,500","6/26"
"Knut und seine Freunde","Farbfilm","$482,431","3/6"
"Etz Limon (Lemon Tree)","Arsenal","$480,577","10/2"
"Geliebte Clara","Kinowelt","$478,397","12/4"
"Aanrijding in Moscou (Moscow,
Belgium)","Senator","$470,100","10/16"
"Faubourg 36 (Paris 36)","Constantin","$454,404","11/27"
"Hardcover","Universum","$453,324","4/3"
"Speed Racer","WB","$440,891","5/8"
"Mio fratello è figlio unico (My Brother Is an Only Child)","Kool","$438,737","5/15"
"Outsourced","Fox","$438,103","4/10"
"Märzmelodie","X Verleih","$432,273","2/7"
"Step Brothers","Sony","$428,205","9/11"
"The Ruins","UPI","$418,929","6/26"
"U2 3D","Fantasia","$418,728","3/13"
"Drillbit Taylor","UPI","$417,047","5/15"
"I Know Who Killed Me","Sony","$414,518","1/3"
"Il y a longtemps que je t'aime (I've Loved You So Long)","Alamode","$409,803","11/13"
"The Savages","Fox","$400,592","4/24"
"The Nanny Diaries","Central","$395,542","8/14"
"Dr. Aléman","Zorro","$385,481","8/14"
"In the Valley of Elah","Concorde","$384,478","3/6"
"Ossis Eleven","Universum","$380,562","2/28"
"Pineapple Express","Sony","$378,705","10/23"
"XXY","Kool","$373,318","6/26"
"Blindness","Kinowelt","$362,474","10/23"
"You Kill Me","Neue","$341,788","6/12"
"Palermo Shooting","Senator","$324,068","11/20"
"Fly Me to the Moon","Fantasia","$323,202","11/20"
"Falco - Verdammt, wir leben noch!","NFP","$317,008","6/5"
"Blöde Mütze!","Farbfilm","$311,178","4/24"
"The Jane Austen Book Club","Sony","$303,541","2/7"
"Flammen og Citronen (Flame & Citron)","NFP","$301,487","8/28"
"Non pensarci","Kool","$298,673","8/21"
"Obsluhoval jsem anglického krále (I Served the King of England)","Farbfilm","$292,814","8/21"
"Musallat","Maxximum","$288,552","2/7"
"Penelope","Capelight","$278,662","6/5"
"Finnischer Tango","Neue","$276,839","8/28"
"Married Life","Central","$273,448","7/10"
"Un baiser s'il vous plaît (Shall We Kiss?)","Arsenal","$270,495","8/7"
"Brideshead Revisited","Concorde","$263,400","11/20"
"Charlie Bartlett","Central","$260,404","6/26"
"Transsiberian","Universum","$259,076","12/11"
"120","Kinostar","$249,860","5/8"
"Lakeview Terrace","Sony","$247,405","12/18"
