" Movie Title"," Distributor"," Gross"," Release"
"Avatar","Fox","$157,564,785","12/17"
"Ice Age: Dawn of the Dinosaurs","Fox","$82,199,367","7/1"
"Harry Potter and the Half Blood Prince","WB","$64,709,316","7/16"
"Angels & Demons","Sony","$47,070,399","5/13"
"Wickie und die starken Männer","Constantin","$41,294,527","9/9"
"Zweiohrküken","WB","$40,954,864","12/3"
"2012","Sony","$37,706,115","11/12"
"The Twilight Saga: New Moon","Concorde","$34,647,673","11/26"
"Up","Disney","$29,415,322","9/17"
"Pope Joan","Constantin","$25,010,090","10/22"
"Twilight","Concorde","$23,734,298","1/15"
"Inglourious Basterds","UPI","$23,585,703","8/20"
"The Hangover","WB","$20,855,235","7/23"
"The Reader","Senator","$20,544,884","2/26"
"Männerherzen","WB","$20,379,417","10/8"
"The Curious Case of Benjamin Button","WB","$20,368,188","1/29"
"Transformers: Revenge of the Fallen","PPI","$20,111,156","6/24"
"Slumdog Millionaire","Prokino","$19,188,873","3/19"
"Night at the Museum: Battle of the Smithsonian","Fox","$18,786,980","5/21"
"The Proposal","Disney","$18,505,527","7/30"
"Maen Nersache (Man's Business)","Constantin","$16,813,421","3/19"
"Männersache","Constantin","$16,120,209","3/19"
"Alvin and the Chipmunks: The Squeakquel","Fox","$15,512,720","12/24"
"G-Force","Disney","$15,483,327","10/15"
"Fast and Furious","UPI","$15,423,592","4/2"
"The Ugly Truth","Sony","$15,389,786","10/1"
"Terminator Salvation: The Future Begins","Sony","$13,523,845","6/4"
"Michael Jackson's This Is It","Sony","$13,019,854","10/28"
"Paul Blart: Mall Cop","Sony","$12,900,472","3/26"
"Star Trek","PPI","$12,798,139","5/7"
"Horst Schlämmer - Isch kandidiere!","Constantin","$12,769,048","8/20"
"The Final Destination","WB","$12,639,632","9/3"
"Maria, ihm schmeckt's nicht!","Constantin","$12,341,923","8/6"
"The Princess and the Frog","Disney","$11,780,091","12/10"
"Transporter 3","Universum","$11,778,941","1/8"
"Valkyrie","Fox","$11,442,619","1/22"
"A Christmas Carol (2009)","Disney","$11,188,892","11/5"
"Seven Pounds","Sony","$10,948,614","1/8"
"Soul Kitchen","n/a","$10,813,421","12/24"
