" Movie Title"," Gross"
"Harry Potter and the Deathly Hallows (Part One)","$65,963,672"
"Tangled","$44,204,134"
"Inception","$36,842,861"
"Alice in Wonderland (2010)","$34,638,318"
"The Twilight Saga: Eclipse","$33,087,955"
"Despicable Me","$27,043,442"
"Sex and the City 2","$25,320,347"
"Shrek Forever After","$24,972,735"
"Grown Ups","$18,270,874"
"Toy Story 3","$17,104,362"
"Sherlock Holmes","$16,629,510"
"Resident Evil: Afterlife","$16,119,840"
"The Last Airbender","$15,572,208"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$15,531,389"
"How to Train Your Dragon","$15,496,906"
"Robin Hood","$15,345,492"
"Shutter Island","$14,708,736"
"Clash of the Titans (2010)","$14,679,293"
"Friendship","$14,637,672"
"Konferenz der Tiere (Animals United)","$14,633,199"
"Prince of Persia: The Sands of Time","$14,622,812"
"Eat Pray Love","$14,263,262"
"Step Up 3-D","$13,869,503"
"Due Date","$13,028,652"
"The Karate Kid","$12,654,490"
"The Tourist","$12,147,629"
"Little Fockers","$11,734,435"
"Saw 3D","$10,999,677"
"It's Complicated","$9,831,613"
"Sammy's Adventures: The Secret Passage","$9,688,871"
"The Social Network","$9,345,455"
"Iron Man 2","$9,254,348"
"Knight & Day","$9,081,145"
"Cloudy with a Chance of Meatballs","$8,959,332"
"The Bounty Hunter","$8,775,413"
"Marmaduke","$8,338,702"
"Valentine's Day","$8,296,049"
"The Expendables","$8,211,457"
"Red","$8,208,370"
"Vampires Suck","$8,064,054"
"Percy Jackson & The Olympians: The Lightning Thief","$7,968,745"
"Up in the Air","$7,665,802"
"Vincent will meer","$7,319,877"
"Salt","$7,283,463"
"Jackass 3-D","$7,243,633"
"Otto's Eleven","$7,184,934"
"StreetDance 3D","$6,715,881"
"The A-Team","$6,654,822"
"The Blind Side","$6,295,841"
"Hanni & Nanni","$6,231,430"
"The Men Who Stare at Goats","$6,189,482"
"Did You Hear About the Morgans?","$6,186,992"
"The Last Song","$6,080,655"
"The Sorcerer's Apprentice","$6,002,283"
"Wall Street: Money Never Sleeps","$5,679,469"
"Life as We Know It","$5,568,426"
"Goethe!","$5,428,560"
"Groupies bleiben nicht zum Frühstück","$5,225,452"
"Get Him to the Greek","$5,134,599"
"The Other Guys","$5,062,434"
"Yogi Bear","$4,988,967"
"Zeiten ändern Dich (Bushido)","$4,955,920"
"The Imaginarium of Doctor Parnassus","$4,863,307"
"Vorstadtkrokodile 2","$4,719,996"
"Die Friseuse","$4,567,778"
"Flickan som lekte med elden","$4,526,144"
"Oceans","$4,516,253"
"Cats & Dogs: Revenge of Kitty Galore","$4,458,167"
"Predators","$4,424,039"
"Tooth Fairy","$4,421,733"
"Nanny McPhee and The Big Bang","$4,402,186"
