" Movie Title"," Distributor"," Gross"," Release"
"Harry Potter and the Deathly Hallows (Part Two)","WB","$78,042,939","7/14"
"Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$62,438,491","5/19"
"Kokowääh","WB","$42,932,362","2/3"
"The Hangover Part II","WB","$42,168,493","6/2"
"Transformers 3","PPI","$38,750,141","6/29"
"The Twilight Saga: Breaking Dawn Part 1","Concorde","$32,141,657","11/24"
"The Smurfs","Sony","$29,398,271","8/4"
"Puss in Boots","PPI","$29,138,652","12/8"
"Fast Five","UPI","$26,703,371","4/28"
"The King's Speech","Senator","$23,598,859","2/17"
"Black Swan","Fox","$21,446,873","1/20"
"Kung Fu Panda 2","PPI","$20,744,836","6/16"
"Bad Teacher","Sony","$18,729,632","6/23"
"Cars 2","Disney","$18,194,707","7/28"
"Rio","Fox","$17,815,018","4/7"
"Wickie auf großer Fahrt (Vicky and the Treasure of the Gods)","Constantin","$17,526,529","9/29"
"Zookeeper","Sony","$17,453,001","7/7"
"Sherlock Holmes: A Game of Shadows","WB","$17,298,086","12/22"
"What a Man","Fox","$17,143,751","8/25"
"The Adventures of Tintin","Sony","$16,420,962","10/27"
"The Three Musketeers (2011)","Constantin","$16,195,214","9/1"
"Thor","PPI","$16,007,303","4/28"
"Rubbeldiekatz (Women in Love)","UPI","$15,972,388","12/15"
"Mission: Impossible - Ghost Protocol","PPI","$15,283,426","12/15"
"Tron Legacy","Disney","$14,756,510","1/27"
"Johnny English Reborn","UPI","$14,175,999","10/6"
"Almanya - Willkommen in Deutschland","Concorde","$12,975,995","3/10"
"Männerherzen... und die ganz ganz große Liebe","WB","$12,906,205","9/15"
"Just Go With It","Sony","$12,219,467","2/24"
"Friends with Benefits","Sony","$10,925,525","9/8"
"The Green Hornet","Sony","$10,829,925","1/13"
"Rise of the Planet of the Apes","Fox","$10,775,296","8/11"
"Gulliver's Travels","Fox","$10,099,348","2/10"
"Eine ganz heiße Nummer","Universum","$9,902,490","10/27"
"In Time","Fox","$9,275,508","12/1"
"Alvin and the Chipmunks: Chipwrecked","Fox","$8,926,321","12/22"
"Immortals","Constantin","$8,446,489","11/10"
"Bridesmaids","UPI","$8,088,652","7/21"
"Paranormal Activity 3","PPI","$8,044,089","11/3"
"True Grit","PPI","$7,968,396","2/24"
"Final Destination 5","WB","$7,686,144","8/25"
"Water for Elephants","Fox","$7,212,854","4/28"
"X-Men: First Class","Fox","$7,048,582","6/9"
"One Day","Tobis","$7,028,098","11/3"
"Midnight in Paris","Concorde","$6,898,659","8/18"
"New Year's Eve","WB","$6,780,158","12/8"
"The Lion King (in 3D)","Disney","$6,613,240","11/10"
"Real Steel","Disney","$6,588,375","11/3"
"Horrible Bosses","WB","$6,577,477","9/1"
"Carnage (2011)","Constantin","$6,522,681","11/24"
"Unknown","Kinowelt","$6,377,144","3/3"
"Rango","PPI","$6,359,881","3/3"
"Resturlaub","Sony","$6,232,371","8/11"
"Paul","UPI","$6,006,157","4/14"
"Pina","n/a","$5,883,690","2/24"
"Vorstadtkrokodile 3","Constantin","$5,866,715","1/20"
"Love and Other Drugs","Fox","$5,417,212","1/13"
"Mr. Popper's Penguins","Fox","$5,251,891","6/23"
"Hexe Lilli: Die Reise nach Mandolan","Disney","$5,168,967","2/17"
"Super 8","PPI","$5,135,188","8/4"
"New Kids Turbo","Constantin","$4,996,448","4/21"
"Captain America: The First Avenger","PPI","$4,872,496","8/18"
"The Change-Up","UPI","$4,832,138","10/13"
"Gnomeo and Juliet","Disney","$4,826,803","3/24"
"Prinzessin Lillifee und das kleine Einhorn","Universum","$4,728,509","9/1"
"Crazy, Stupid, Love.","WB","$4,667,066","8/18"
"Green Lantern","WB","$4,636,414","7/28"
"Burlesque","Sony","$4,578,664","1/6"
"Sommer in Orange (My Life in Orange)","n/a","$4,553,113","8/18"
"The Dilemma","UPI","$4,546,097","1/27"
"Scream 4","n/a","$4,466,288","5/5"
"Tower Heist","UPI","$4,430,889","11/3"
"I Am Number Four","Disney","$4,397,110","3/17"
"Rien à déclarer (Nothing to Declare)","Prokino","$4,310,806","7/28"
"Potiche","Concorde","$4,254,683","3/24"
"Blutzbrüdaz","Constantin","$4,244,826","12/29"
"Die Superbullen - Sie kennen keine Gnade","Constantin","$4,240,201","1/6"
"Sucker Punch","WB","$4,230,565","3/31"
"The Next Three Days","Kinowelt","$4,224,075","1/20"
"Werner - Eiskalt!","Constantin","$4,153,779","6/23"
"Abduction","n/a","$4,147,250","10/13"
"Killer Elite","Concorde","$4,107,671","10/27"
"Larry Crowne","Kinowelt","$4,098,653","6/30"
"Contagion","WB","$3,862,820","10/20"
"No Strings Attached","PPI","$3,833,001","2/17"
"Hop","UPI","$3,820,584","3/31"
"Happy Feet Two","WB","$3,652,382","12/1"
"Cowboys & Aliens","PPI","$3,648,567","8/25"
"Limitless","Concorde","$3,540,298","4/14"
"Source Code","Kinowelt","$3,461,971","6/2"
"Arthur Christmas","Sony","$3,259,251","11/17"
"Colombiana","Universum","$3,164,449","9/15"
"La tête en friche","Concorde","$3,129,409","1/6"
"How Do You Know","Sony","$3,115,066","1/20"
"Hall Pass","WB","$3,066,341","3/10"
"Big Mommas: Like Father, Like Son","Fox","$2,946,414","3/3"
"Battle: Los Angeles","Sony","$2,936,209","4/14"
"Hanna","Sony","$2,910,236","5/26"
"Drive Angry","WB","$2,853,626","2/24"
"The Tree of Life","Concorde","$2,851,756","6/16"
"Monte Carlo","Fox","$2,844,573","8/4"
"The Adjustment Bureau","UPI","$2,828,788","3/10"
"The Ides of March","Tobis","$2,752,567","12/22"
"Lauras Stern und die Traummonster","WB","$2,750,767","10/13"
"Dreiviertelmond","n/a","$2,744,227","10/13"
"Dschungelkind (Jungle Child)","UPI","$2,534,543","2/17"
"Melancholia","Concorde","$2,474,779","10/6"
"The Mechanic","Kinowelt","$2,455,375","4/7"
"Priest","Sony","$2,417,425","5/12"
"Something Borrowed","Tobis","$2,387,212","6/16"
"Diary of a Wimpy Kid: Rodrick Rules","Fox","$2,341,717","6/2"
"Tom Sawyer (2011)","n/a","$2,291,738","11/17"
"Season of the Witch","Universum","$2,231,211","3/24"
"A Dangerous Method","UPI","$2,213,447","11/10"
"Anonymous","Sony","$2,196,975","11/10"
"Le Havre","n/a","$2,195,987","9/8"
"Red Riding Hood","WB","$2,190,702","4/21"
"Beastly","Concorde","$2,146,208","4/7"
"L'arnacoeur (Heartbreaker)","Universum","$2,114,901","1/6"
