" Movie Title"," Distributor"," Gross"," Release"
"Avatar","WB","$59,590","12/18"
"2012","Sony","$43,802","11/13"
"Angels & Demons","Sony","$43,414","5/13"
"The Proposal","Fox","$33,280","6/19"
"Sherlock Holmes","WB","$32,109","12/31"
"Couples Retreat","UPI","$31,252","12/18"
"Harry Potter and the Half Blood Prince","WB","$30,610","7/17"
"The Twilight Saga: New Moon","n/a","$25,102","11/27"
"Terminator Salvation: The Future Begins","Sony","$24,614","6/5"
"Ghosts of Girlfriends Past","n/a","$23,155","7/24"
"The Hangover","WB","$22,365","8/14"
"Michael Jackson's This Is It","Sony","$22,224","10/28"
"X-Men Origins: Wolverine","Fox","$17,010","5/1"
"Alvin and the Chipmunks: The Squeakquel","Fox","$16,019","12/23"
"The Ugly Truth","Sony","$15,948","10/9"
"G-Force","Disney","$15,654","10/1"
"The Taking of Pelham One, Two, Three","Sony","$14,370","9/25"
"Ice Age: Dawn of the Dinosaurs","Disney","$13,817","7/3"
"Surrogates","Disney","$13,471","10/2"
"Night at the Museum: Battle of the Smithsonian","Fox","$13,090","5/22"
"Marley and Me","Fox","$12,957","3/20"
"The International","n/a","$12,463","3/13"
"Seven Pounds","n/a","$11,302","2/13"
"Up","Disney","$11,240","9/10"
"Bride Wars","n/a","$10,262","1/23"
"Year One","Sony","$10,116","7/31"
"Underworld: Rise of the Lycans","n/a","$9,939","1/23"
"District 9","Sony","$9,107","9/4"
"Bolt","n/a","$9,044","2/20"
"The Pink Panther 2","n/a","$8,560","3/6"
"The Princess and the Frog","Disney","$8,196","12/11"
"Inglourious Basterds","UPI","$7,487","10/30"
"The Time Traveler's Wife","Fox","$7,078","11/13"
"Valkyrie","n/a","$6,643","1/30"
"Zombieland","Sony","$5,864","12/4"
"12 Rounds","Fox","$5,795","4/3"
"Cloudy with a Chance of Meatballs","Sony","$5,348","9/18"
"Notorious (2009)","n/a","$5,288","2/27"
"Slumdog Millionaire","n/a","$5,268","4/3"
"G.I. Joe","Silverbird","$5,013","10/16"
"Love Aaj Kal","n/a","$4,944","7/31"
"Inkheart","Fox","$4,727","7/3"
"A Christmas Carol (2009)","Disney","$4,574","11/6"
"Street Fighter: The Legend of Chun-Li","n/a","$4,456","6/12"
"Dragonball Evolution","Fox","$4,293","4/10"
"Hannah Montana The Movie","Disney","$4,013","6/26"
"Gran Torino","n/a","$4,010","3/13"
"Doubt","n/a","$3,626","2/27"
"Race to Witch Mountain","Disney","$3,432","4/10"
"Julie & Julia","Sony","$2,960","11/6"
"Chandni Chowk to China","n/a","$2,939","1/23"
"My Sister's Keeper","n/a","$2,848","10/16"
"Confessions of a Shopaholic","n/a","$2,794","2/13"
"Transformers: Revenge of the Fallen","n/a","$2,572","10/2"
"Fame (2009)","Disney","$2,349","9/25"
"Yes Man","n/a","$2,278","1/23"
"The Curious Case of Benjamin Button","n/a","$2,226","2/6"
"Paul Blart: Mall Cop","Sony","$2,163","4/24"
"Aa Dekhen Zara","n/a","$2,119","3/27"
"Australia","n/a","$1,656","1/23"
"Bedtime Stories","n/a","$1,226","1/23"
"Shortkut - The Con Is On","n/a","$1,174","7/31"
"High School Musical 3: Senior Year","n/a","$305","1/23"
