" Movie Title"," Gross"
"The Tourist","$35,617"
"Thor","$30,017"
"Transformers 3","$28,694"
"Fast Five","$27,627"
"Just Go With It","$24,907"
"Kung Fu Panda 2","$24,713"
"The Smurfs","$21,614"
"Priest","$20,850"
"Captain America: The First Avenger","$17,950"
"Jumping the Broom","$17,568"
"Johnny English Reborn","$16,879"
"The Green Hornet","$16,663"
"Bad Teacher","$16,535"
"Battle: Los Angeles","$13,617"
"Tower Heist","$13,223"
"Unknown","$12,872"
"Zookeeper","$12,577"
"The Roommate","$9,506"
"Hanna","$9,495"
"Red Riding Hood","$9,303"
"Colombiana","$9,011"
"Burlesque","$8,616"
"How Do You Know","$7,950"
"Hall Pass","$6,737"
"Sucker Punch","$6,589"
"Legend of the Guardians: The Owls of Ga'Hoole","$6,465"
"Hop","$5,582"
"Friends with Benefits","$4,902"
"Super 8","$4,679"
"Abduction","$4,600"
"Bridesmaids","$4,391"
"Mars Needs Moms","$4,280"
"Anchor Baby","$3,292"
"The Three Musketeers (2011)","$2,721"
"Morning Glory","$2,526"
"Arthur Christmas","$2,295"
"True Grit","$2,117"
"Moneyball","$1,909"
"Puss in Boots","$1,701"
