" Movie Title"," Gross"
"300","$11,376,293"
"El Greco","$8,246,050"
"Pirates of the Caribbean: At World's End","$5,078,196"
"Spider-Man 3","$3,882,418"
"Harry Potter and the Order of the Phoenix","$3,841,643"
"The Golden Compass","$3,304,681"
"Ratatouille","$3,189,263"
"Night at the Museum","$3,070,600"
"Mr. Bean's Holiday","$3,012,936"
"To Fili tis... Zois","$2,721,704"
"Ocean's Thirteen","$2,681,857"
"American Gangster","$2,354,779"
"Mia Melissa Ton Avgousto","$2,187,900"
"Proti fora nonos (First Time Godfather)","$2,125,309"
"Blood Diamond","$1,982,100"
"Shrek the Third","$1,895,837"
"Bee Movie","$1,826,305"
"The Bourne Ultimatum","$1,718,642"
"The Heartbreak Kid","$1,717,674"
"Rush Hour 3","$1,419,110"
"Transformers","$1,402,417"
"El Orfanato (The Orphanage)","$1,401,772"
"The Simpsons Movie","$1,350,664"
"Beowulf","$1,344,420"
"Apocalypto","$1,319,201"
"Live Free or Die Hard","$1,289,309"
"The Good Shepherd","$1,215,350"
"Psyhraimia","$1,196,470"
"El Laberinto del Fauno (Pan's Labyrinth)","$1,159,900"
"La Môme (La Vie en Rose)","$1,132,085"
"Music and Lyrics","$1,102,300"
"Zodiac","$1,066,643"
"Rocky Balboa","$1,042,815"
"The Number 23","$1,033,237"
"Fantastic Four: Rise of the Silver Surfer","$995,730"
"Saw IV","$965,166"
"Stardust","$958,205"
"The Pursuit of Happyness","$852,590"
"Stranger Than Fiction","$849,600"
"Ghost Rider","$837,723"
"Norbit","$828,010"
"Surf's Up","$755,315"
"Hannibal Rising","$748,542"
"Cassandra's Dream","$733,211"
"Evan Almighty","$721,710"
"88 Minutes","$709,936"
"1408","$707,268"
"Fracture","$695,833"
"Hitman","$679,728"
"Michael Clayton","$671,401"
"Elizabeth: The Golden Age","$662,857"
"Perfect Stranger","$658,871"
"Lions for Lambs","$618,753"
"The Mist","$607,763"
"In the Valley of Elah","$601,756"
"I Now Pronounce You Chuck and Larry","$601,523"
"Letters from Iwo Jima","$589,300"
"The Illusionist","$564,500"
"Grindhouse: Death Proof","$558,290"
"Meet the Robinsons","$548,146"
"Love in the Time of Cholera","$536,078"
"No Reservations","$512,160"
"Hairspray (2007)","$507,892"
"Eastern Promises","$503,965"
"The Invasion","$496,000"
"Wild Hogs","$479,293"
"The Reaping","$476,623"
"Enchanted","$468,114"
"Breaking and Entering","$460,800"
"My Blueberry Nights","$459,578"
"The Painted Veil","$452,272"
"Knocked Up","$448,831"
"The Grudge 2","$436,300"
"Si jie (Lust, Caution)","$430,438"
"30 Days of Night","$426,800"
"TMNT","$419,206"
"American Blend (a.k.a. Spice of Life)","$415,362"
"Shoot 'Em Up","$412,316"
"Notes on a Scandal","$388,217"
"Alvin and the Chipmunks","$383,922"
"The Brave One","$380,919"
"Shooter","$378,422"
"Shark Bait (a.k.a. The Reef)","$372,938"
"Hostel Part II","$362,263"
"4 luni, 3 saptamâni si 2 zile (4 Months, 3 Weeks, 2 Days)","$360,678"
"Barnyard: The Original Party Animals","$358,581"
