" Movie Title"," Distributor"," Gross"," Release"
"Clash of the Titans (2010)","WB","$4,714,447","4/4"
"Inception","WB","$4,196,236","8/24"
"I Love Karditsa","Odeon","$4,100,754","1/14"
"Harry Potter and the Deathly Hallows (Part One)","WB","$3,638,941","11/18"
"Shutter Island","UIP","$3,362,171","2/25"
"The Twilight Saga: Eclipse","Odeon","$3,222,940","6/30"
"Alice in Wonderland (2010)","Disney","$2,985,480","3/4"
"Sherlock Holmes","Roadshow","$2,927,097","1/14"
"Sex and the City 2","Roadshow","$2,836,343","5/27"
"The King's Speech","Odeon","$2,553,444","12/16"
"Shrek Forever After","UIP","$2,270,261","8/19"
"Toy Story 3","Disney","$2,257,319","6/24"
"Step Up 3-D","Odeon","$2,129,397","9/2"
"Ziteitai pseftis","Odeon","$1,977,642","12/23"
"A Nightmare on Elm Street (2010)","WB","$1,965,370","5/13"
"Prince of Persia: The Sands of Time","Disney","$1,834,971","5/20"
"Cloudy with a Chance of Meatballs","Sony","$1,808,040","1/28"
"Little Fockers","UIP","$1,730,368","12/22"
"Percy Jackson & The Olympians: The Lightning Thief","Fox","$1,715,058","2/18"
"Salt","Sony","$1,714,420","9/16"
"Due Date","WB","$1,674,761","12/2"
"Iron Man 2","UIP","$1,572,625","4/29"
"Up in the Air","UIP","$1,555,866","2/4"
"The Princess and the Frog","Disney","$1,537,177","2/11"
"Robin Hood","UIP","$1,502,775","5/13"
"The Expendables","Odeon","$1,483,262","8/17"
"Hot Tub Time Machine","Odeon","$1,456,224","5/27"
"The Wolfman","UIP","$1,424,930","2/11"
"The Kings of Mykonos: Wog Boy 2","Odeon","$1,420,702","6/3"
"Eat Pray Love","Sony","$1,368,288","10/7"
"How to Train Your Dragon","UIP","$1,243,390","4/1"
"The Karate Kid","Sony","$1,139,215","9/9"
"Knight & Day","Fox","$1,126,320","7/15"
"Despicable Me","UIP","$1,106,186","11/25"
"The Bounty Hunter","Sony","$1,092,013","4/15"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$1,085,965","12/9"
"The Ghost Writer","Odeon","$1,012,881","3/18"
"The Social Network","Sony","$983,552","10/27"
"You Will Meet a Tall Dark Stranger","Roadshow","$948,472","10/27"
"The Town","WB","$925,977","10/21"
"Grown Ups","Sony","$861,333","7/22"
"Saw 3D","Spentzos","$849,941","11/4"
"The Sorcerer's Apprentice","Disney","$840,027","7/15"
"180 moires","Roadshow","$816,544","3/18"
"Sammy's Adventures: The Secret Passage","Roadshow","$792,798","12/9"
"Alpha and Omega","n/a","$787,814","10/27"
"Did You Hear About the Morgans?","Sony","$787,192","1/7"
"Valentine's Day","WB","$759,802","2/11"
"Chloe","Odeon","$730,971","4/8"
"Tron Legacy","Disney","$712,880","12/16"
"The American","Odeon","$712,112","10/14"
"L'immortel (22 Bullets)","n/a","$692,198","7/29"
"Desert Flower","Filmtrade","$673,082","3/11"
"Red","Odeon","$654,638","11/4"
"Resident Evil: Afterlife","Odeon","$643,025","10/21"
"Piranha 3D","Odeon","$614,532","9/30"
"Cats & Dogs: Revenge of Kitty Galore","Roadshow","$603,678","9/23"
"The Last Airbender","UIP","$563,771","10/28"
"Edge of Darkness","Roadshow","$559,809","2/18"
"Tinker Bell and the Great Fairy Rescue","Disney","$554,233","9/30"
"Epikindynes mageirikes","Odeon","$511,000","2/4"
"Remember Me","Odeon","$500,641","3/11"
"El secreto de sus ojos","Filmtrade","$499,894","4/22"
"The Next Three Days","Roadshow","$498,582","12/9"
"Agora (Mists of Time)","Odeon","$492,943","1/28"
"The Lovely Bones","UIP","$489,108","3/11"
"Stone","Odeon","$470,417","10/7"
"Fair Game (2010)","Odeon","$461,915","11/18"
"Paranormal Activity 2","UIP","$461,842","11/11"
"I Am Love","n/a","$437,969","9/30"
"The Book of Eli","Odeon","$423,439","1/14"
"Buried","Roadshow","$413,254","10/7"
"My Soul to Take","Roadshow","$381,593","12/30"
"Megamind","UIP","$378,025","12/16"
"Killers","n/a","$375,714","6/10"
"The Hurt Locker","Hollywood","$367,644","3/11"
"The Last Exorcism","Odeon","$363,112","10/14"
"Date Night","Fox","$362,746","5/6"
"Invictus","WB","$343,660","1/28"
"The A-Team","Fox","$320,721","6/17"
"Old Dogs","Disney","$318,829","1/21"
