" Movie Title"," Gross"
"Avatar","$22,923,033"
"2012","$6,323,434"
"Transformers: Revenge of the Fallen","$6,202,442"
"Harry Potter and the Half Blood Prince","$5,873,659"
"Up","$4,325,709"
"Ice Age: Dawn of the Dinosaurs","$4,191,440"
"Night at the Museum: Battle of the Smithsonian","$3,647,737"
"Sherlock Holmes","$3,190,592"
"Ga yau hei si 2009 (All's Well, Ends Well 2009)","$3,179,545"
"The Curious Case of Benjamin Button","$3,145,777"
"Slumdog Millionaire","$3,129,612"
"Chi bi: Xia - Jue zhan tian xia (Red Cliff: Part II)","$3,058,382"
"Gake no ue no Ponyo (Ponyo on a Cliff)","$3,029,041"
"Angels & Demons","$2,708,192"
"Terminator Salvation: The Future Begins","$2,331,400"
"Shi yue wei cheng (Bodyguards and Assassins)","$2,138,798"
"Laughing gor chi bin chit (Turning Point)","$2,020,712"
"Qie ting feng yun (Wiretap) (Overheard)","$1,993,626"
"Fung wan II (The Storm Warriors)","$1,991,978"
"Bolt","$1,981,317"
"Monsters Vs. Aliens","$1,923,553"
"X-Men Origins: Wolverine","$1,911,652"
"The Twilight Saga: New Moon","$1,897,556"
"San suk si gin (Shinjuku Incident)","$1,802,446"
"G.I. Joe","$1,789,732"
"Okuribito (Departures)","$1,678,365"
"A Christmas Carol (2009)","$1,661,437"
"Yau lung hei fung (Look for a Star)","$1,626,778"
"The Proposal","$1,617,635"
"Knowing","$1,602,546"
"Sha Ren Fan","$1,509,362"
"The Final Destination","$1,443,579"
"Star Trek","$1,282,243"
"G-Force","$1,262,002"
"Yes Man","$1,241,033"
"Michael Jackson's This Is It","$1,174,486"
"Surrogates","$1,158,244"
"Da Nei Mi Tan Ling Ling Gou","$1,135,296"
"17 Again","$1,082,633"
"Poker King","$1,071,470"
"Orphan","$1,069,646"
"District 9","$975,509"
"Daai sau cha ji neui (Lady Cop & Papa Crook)","$958,609"
"Public Enemies","$947,527"
"Marley and Me","$933,323"
"Cloudy with a Chance of Meatballs","$896,739"
"The Ugly Truth","$891,570"
"Jian guo da ye (The Founding of a Republic)","$847,046"
"The Haunting in Connecticut","$835,281"
"Killshot","$808,160"
"Alvin and the Chipmunks: The Squeakquel","$801,626"
"Watchmen","$781,728"
"Inglourious Basterds","$772,626"
"The Hangover","$720,509"
"Valkyrie","$714,246"
"Coraline","$701,148"
"Dragonball Evolution","$699,847"
"Gam chin dai gwok (I Corrupt All Cops)","$699,182"
"Yi ngoi (Accident)","$691,396"
"Inkheart","$683,374"
