" Movie Title"," Distributor"," Gross"," Release"
"Transformers 3","Intercontinental","$10,883,894","6/29"
"Harry Potter and the Deathly Hallows (Part Two)","WB","$9,866,229","7/14"
"You Are the Apple of My Eye","Fox","$7,928,620","10/20"
"Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$5,827,510","5/19"
"Mission: Impossible - Ghost Protocol","Intercontinental","$5,294,021","12/15"
"3D Sex and Zen: Extreme Ecstasy","Newport","$5,272,166","4/14"
"Kung Fu Panda 2","Intercontinental","$5,071,620","7/21"
"I Love Hong Kong","Intercontinental","$3,425,520","2/3"
"Sherlock Holmes: A Game of Shadows","WB","$3,393,514","12/15"
"X-Men: First Class","Fox","$3,325,094","6/2"
"Johnny English Reborn","EDKO","$3,218,420","9/29"
"Sit yan fung wan 2 (Overheard 2)","Newport","$3,074,888","8/18"
"Rise of the Planet of the Apes","Fox","$3,074,495","8/11"
"3 Idiots","EDKO","$2,918,788","9/1"
"Sanctum (3D)","EDKO","$2,833,859","2/17"
"Shaolin Temple","Lark","$2,632,485","1/27"
"Ji keung hei si 2011 (All's Well That End's Well)","Newport","$2,607,597","2/2"
"Real Steel","Disney","$2,498,498","10/6"
"Captain America: The First Avenger","Intercontinental","$2,496,235","8/4"
"Mr. Popper's Penguins","Fox","$2,494,058","7/7"
"Thor","Intercontinental","$2,490,495","4/28"
"Cars 2","Disney","$2,446,609","8/11"
"Black Swan","Fox","$2,431,560","2/24"
"The Smurfs","Sony","$2,274,219","8/4"
"The Twilight Saga: Breaking Dawn Part 1","Golden Scene","$1,955,158","12/22"
"Tangled","Disney","$1,898,944","2/3"
"The Green Hornet","Sony","$1,857,479","2/2"
"Fast Five","EDKO","$1,823,664","5/5"
"In Time","Fox","$1,783,928","10/27"
"The Hangover Part II","WB","$1,600,478","6/2"
"Daan gyun naam yu (Don't Go Breaking My Heart)","Lark","$1,584,052","3/31"
"Let the Bullets Fly","Lark","$1,567,146","1/13"
"The Tourist","Sony","$1,476,379","1/6"
"Green Lantern","WB","$1,468,456","6/16"
"The King's Speech","Cable","$1,312,669","3/3"
"Super 8","Intercontinental","$1,243,651","6/9"
"Battle: Los Angeles","Sony","$1,241,299","3/10"
"Little Fockers","Intercontinental","$1,226,294","2/3"
"Alvin and the Chipmunks: Chipwrecked","Fox","$1,211,559","12/22"
"Rio","Fox","$1,203,396","4/7"
"Source Code","Golden Scene","$1,188,443","4/21"
"Final Destination 5","WB","$1,182,716","8/18"
"The Adventures of Tintin","Intercontinental","$1,173,051","11/24"
"Dyut meng gam (Life Without Principle)","Lark","$1,085,948","10/20"
"San kei hap lui (Mr. and Mrs.  Incredible)","Lark","$1,055,064","2/3"
"Guan yun chang (The Lost Bladesman)","EDKO","$1,035,951","4/28"
"Wu Xia (Dragon)","Lark","$1,032,857","7/28"
"Lan Kwai Fong","Gala","$1,028,749","9/15"
"Mural","Intercontinental","$1,028,749","10/13"
"One Day","Lark","$1,025,221","9/9"
"Immortals","EDKO","$982,945","11/17"
"I Am Number Four","Disney","$906,135","3/3"
"127 Hours","Fox","$873,239","2/10"
"Horrible Bosses","WB","$865,765","8/25"
"Contagion","WB","$854,901","9/8"
"Fu Lu Shou (2011)","Intercontinental","$836,762","8/11"
"Happy Feet Two","WB","$811,159","12/22"
"Love is the Only Answer","Newport","$791,781","7/21"
"B+ jing taam (The Detective 2)","Gala","$789,324","5/12"
"Beastly","Golden Scene","$774,289","3/31"
"Turning Point 2","Intercontinental","$766,275","12/29"
"Flying Swords of Dragon Gate","Newport","$758,840","12/22"
"The Three Musketeers (2011)","Intercontinental","$753,685","11/3"
"Cowboys & Aliens","Intercontinental","$726,880","8/25"
"No Strings Attached","Intercontinental","$670,581","2/17"
"Sucker Punch","WB","$651,741","3/31"
"Men Suddenly in Love","Gala","$604,039","3/10"
"Beginning of the Great Revival","Lark","$595,050","6/23"
"Limitless","Lark","$587,830","4/7"
"Shark Night 3D","Golden Scene","$574,619","9/29"
"Scream 4","Cable","$569,617","4/14"
"Midnight in Paris","Golden Scene","$561,499","9/8"
"Sien nui yau wan (Chinese Ghost
Story)","Newport","$558,988","4/28"
"A Beautiful Life","Gala","$555,287","5/26"
"Xing kong (Starry Starry Night)","Golden Scene","$544,234","11/3"
"Unknown","WB","$538,946","3/17"
"Priest","Sony","$533,550","5/12"
"Just Go With It","Sony","$517,119","4/21"
"Sammy's Adventures: The Secret Passage","Golden Scene","$510,295","4/21"
"Gnomeo and Juliet","Disney","$493,744","3/31"
"Hoodwinked","WB","$486,835","4/21"
"Red Riding Hood","WB","$482,273","4/21"
"Hoodwinked 2","WB","$482,273","n/a"
"Insidious","n/a","$477,103","9/15"
"The Tree of Life","Golden Scene","$470,457","7/7"
"What Women Want (Wo Zhi Nu Run Xin)","Newport","$460,683","2/17"
"The Rite","WB","$458,152","2/24"
"MicroSex Office","Newport","$436,097","6/9"
"Fei Cheng Wu Rao 2 (If You Are the One 2)","Intercontinental","$417,545","1/13"
"The Sorcerer and the White Snake","Gala","$408,897","9/29"
"Larry Crowne","Lark","$407,156","8/18"
"Magic to Win","Newport","$391,002","12/1"
"Seediq Bale","n/a","$387,826","11/17"
"Hop","EDKO","$380,199","4/21"
"We Bought a Zoo","Fox","$372,333","12/29"
"Umizaru 3 (The Last Message)","Intercontinental","$371,345","4/7"
"Tower Heist","EDKO","$361,700","11/3"
"Space Battleship Yamato","Panasia","$352,860","2/24"
"Arthur Christmas","Sony","$345,358","12/1"
"Something Borrowed","Intercontinental","$342,780","6/16"
" Movie Title"," Distributor"," Gross"," Release"
"Margin Call","Golden Scene","$341,118","11/17"
"Ladda Land","Panasia","$333,295","9/1"
"The Adjustment Bureau","EDKO","$326,719","3/17"
"Spy Kids: All the Time in the World","Cable","$326,719","9/29"
"Yogi Bear","WB","$307,402","2/2"
"Bou ying (Punished)","Lark","$306,965","5/5"
"33D","Newport","$302,387","10/6"
"Paradaisu kisu (Paradise Kiss)","Intercontinental","$300,145","9/22"
"Mayday 3DNA","Deltamac","$295,563","9/15"
"Cai shen ke zhan","Newport","$291,950","6/23"
"Season of the Witch","Lark","$286,246","3/3"
"Morning Glory","Intercontinental","$285,618","3/24"
"The Thing (2011)","EDKO","$274,386","10/13"
"Colombiana","Panasia","$272,959","9/22"
"Leun yan sui yu (Lover's Discourse)","EDKO","$263,332","1/6"
"The Skin I Live In","EDKO","$252,961","12/29"
"Water for Elephants","Fox","$241,804","5/5"
"Chu Gui De Nu Ren","Gala","$241,118","3/24"
"Meng you 3D (Sleepwalker)","n/a","$239,615","11/3"
"Apollo 18","Cable","$238,226","9/22"
"Friends with Benefits","Sony","$237,392","10/13"
"Yin Hun Nan Nv","Gala","$221,171","4/14"
"Eiga Doraemon Shin Nobita to tetsujin heidan: Habatake tenshitachi","n/a","$220,481","7/28"
"Crazy, Stupid, Love.","WB","$220,037","10/20"
"What's Your Number?","Fox","$216,777","10/6"
"Bad Teacher","Sony","$215,623","9/1"
"Beach Spike","EDKO","$214,405","7/7"
"Seediq Bale II","n/a","$213,543","12/1"
"Bridesmaids","EDKO","$211,898","9/15"
"The Rum Diary","Intercontinental","$206,145","12/1"
"Burlesque","Sony","$204,596","2/17"
