" Movie Title"," Gross"
"Mamma Mia!","$4,718,122"
"Valami Amerika 2.","$2,096,334"
"Madagascar: Escape 2 Africa","$2,072,085"
"Indiana Jones and the Kingdom of the Crystal Skull","$1,973,779"
"Kung Fu Panda","$1,897,219"
"The Mummy: Tomb of the Dragon Emperor","$1,848,114"
"Sex and the City","$1,813,761"
"The Dark Knight","$1,378,010"
"Hancock","$1,264,422"
"Wall-E","$1,085,560"
"High School Musical 3: Senior Year","$1,074,533"
"9 és 1/2 randi","$1,067,842"
"The Chronicles of Narnia: Prince Caspian","$1,024,675"
"Tropic Thunder","$1,023,133"
"Quantum of Solace","$1,007,137"
"What Happens in Vegas","$942,705"
"Astérix aux jeux olympiques","$903,884"
"You Don't Mess with the Zohan","$850,859"
"Wanted","$827,111"
"I Am Legend","$806,816"
"Bedtime Stories","$803,126"
"Iron Man","$693,626"
"Dr. Seuss' Horton Hears a Who!","$680,627"
"10,000 B.C.","$675,334"
"The Tale of Despereaux","$664,166"
"Kaméleon","$568,706"
"The Day the Earth Stood Still (2008)","$556,926"
"Alien vs. Predator - Requiem","$550,546"
"American Gangster","$536,329"
"My Best Friend's Girl","$535,553"
"Jumper","$529,263"
"Definitely, Maybe","$522,454"
"Australia","$507,472"
"27 Dresses","$494,892"
"The X-Files: I Want to Believe","$458,801"
"Over Her Dead Body","$442,985"
"Step Up 2 the Streets","$433,525"
"Four Christmases","$432,644"
"Hellboy II: The Golden Army","$422,131"
"Fool's Gold","$418,924"
"Charlie Wilson's War","$414,174"
"Meet Dave","$399,434"
"Journey to the Center of the Earth","$389,610"
"Eagle Eye","$384,525"
"The Bucket List","$368,765"
"Forgetting Sarah Marshall","$363,513"
"Made of Honor","$361,947"
"No Country for Old Men","$345,883"
"Kalandorok","$334,940"
"Death Race","$326,636"
"The Happening","$321,600"
"Vicky Cristina Barcelona","$317,078"
"Atonement","$316,342"
"The Incredible Hulk","$309,801"
"Big Stan","$304,307"
"Twilight","$293,826"
"Burn After Reading","$282,338"
"Love in the Time of Cholera","$280,364"
"Sweeney Todd: The Demon Barber of Fleet Street","$269,204"
"Nights in Rodanthe","$268,704"
"Righteous Kill","$267,543"
"The Spiderwick Chronicles","$256,474"
"Max Payne","$254,719"
"Mirrors","$246,524"
"Street Kings","$243,235"
"Rambo","$242,842"
"21","$220,572"
"Eszter hagyatéka","$211,094"
"Get Smart","$207,556"
"The House Bunny","$206,550"
