" Movie Title"," Distributor"," Gross"," Release"
"Avatar","Fox","$7,300,532","12/17"
"Ice Age: Dawn of the Dinosaurs","InterCom","$4,101,370","7/1"
"Harry Potter and the Half Blood Prince","InterCom","$2,813,144","7/23"
"The Hangover","InterCom","$1,784,961","6/18"
"The Twilight Saga: New Moon","Forum Films","$1,672,215","11/20"
"Angels & Demons","InterCom","$1,563,828","5/13"
"The Proposal","Forum Films","$1,462,262","6/18"
"2012","InterCom","$1,399,821","11/12"
"Up","Forum Films","$1,349,234","10/15"
"Inglourious Basterds","UIP","$1,320,254","8/20"
"It's Complicated","UIP","$1,242,457","12/24"
"G-Force","Forum Films","$1,137,794","8/20"
"Transformers: Revenge of the Fallen","UIP","$1,095,400","6/24"
"Terminator Salvation: The Future Begins","Sony","$949,696","6/4"
"Made in Hungária","Budapest","$929,274","2/5"
"The Ugly Truth","InterCom","$900,001","10/1"
"The Final Destination","InterCom","$886,236","9/10"
"The Princess and the Frog","Forum Films","$796,787","12/24"
"Couples Retreat","UIP","$793,952","11/5"
"Bolt","Forum Films","$760,781","1/29"
"Michael Jackson's This Is It","InterCom","$714,733","10/29"
"Monsters Vs. Aliens","UIP - Duna","$678,049","4/2"
"A Christmas Carol (2009)","Forum Films","$672,128","11/5"
"Alvin and the Chipmunks: The
Squeakquel","InterCom","$618,308","12/24"
"Slumdog Millionaire","Forum Films","$604,941","2/19"
"Night at the Museum: Battle of the
Smithsonian","Fox","$593,303","5/21"
"Poligamy","n/a","$585,631","12/10"
"17 Again","Warner Bros.","$576,878","5/28"
"X-Men Origins: Wolverine","InterCom","$568,367","4/30"
"He's Just Not That Into You","WB","$567,349","2/26"
"The Curious Case of Benjamin Button","InterCom","$527,317","2/5"
"Marley and Me","Fox","$520,770","3/12"
"Surrogates","Forum Films","$486,590","10/1"
"Fast and Furious","UIP","$484,730","4/9"
"Yes Man","InterCom","$466,881","1/16"
"RockNRolla","WB","$465,100","1/1"
"G.I. Joe","UIP","$448,212","8/6"
"Hannah Montana The Movie","Forum Films","$444,391","4/23"
"My Bloody Valentine 3-D","Forum Films","$414,926","2/26"
"Cloudy with a Chance of Meatballs","InterCom","$395,599","9/24"
"Bride Wars","InterCom","$379,922","1/29"
"Cirque du Freak: The Vampire's Assistant","UIP","$366,736","10/22"
"Ghosts of Girlfriends Past","InterCom","$364,386","7/9"
"Star Trek","UIP","$357,506","5/7"
"The Taking of Pelham One, Two, Three","InterCom","$343,490","9/3"
"District 9","Palace","$337,665","9/24"
"Knowing","Forum Films","$334,447","6/11"
"Law Abiding Citizen","Palace","$315,732","12/3"
"Public Enemies","UIP","$314,754","7/16"
"The Accidental Husband","Palace","$297,894","8/27"
"Valkyrie","InterCom","$278,590","2/19"
"Transporter 3","SPI Int'l","$268,632","2/5"
"Race to Witch Mountain","Forum Films","$264,865","3/26"
"Hotel for Dogs","UIP - Duna","$257,327","2/26"
"Confessions of a Shopaholic","Forum Films","$248,887","4/9"
"Watchmen","UIP - Duna","$246,933","3/5"
"Arthur et la vengeance de Maltazard","Forum Films","$243,924","12/3"
"Julie & Julia","InterCom","$236,959","10/15"
"Duplicity","UIP","$235,569","4/30"
"The Pink Panther 2","InterCom","$220,671","2/12"
"Coco avant Chanel","Forum Films","$217,811","6/25"
"Papírrepülôk","Budapest","$212,387","4/9"
"I Love You Man","UIP","$203,718","4/16"
"Revolutionary Road","UIP - Duna","$200,539","1/22"
"State of Play","UIP","$199,794","5/28"
"Underworld: Rise of the Lycans","InterCom","$196,276","1/22"
