" Movie Title","Distributor","Gross","Release"
"Harry Potter and the Deathly Hallows (Part Two)","InterCom","$3,379,099","7/15"
"Pirates of the Caribbean: On Stranger Tides (3D)","Forum","$2,665,375","5/19"
"Transformers 3","UIP","$2,184,687","6/29"
"The Hangover Part II","InterCom","$2,044,993","5/26"
"Cars 2","Forum","$1,543,177","7/28"
"Puss in Boots","UIP","$1,386,202","12/1"
"Rio","InterCom","$1,314,101","4/21"
"The Twilight Saga: Breaking Dawn Part 1","n/a","$1,193,692","11/17"
"Kung Fu Panda 2","UIP","$1,185,878","6/2"
"The Smurfs","InterCom","$1,098,394","8/25"
"Just Go With It","InterCom","$995,436","3/10"
"Horrible Bosses","InterCom","$989,704","7/28"
"The King's Speech","Budapest","$927,154","2/3"
"In Time","InterCom","$904,823","10/27"
"Fast Five","UIP","$842,422","5/5"
"Yogi Bear","InterCom","$825,092","4/7"
"Thor","UIP","$744,824","4/28"
"Mission: Impossible - Ghost Protocol","UIP","$650,813","12/15"
"Rango","UIP","$594,935","3/3"
"Immortals","n/a","$570,563","11/10"
"New Year's Eve","InterCom","$555,337","12/8"
"Happy Feet Two","InterCom","$553,058","12/22"
"Hall Pass","InterCom","$543,703","3/3"
"Johnny English Reborn","UIP","$543,077","9/15"
"Mr. Popper's Penguins","InterCom","$524,149","6/23"
"Zookeeper","InterCom","$519,290","7/21"
"Love and Other Drugs","InterCom","$516,873","1/6"
"Bad Teacher","InterCom","$510,133","8/18"
"Captain America: The First Avenger","UIP","$505,909","8/4"
"Final Destination 5","InterCom","$496,463","9/8"
"No Strings Attached","UIP","$494,724","2/10"
"Winnie the Pooh","Forum","$446,010","7/7"
"Friends with Benefits","InterCom","$440,665","9/22"
"X-Men: First Class","InterCom","$437,623","6/2"
"Jack and Jill","InterCom","$420,065","12/29"
"Real Steel","Forum","$415,424","10/6"
"Arthur Christmas","InterCom","$406,396","11/24"
"Crazy, Stupid, Love.","InterCom","$405,016","9/1"
"Gulliver's Travels","InterCom","$402,048","2/3"
"Black Swan","Budapest","$392,121","2/17"
"Drive Angry","InterCom","$389,740","2/24"
"The Dilemma","UIP","$389,450","1/27"
"The Next Three Days","Palace","$389,450","1/20"
"Battle: Los Angeles","InterCom","$382,619","3/17"
"Tower Heist","UIP","$355,433","11/10"
"Super 8","UIP","$354,222","6/16"
"Rise of the Planet of the Apes","InterCom","$326,365","8/18"
"The Adjustment Bureau","UIP","$325,229","3/31"
"Dolphin Tale","InterCom","$323,073","10/20"
"Unknown","InterCom","$309,755","4/14"
"Limitless","n/a","$301,244","4/7"
"Contagion","InterCom","$296,332","10/13"
"Alvin and the Chipmunks: Chipwrecked","InterCom","$288,952","12/15"
"Gnomeo and Juliet","Forum","$287,307","2/10"
