" Movie Title"," Distributor"," Gross"," Release"
"Avatar","Fox","$1,128,859","12/18"
"Bjarnfreðarson","n/a","$608,508","12/26"
"The Hangover","WB","$409,414","6/10"
"Män som hatar kvinnor (The Girl with the Dragon Tattoo)","n/a","$337,563","7/22"
"Harry Potter and the Half Blood Prince","WB","$326,528","7/15"
"Jóhannes","Myndform","$325,032","10/16"
"Angels & Demons","Sony","$287,459","5/15"
"Ice Age: Dawn of the Dinosaurs","Fox","$277,222","7/1"
"Slumdog Millionaire","Myndform","$272,317","1/16"
"2012","Sony","$244,004","11/13"
"Flickan som lekte med elden","n/a","$234,258","10/2"
"The Proposal","Disney","$229,159","7/29"
"Inglourious Basterds","UIP","$226,081","8/26"
"Up","Disney","$224,274","8/28"
"Transformers: Revenge of the Fallen","UIP","$213,912","6/24"
"Algjor Sveppi","n/a","$211,833","9/25"
"Brüno","n/a","$184,024","7/10"
"Alvin and the Chipmunks: The
Squeakquel","Fox","$173,660","12/26"
"Monsters Vs. Aliens","UIP","$160,780","4/3"
"A Christmas Carol (2009)","Disney","$148,749","11/20"
"Fast and Furious","UIP","$145,551","4/3"
"The Twilight Saga: New Moon","n/a","$144,903","11/25"
"The Ugly Truth","Sony","$144,517","9/18"
"Public Enemies","UIP","$141,273","8/5"
"Terminator Salvation: The Future Begins","Sony","$128,371","6/3"
"X-Men Origins: Wolverine","Fox","$126,349","5/1"
"Watchmen","UIP","$124,215","3/13"
"Draumalandid","n/a","$123,238","4/8"
"G-Force","Disney","$121,676","8/7"
"17 Again","n/a","$114,173","4/17"
"I Love You Man","UIP","$107,473","4/10"
"He's Just Not That Into You","Myndform","$102,923","2/20"
"Star Trek","UIP","$101,352","5/8"
"Solskinsdrengurinn (The Sunshine Boy)","Sena","$98,823","1/9"
"Marley and Me","Fox","$96,672","3/6"
"My Bloody Valentine 3-D","Myndform","$95,533","1/30"
"Night at the Museum: Battle of the
Smithsonian","Fox","$92,573","5/20"
"My Sister's Keeper","n/a","$92,493","7/8"
"District 9","n/a","$92,214","9/18"
"Paul Blart: Mall Cop","Sony","$92,203","3/27"
"Law Abiding Citizen","n/a","$91,672","11/6"
"The Curious Case of Benjamin Button","Samfilm","$85,687","2/6"
"Michael Jackson's This Is It","Sony","$82,956","10/28"
"Zombieland","Sony","$80,548","10/23"
"Role Models","Samfilm","$80,381","1/23"
"G.I. Joe","UIP","$75,827","8/12"
"Knowing","Samfilm","$74,799","3/27"
"Bedtime Stories","Samfilm","$74,325","1/16"
"Beverly Hills Chihuahua","Samfilm","$74,028","2/13"
"Drag Me to Hell","n/a","$70,994","8/19"
"Couples Retreat","UIP","$64,116","10/23"
"Gran Torino","WB","$63,772","3/6"
"Year One","Sony","$62,074","6/19"
"The Final Destination","n/a","$61,958","9/11"
"Confessions of a Shopaholic","Samfilm","$60,193","2/27"
"The Princess and the Frog","Disney","$59,711","12/26"
"The Reader","Sena","$53,422","2/6"
"Ghosts of Girlfriends Past","n/a","$52,314","6/10"
"Fame (2009)","n/a","$51,943","10/9"
"Bride Wars","Sena","$51,792","2/6"
"Surrogates","Disney","$49,123","10/2"
"Hatid i bae (2009)","n/a","$47,259","11/6"
"Old Dogs","Disney","$46,773","12/11"
"The Last House on the Left (2009)","n/a","$46,390","5/22"
"RockNRolla","Samfilm","$46,289","1/9"
"Observe and Report","n/a","$46,212","4/24"
"Fanboys","Sena","$44,580","2/13"
"Crank: High Voltage","n/a","$44,498","4/24"
"Valkyrie","Sena","$44,198","1/30"
"Reykjavik Whale Watching Massacre","n/a","$43,476","9/4"
"Ninja Assassin","WB","$42,313","12/4"
"Paranormal Activity","n/a","$41,905","11/6"
"Funny People","UIP","$41,729","9/25"
"The Taking of Pelham One, Two, Three","Sony","$40,609","8/19"
"The International","Sena","$39,910","2/27"
"The Tale of Despereaux","Myndform","$39,732","2/27"
"La Véritable histoire du chat botte","n/a","$37,133","5/1"
"The Pink Panther 2","Sena","$36,804","2/20"
"Adventureland","Disney","$36,497","5/29"
"Transporter 3","Myndform","$35,416","1/2"
"Friday the 13th (2009)","Samfilm","$34,229","2/13"
"Gamer (2009)","n/a","$33,583","10/16"
"State of Play","UIP","$33,224","4/17"
"Vicky Cristina Barcelona","Sena","$32,380","1/30"
"Race to Witch Mountain","Disney","$31,529","3/20"
"Changeling","Samfilm","$31,495","1/9"
"Hotel for Dogs","Myndform","$31,159","2/6"
"Julie & Julia","Sony","$30,141","12/4"
"Hannah Montana The Movie","Disney","$29,143","5/13"
"Underworld: Rise of the Lycans","Sena","$27,912","1/23"
