" Movie Title",," Gross"," Release"
"Welcome (2007)",,"$29,170,783","12/21"
"Om Shanti Om",,"$26,919,459","11/9"
"Guru",,"$20,833,806","1/12"
"Taare Zameen Par",,"$19,779,215","12/21"
"Chak DE! India",,"$19,133,825","8/10"
"Bhool Bhulaiyaa",,"$16,471,448","10/12"
"Spider-Man 3",,"$16,402,484","5/4"
"Saawariya",,"$15,982,236","11/9"
"Ta Ra Rum Pum",,"$12,644,749","4/27"
"Partner",,"$12,631,874","7/20"
"Namastey London",,"$12,108,989","3/23"
"Heyy Babyy",,"$10,794,512","8/24"
"Dhamaal",,"$10,393,150","9/7"
"Jhoom Barabar Jhoom",,"$9,721,899","6/15"
"Jab We Met",,"$9,088,584","10/26"
"Salaam-E-Ishq",,"$8,965,004","1/26"
"Shootout at Lokhandwala",,"$8,669,959","5/25"
"Cheeni Kum",,"$7,614,202","5/25"
"Cash (2007)",,"$7,235,982","8/3"
"Laga Chunari Mein Daag - Journey of a Woman",,"$7,121,041","10/12"
"Apne",,"$6,780,279","6/29"
"Eklavya - The Royal Guard",,"$6,556,025","2/16"
"Dhan Dhana Dhana Goal",,"$6,496,153","11/23"
"Life in a... METRO",,"$5,808,417","5/11"
"Harry Potter and the Order of the Phoenix",,"$5,732,191","7/13"
"Pirates of the Caribbean: At World's End",,"$5,389,149","6/1"
"Aaja Nachle",,"$5,256,190","11/30"
"Aap Kaa Surroor: The Moviee - The Real Luv
Story",,"$5,030,120","6/29"
"Naqaab: Disguised Intentions",,"$4,621,640","7/13"
"Honeymoon Travels Pvt. Ltd.",,"$4,598,566","2/23"
"Fool and Final",,"$3,955,328","6/1"
"Ghost Rider",,"$3,908,396","2/23"
"Bheja Fry",,"$3,773,555","4/13"
"Live Free or Die Hard",,"$3,737,068","6/29"
"Awarapan",,"$3,652,254","6/29"
"Dhol",,"$3,626,209","9/21"
"Dus Kahaniyaan",,"$3,100,861","12/7"
"Transformers",,"$3,011,203","8/17"
"Traffic Signal",,"$2,723,691","2/2"
"300",,"$2,582,794","3/16"
"Good Boy, Bad Boy",,"$2,566,887","5/11"
