" Movie Title"," Gross"
"Ghajini","$34,320,002"
"Rab Ne Bana Di Jodi","$24,791,323"
"Singh Is Kinng","$22,174,962"
"Race","$20,833,227"
"Jodhaa Akbar","$20,737,279"
"Jaane Tu Ya Jaane Na","$18,849,376"
"Golmaal Returns","$15,706,257"
"Dostana","$14,578,677"
"Sarkar Raj","$12,096,779"
"Bhoothnath","$11,164,612"
"Bachna Ae Haseeno","$9,842,212"
"The Mummy: Tomb of the Dragon Emperor","$9,755,341"
"Tashan","$9,522,232"
"Quantum of Solace","$9,127,201"
"Jannat","$9,088,535"
"Fashion","$8,354,547"
"Kismat Konnection","$8,341,392"
"U Me Aur Hum","$8,304,367"
"Rock On!!","$7,024,956"
"Mere Baap Pahle Aap","$6,774,593"
"Sunday","$6,600,767"
"Krazzy 4","$6,459,038"
"Thoda Pyaar Thoda Magic","$6,450,806"
"Kidnap","$5,653,558"
"One Two Three","$5,539,647"
"The Chronicles of Narnia: Prince Caspian","$5,518,494"
"Hancock","$5,467,967"
"God Tussi Great Ho","$4,381,576"
"Love Story 2050","$4,236,977"
"Yuvvraaj","$4,194,625"
"Halla Bol","$4,000,628"
"Karzzzz","$3,944,212"
"The Dark Knight","$3,650,589"
"Drona","$3,638,472"
"Indiana Jones and the Kingdom of the Crystal Skull","$3,487,189"
"10,000 B.C.","$3,458,339"
"Hello...","$3,325,520"
"Welcome to Sajjanpur","$3,301,431"
"A Wednesday","$3,256,911"
"Heroes (2008)","$3,138,040"
"The Incredible Hulk","$3,137,469"
"Phoonk","$3,085,940"
"1920","$2,903,529"
"Mission Istaanbul","$2,648,580"
"De Taali","$2,350,118"
"Ugly Aur Pagli","$2,003,047"
"Iron Man","$1,993,885"
"Mithya","$1,966,789"
"Oye Lucky, Lucky Oye","$1,865,823"
"Black & White (2008)","$1,699,599"
"Wanted","$1,537,503"
"The Golden Compass","$1,511,303"
"Vantage Point","$1,484,627"
"National Treasure: Book of Secrets","$1,449,097"
"Money Hai Toh Honey Hai","$1,371,875"
"Roadside Romeo","$1,370,025"
"EMI","$1,352,299"
"Mumbai Meri Jaan","$1,186,636"
"Dil Kabaddi","$1,162,680"
"C Kkompany","$1,135,200"
"Khuda Ke Liye","$1,121,687"
"Superstar","$1,074,567"
"The Day the Earth Stood Still (2008)","$1,030,348"
"Woodstock Villa","$932,552"
"Contract (2008)","$872,098"
"Mr. White Mr. Black","$859,102"
"Aamir","$831,931"
"Kung Fu Panda","$824,409"
"Jumbo (2008)","$805,184"
"Hijack","$796,317"
"Madagascar: Escape 2 Africa","$681,716"
"Ek Vivah Aisa Bhi","$662,919"
