" Movie Title","Distributor","Gross","Release"
"Avatar","Fox","$24,216,860","12/18"
"Love Aaj Kal","n/a","$16,192,031","7/31"
"Chandni Chowk to China","n/a","$8,752,001","1/16"
"Delhi 6","n/a","$8,377,869","2/20"
"Raaz: The Mystery Continues","n/a","$7,636,317","1/23"
"Slumdog Millionaire","n/a","$7,380,960","1/23"
"Billu","n/a","$6,296,036","2/13"
"Arundhati","n/a","$4,566,555","1/16"
"Harry Potter and the Half Blood Prince","Warner Bros.","$4,480,215","7/17"
"Dev D","n/a","$4,029,356","2/6"
"Luck by Chance","n/a","$3,914,500","1/30"
"Wake Up Sid","n/a","$3,111,717","10/2"
"Maska","n/a","$3,011,384","1/14"
"Fast and Furious","UIP","$3,011,028","4/3"
"Transformers: Revenge of the Fallen","UIP","$2,798,175","6/26"
"13B","n/a","$2,389,325","3/6"
"Gulaal","n/a","$2,254,399","3/13"
"Dhoondte Reh Jaoge","n/a","$2,097,609","3/6"
"Aa Dekhen Zara","n/a","$1,320,197","3/27"
"Aloo Chat","n/a","$1,170,307","3/20"
"Underworld: Rise of the Lycans","Sony","$1,064,719","2/6"
"Night at the Museum: Battle of the Smithsonian","Fox","$800,459","7/24"
"Konchem Ishtam Konchem Kashtam","n/a","$794,270","2/5"
"The Pink Panther 2","Sony","$670,674","2/27"
"The Ugly Truth","Sony","$645,855","9/11"
"Teree Sang","Sony","$579,199","8/7"
"Jai Veeru","n/a","$550,859","3/13"
"Victory (2008)","n/a","$501,877","1/30"
"Monsters Vs. Aliens","UIP","$425,118","4/17"
"Australia","n/a","$414,790","1/2"
"Little Zizou","n/a","$405,648","3/13"
"The Taking of Pelham One, Two, Three","Sony","$380,908","8/28"
"Valkyrie","n/a","$351,274","2/20"
"Straight (2009)","Sony","$348,289","3/20"
"The Curious Case of Benjamin Button","n/a","$328,310","2/27"
"Chal Chala Chal","n/a","$299,462","2/6"
"Confessions of a Shopaholic","Disney","$294,880","3/20"
"Firaaq","n/a","$274,637","3/20"
"The International","Sony","$235,154","3/27"
"Kisse Pyaar Karoon","n/a","$219,213","2/27"
"The Stoneman Murders","n/a","$192,508","2/13"
"Marley and Me","n/a","$190,929","2/6"
"Public Enemies","UIP","$189,393","8/7"
"He's Just Not That Into You","n/a","$188,076","2/13"
"Barah Anna","n/a","$183,477","3/20"
"Watchmen","UIP","$144,585","3/27"
"Revolutionary Road","n/a","$143,574","3/6"
"Seven Pounds","n/a","$142,872","2/13"
"The President Is Coming","n/a","$104,235","1/9"
"Four Christmases","WB","$97,296","3/27"
"Changeling","n/a","$93,930","1/16"
"Kaashh... Mere Hote","n/a","$93,571","1/9"
"Aasma: The Sky Is the Limit","n/a","$85,048","1/23"
"The Reader","n/a","$67,355","3/6"
"Dragonball Evolution","Fox","$58,740","4/17"
"Milk","n/a","$52,241","2/20"
"Cloudy with a Chance of Meatballs","Sony","$45,870","10/2"
"Mere Khwabon Mein Jo Aaye","n/a","$45,625","2/6"
"Karma, Confessions and Holi","n/a","$40,100","3/6"
"Street Kings","n/a","$30,259","3/13"
"Siddharth: The Prisoner","n/a","$26,959","2/27"
"Gran Torino","n/a","$20,735","3/13"
"Bad Luck Govind","n/a","$20,470","1/9"
