" Movie Title","Distributor","Gross","Release"
"Natale in crociera","Filmauro","$36,800,000","12/14"
"Una Moglie Bellisima","Medusa","$29,502,958","12/14"
"Shrek the Third","UPI","$28,954,085","8/31"
"Harry Potter and the Order of the Phoenix","WB","$26,410,993","7/11"
"Spider-Man 3","Sony","$26,340,543","5/4"
"Manuale d'amore 2 (Capitoli successivi)","Filmauro","$26,266,668","1/19"
"Ratatouille","Disney","$25,880,003","10/19"
"The Simpsons Movie","Fox","$23,872,009","9/14"
"Pirates of the Caribbean: At World's End","BVI","$22,456,358","5/23"
"The Pursuit of Happyness","Medusa","$21,309,984","1/12"
"Ho voglia di te","WB","$18,594,142","3/9"
"Notte prima degli esami - Oggi","01 Dist.","$16,544,856","2/14"
"Night at the Museum","Fox","$16,188,874","2/2"
"Matrimonio alle Bahamas","Medusa","$15,471,233","11/16"
"300","WB","$14,618,081","3/23"
"The Golden Compass","01 Dist.","$13,784,599","12/14"
"National Treasure: Book of Secrets","Disney","$13,168,731","12/21"
"Transformers","UIP","$11,083,233","6/28"
"Come tu mi vuoi","Medusa","$10,947,653","11/9"
"Enchanted","Disney","$10,816,852","12/7"
"Casino Royale","Sony","$10,760,911","1/5"
"Saturno contro","Medusa","$10,652,524","2/23"
"Il 7 E L'8","Medusa","$10,412,376","3/16"
"Fantastic Four: Rise of the Silver Surfer","Fox","$10,037,641","6/15"
"Bee Movie","UPI","$9,595,892","12/21"
"Mio fratello è figlio unico (My Brother Is an Only Child)","WB","$9,406,247","4/20"
"Rocky Balboa","Fox","$8,928,978","1/12"
"The Heartbreak Kid","UPI","$8,754,310","11/9"
"Apocalypto","Eagle","$8,677,937","1/5"
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","Fox","$8,364,555","3/2"
"Lions for Lambs","Fox","$8,321,849","12/21"
"Ocean's Thirteen","WB","$8,106,142","6/8"
"SMS - Sotto mentite spoglie","Medusa","$7,733,366","10/12"
"Hannibal Rising","Filmauro","$7,566,213","2/9"
"Mr. Bean's Holiday","UPI","$7,493,771","4/6"
"The Bourne Ultimatum","UPI","$7,033,305","11/1"
"Winx club - Il segreto del regno perduto (Winx Club: The Secret of the Lost Kingdom)","01 Dist.","$6,782,111","11/30"
"Elizabeth: The Golden Age","UPI","$6,631,735","10/26"
"Michael Clayton","Medusa","$6,289,332","10/5"
"The Holiday","UPI","$6,079,376","2/9"
"Giorni e nuvole (Days and Clouds)","WB","$6,010,383","10/26"
"Evan Almighty","UPI","$5,830,269","9/28"
"Milano-Palermo: il ritorno","Disney","$5,801,888","11/23"
"Blood Diamond","WB","$5,701,333","1/26"
"1408","Lucky Red","$5,542,670","11/23"
"Love in the Time of Cholera","01 Dist.","$5,462,115","12/21"
"Das Leben der Anderen (The Lives of Others)","01 Dist.","$5,220,873","4/6"
"Music and Lyrics","WB","$5,080,907","2/23"
"Beowulf","WB","$5,072,906","11/16"
"Live Free or Die Hard","Fox","$4,957,726","10/26"
"Saw III","Fox","$4,895,245","3/9"
"Step Up","Medusa","$4,743,789","1/26"
"Eastern Promises","Eagle","$4,696,527","12/14"
"La Ragazza del lago","Medusa","$4,688,666","9/14"
"Hairspray (2007)","Moviemax","$4,599,556","9/28"
"Epic Movie","Fox","$4,270,127","4/27"
"Norbit","UPI","$4,227,608","3/23"
"La Cena per farli conoscere","Medusa","$4,173,202","2/2"
"The Good Shepherd","Medusa","$4,105,822","4/20"
"The Number 23","01 Dist.","$4,079,576","4/23"
"Wild Hogs","BVI","$4,024,291","4/20"
"Ghost Rider","Sony","$4,024,178","3/16"
"Lezioni di cioccolato","UPI","$3,879,390","11/23"
"Fracture","Eagle","$3,521,113","11/2"
"Centochiodi","Mikado","$3,404,025","3/30"
"Zodiac","WB","$3,349,611","5/18"
"Death at a Funeral","Mikado","$3,318,228","9/21"
"Bridge to Terabithia","Moviemax","$3,249,576","3/30"
"Stardust","UPI","$3,222,376","10/12"
"The Illusionist","Eagle","$3,211,198","4/6"
"Grindhouse: Death Proof","Medusa","$3,077,701","6/1"
"La Terza madre (Mother of Tears)","Medusa","$3,039,146","10/31"
"In the Land of Women","Moviemax","$2,860,706","8/24"
"Resident Evil: Extinction","Sony","$2,755,372","10/12"
"Knocked Up","UPI","$2,675,757","10/19"
"Arthur et les Minimoys (Arthur and the Invisibles)","01 Dist.","$2,656,590","2/9"
"2061","01 Dist.","$2,632,732","10/26"
"Irina Palm","Teodora","$2,612,727","12/7"
"I Vicerè","01 Dist.","$2,584,556","11/9"
"In the Valley of Elah","Mikado","$2,465,643","11/30"
"The Last Legion","01 Dist.","$2,387,367","9/14"
"Alpha Dog","Moviemax","$2,378,866","2/23"
"Surf's Up","Sony","$2,351,388","10/5"
"Sukkar banat (Caramel)","Archibald","$2,301,033","12/21"
"Perfect Stranger","Sony","$2,273,376","4/13"
"Lezioni di volo","01 Dist.","$2,270,431","3/16"
"Disturbia","UPI","$2,247,826","8/17"
"Bobby","01 Dist.","$2,190,025","1/19"
"I Now Pronounce You Chuck and Larry","UPI","$2,185,053","9/7"
"The Brave One","WB","$2,113,606","9/28"
"Curse of the Golden Flower (Man cheng jin dai huang jin jia)","01 Dist.","$2,082,430","5/25"
"Sicko","01 Dist.","$2,038,301","8/24"
"Notes on a Scandal","Fox","$1,983,521","2/23"
"Hitman","Fox","$1,977,980","12/7"
"Bordertown","Medusa","$1,907,846","3/23"
"Man of the Year","Medusa","$1,858,106","5/11"
"Captivity","Filmauro","$1,750,776","8/31"
"Uno su due","01 Dist.","$1,698,848","3/2"
"Because I Said So","Eagle","$1,682,577","3/23"
"Premonition","Eagle","$1,674,285","9/7"
"License to Wed","WB","$1,667,294","8/24"
"Silk","Medusa","$1,615,449","10/26"
"No Reservations","WB","$1,587,445","9/14"
"The Hideout","01 Dist.","$1,569,094","11/16"
"Nero bifamiliare","Moviemax","$1,554,077","4/13"
"Pathfinder: Legend of the Ghost Warrior","Fox","$1,506,321","8/24"
"La Giusta distanza","01 Dist.","$1,495,120","10/19"
"Notturno bus","01 Dist.","$1,473,810","5/11"
"Atonement","UPI","$1,467,346","9/21"
"August Rush","Medusa","$1,462,687","11/30"
"La Môme (La Vie en Rose)","Mikado","$1,458,533","5/4"
"Il dolce e l'amaro","Medusa","$1,445,130","9/7"
"Stay Alive","Medusa","$1,411,248","3/30"
"Scrivilo sui muri","Eagle","$1,349,071","9/21"
"The Reaping","WB","$1,346,658","4/6"
"Cemento armato","01 Dist.","$1,300,564","10/5"
"Hostel Part II","Sony","$1,238,420","6/22"
"Direktøren for det hele (Boss of It All)","Lucky Red","$1,224,987","1/5"
