" Movie Title"," Gross"
"Natale a Rio","$36,125,993"
"Madagascar: Escape 2 Africa","$34,915,869"
"Kung Fu Panda","$22,037,818"
"Grande, grosso e Verdone","$21,860,130"
"I Am Legend","$21,020,300"
"Scusa ma ti chiamo amore","$20,913,254"
"Il Cosmo sul comò","$19,285,300"
"Indiana Jones and the Kingdom of the Crystal Skull","$18,982,360"
"Hancock","$17,819,261"
"Gomorra","$17,665,830"
"American Gangster","$15,092,231"
"Twilight","$14,410,854"
"The Dark Knight","$13,871,401"
"Mamma Mia!","$12,919,298"
"High School Musical 3: Senior Year","$12,738,501"
"The Kite Runner","$12,730,140"
"Wall-E","$12,210,993"
"Parlami d'amore","$11,537,025"
"L'Allenatore nel pallone 2","$11,225,448"
"Iron Man","$11,035,006"
"The Chronicles of Narnia: Prince Caspian","$10,800,873"
"Sex and the City","$10,435,358"
"La Fidanzata di papà","$9,471,031"
"Slumdog Millionaire","$9,341,549"
"Caos calmo (Quiet Chaos)","$9,204,569"
"Quantum of Solace","$9,174,615"
"No Country for Old Men","$8,961,350"
"Nights in Rodanthe","$8,805,990"
"Burn After Reading","$8,734,151"
"Il Divo","$8,517,653"
"10,000 B.C.","$8,188,578"
"Vicky Cristina Barcelona","$8,124,300"
"Bianco e nero","$8,096,913"
"Into the Wild","$8,058,998"
"The Mummy: Tomb of the Dragon Emperor","$7,983,188"
"Un'Estate al mare","$7,770,731"
"Bolt","$7,073,495"
"Cassandra's Dream","$6,891,125"
"The Incredible Hulk","$6,460,290"
"Changeling","$6,322,144"
"Wanted","$6,197,505"
"Sweeney Todd: The Demon Barber of Fleet Street","$6,176,046"
"The Day the Earth Stood Still (2008)","$6,116,423"
"Body of Lies","$6,005,344"
"Rambo","$5,859,791"
"Tutta la vita davanti","$5,648,340"
"Alvin and the Chipmunks","$5,481,266"
"Astérix aux jeux olympiques","$5,408,181"
"Step Up 2 the Streets","$5,313,261"
"Questa notte è ancora nostra","$5,201,233"
"What Happens in Vegas","$5,177,747"
"Il Papà di Giovanna","$4,846,636"
"No Problem (2008)","$4,837,672"
"Hellboy II: The Golden Army","$4,722,358"
"Before the Devil Knows You're Dead","$4,648,889"
"Tropic Thunder","$4,588,810"
"Righteous Kill","$4,578,190"
"Cloverfield","$4,539,709"
"Next","$4,522,275"
"Come Dio comanda","$4,496,101"
"Superhero Movie","$4,416,797"
"Jumper","$4,337,595"
"Saw IV","$4,328,882"
"Bienvenue chez les Ch'tis","$4,245,593"
"Un Giorno perfetto","$4,212,962"
"Nim's Island","$4,095,643"
"Colpo d'occhio","$4,057,969"
"Dr. Seuss' Horton Hears a Who!","$3,954,684"
"21","$3,902,936"
"The Happening","$3,862,021"
"27 Dresses","$3,860,905"
"You Don't Mess with the Zohan","$3,849,845"
"30 Days of Night","$3,809,946"
