" Movie Title","Distributor","Gross","Release"
"Gake no ue no Ponyo (Ponyo on a Cliff)","Toho","$164,565,997","7/19"
"Hana yori dango: Fainaru (Boys Over Flowers: Final)","Toho","$70,821,405","6/28"
"Okuribito (Departures)","Shochiku","$61,010,217","9/13"
"Indiana Jones and the Kingdom of the Crystal Skull","PPI","$53,085,593","6/21"
"Chi bi (Red Cliff: Part I)","Toho-Towa","$52,418,016","11/1"
"Yôgisha X no kenshin (Suspect X)","Toho","$52,323,944","10/4"
"Wall-E","Disney","$44,005,222","12/5"
"Gekijô ban poketto monsutâ: Daiamondo pâru - Giratina to sora no hanataba Sheimi (Pokémon
Diamond & Pearl the Movie: Giratina and the Frozen Sky's Bouquet: Shaymin) (2008)","Toho","$43,338,599","7/19"
"Aibô: gekijô-ban","Toei","$41,550,983","5/1"
"20-seiki shônen (Twentieth Century Boys: Chapter One)","Toho","$35,870,679","8/30"
"Za majikku awâ (The Magic Hour)","Toho","$35,723,111","6/7"
"The Golden Compass","GAGA","$33,501,399","3/1"
"Doraemon: Nobita to Midori no kyojinten (2008)","Toho","$31,269,299","3/8"
"L: Change the World","WB","$29,316,292","2/9"
"Hancock","Sony","$28,713,223","8/30"
"The Chronicles of Narnia: Prince Caspian","Disney","$27,704,112","5/21"
"Enchanted","Disney","$27,600,440","3/14"
"The Day the Earth Stood Still (2008)","Fox","$26,280,254","12/19"
"Watashi wa kani ni naritai (I Want to Be a Shellfish)","Toho","$25,221,446","11/22"
"Wanted","Toho-Towa","$23,370,055","9/20"
"Earth (2007)","GAGA","$23,292,544","1/12"
"The Mummy: Tomb of the Dragon Emperor","Toho-Towa","$22,941,660","8/16"
"Pako to mahô no ehon (Paco and the Magical Picture Book)","Toho","$22,650,527","9/13"
"Meitantei Conan: Senritsu no furu sukoa (Detective Conan: Full Score of Fear) (2008)","Toho","$22,516,203","4/18"
"Detroit Metal City","Toho","$21,763,000","8/23"
"K-20: Kaijin niju menso den","Toho","$21,017,206","12/20"
"Sweeney Todd: The Demon Barber of Fleet Street","WB","$19,650,613","1/19"
"Kaabee (Our Mother)","Shochiku","$18,338,859","1/26"
"252: Seizonsha ari (252: Signal of Life )","WB","$18,168,069","12/6"
"Kagehinata ni saku (Flowers in the Shadow)","Toho","$17,918,898","1/26"
"Kung Fu Panda","Asmik Ace","$16,953,252","7/26"
"Jumper","Fox","$16,939,118","3/7"
"Sex and the City","GAGA","$16,692,762","8/23"
"Eiga: Kurosagi","Toho","$16,012,002","3/8"
"Chîmu bachisuta no eikô","Toho","$14,584,818","2/9"
"The Dark Knight","WB","$14,574,849","8/9"
"Shôrin shôjo (Shaolin Girl)","Toho","$14,086,798","4/26"
"Inu to watashi no 10 no yakusoku (10 Promises to My Dog)","Shochiku","$13,946,504","3/15"
"Happî furaito (Happy Flight)","Toho","$13,809,609","11/15"
"Eagle Eye","Herald","$13,291,825","10/18"
"Gegege no Kitarô: Sennen noroi uta","Shochiku","$12,884,706","7/12"
"The Bucket List","WB","$12,420,911","5/10"
"Akai ito (Threads of Destiny)","Shochiku","$12,244,937","12/20"
"Cloverfield","PPI","$11,604,728","4/5"
"The Happening","Fox","$11,295,935","7/26"
"Major Yujo no Ikkyu (Major: The Pitch of Friendship)","Toho","$11,212,204","12/13"
"Kureyon Shin-chan: Chô arashi wo yobu kinpoko no yûsha","Toho","$11,198,054","4/19"
"P.S. I Love You","Toho-Towa","$10,479,945","10/18"
"Kuraimâzu hai (The Climbers High)","Toei","$10,313,773","7/5"
"American Gangster","Toho-Towa","$10,268,365","2/1"
"Gekijô ban Naruto: Shippûden - Kizuna (2008)","Toho","$10,233,203","8/2"
"Body of Lies","WB","$9,651,930","12/20"
"10,000 B.C.","WB","$9,522,433","4/26"
"Giniro no season (Season of Snow)","Toho","$9,365,779","1/12"
"Sunadokei (Sand Chronicles)","Toho","$9,296,129","4/26"
"Hansamu sûtsu (Handsome Suits)","Asmik Ace","$8,839,532","11/1"
"Iron Man","Sony","$8,658,784","9/27"
