" Movie Title"," Gross"
"Avatar","$186,753,197"
"Rookies: Sotsugyô","$87,999,688"
"Harry Potter and the Half Blood Prince","$83,776,293"
"Michael Jackson's This Is It","$57,073,792"
"Chi bi: Xia - Jue zhan tian xia (Red Cliff: Part II)","$56,374,881"
"Up","$51,920,149"
"Gekijô ban poketto monsutâ: Daiamondo pâru - Arceus Chokoku No Jiku He (Pokémon 12)","$48,687,041"
"One Piece Film: Strong World","$48,192,309"
"20-seiki shônen: Saishû-shô - Bokura no hata (20th Century Boys: The Last Chapter - Our Flag)","$48,134,725"
"Nodame Kantâbire: Saishuu-gakushou - Zenpen","$42,694,088"
"2012","$42,626,869"
"Evangerion shin gekijôban: Ha (Evangelion: 2.0 You Can (Not) Advance)","$40,303,632"
"Amalufi: Megami no hôshû","$37,670,889"
"Meitantei Conan: Shikkoku No Chaser (Detective Conan: The Raven Chaser)","$35,701,081"
"Angels & Demons","$34,229,210"
"Gokusen: The Movie","$33,963,369"
"Terminator Salvation: The Future Begins","$33,869,677"
"Yomei Ikkagetsu No Hanayome (April Bride)","$31,679,102"
"Yattâman","$30,365,792"
"Kurôzu zero 2 (Crows Zero 2)","$29,865,854"
"20-seiki shônen: Dai 2 shô - Saigo no kibô (Twentieth Century Boys: Chapter Two)","$29,055,016"
"Shizumanu taiyô (The Sun That Doesn't Set)","$29,000,322"
"Mamma Mia!","$27,597,385"
"The Curious Case of Benjamin Button","$25,400,000"
"Tsurugidake: ten no ki","$25,134,437"
"Kaiji: Jinsei gyakuten gêmu","$24,248,943"
"Boku no hatsukoi wo kimi ni sasagu (I Give My First Love to You)","$23,942,259"
"Eiga doraemon: Shin. Nobita no uchû kaitakushi","$23,825,776"
"Transformers: Revenge of the Fallen","$22,707,567"
"Quantum of Solace","$21,685,734"
"Night at the Museum: Battle of the Smithsonian","$21,496,544"
"Kansen rettô","$20,360,716"
"Hachiko: A Dog's Story","$20,025,195"
"Gekijôban Kamen raidâ Dikeido: Ôru Raidâ tai Daishokkâ (Kamen Rider Decade the Movie: All Riders Vs. Great Shocker)","$19,418,091"
"Ballad: Na mo naki koi no uta","$19,277,195"
"Drop (2009)","$19,083,720"
"A Christmas Carol (2009)","$17,601,649"
"Samâwôzu (Summer Wars)","$17,425,019"
