" Movie Title"," Distributor"," Gross"," Release"
"Alice in Wonderland (2010)","Disney","$133,694,649","4/17"
"Toy Story 3","Disney","$126,660,533","7/1"
"The Borrowers (Kari-gurashi no Arietti)","Toho","$110,013,058","7/17"
"Umizaru 3 (The Last Message)","Toho","$94,786,753","9/18"
"Bayside Shakedown 3: Set the Guys Loose","Toho","$85,245,510","7/3"
"Harry Potter and the Deathly Hallows (Part One)","WB","$82,000,882","11/19"
"Resident Evil: Afterlife","Sony","$55,120,606","9/10"
"Space Battleship Yamato","Toho","$49,163,295","12/1"
"Pokémon: Diamond Pearl Gen-ei no hasha zoroark","Toho","$47,204,602","7/10"
"Kokuhaku (Confessions)","Toho","$42,577,928","6/5"
"Inception","WB","$40,901,213","7/23"
"SP: The motion picture yabô hen","Toho","$39,648,572","10/30"
"Nodame Kantâbire: Saishuu-gakushou - Kouhen","Toho","$39,606,244","4/17"
"Aibô: Gekijô-ban II","Toei","$37,982,240","12/23"
"Hanamizuki","Toho","$32,891,241","8/21"
"Meitantei Konan: Tenkuu no rosuto shippu","Toho","$32,596,957","4/17"
"Eiga Doraemon: Nobita no ningyo daikaisen","Toho","$32,492,870","3/6"
"Knight & Day","Fox","$28,297,144","10/9"
"Ôoku (The Lady Shogun and Her Men)","Shochiku","$27,710,666","10/1"
"Oceans","GAGA","$25,545,132","1/22"
"Tron Legacy","Disney","$25,155,442","12/17"
"Raiâ gêmu: Za fainaru sutêji (Liar Game: The Final Stage)","Toho","$24,309,043","3/6"
"Salt","Sony","$23,537,447","7/31"
"Sherlock Holmes","WB","$22,471,434","3/12"
"Akunin (Villain)","Toho","$22,265,088","9/11"
"Gekijouban Inazuma irebun: Saikyou gundan Ôga shuurai","Toho","$21,099,188","12/23"
"Beck (2010)","Shochiku","$20,138,388","9/4"
"Otouto","Shochiku","$19,969,473","1/30"
"Trick 3","Toho","$19,795,115","5/8"
"Sex and the City 2","WB","$19,487,280","6/4"
"Kimi ni todoke","Toho","$18,027,475","9/25"
"The Karate Kid","Sony","$17,432,585","8/14"
"Shutter Island","PPI","$16,954,176","4/9"
"Jûsan-nin no shikaku (13 Assassins)","Toho","$16,752,363","9/25"
"Tensô sentai Goseijâ: Epic on the Movie","Toei","$16,704,506","8/7"
"Bushi no kakeibo (Abacus and Sword)","Asmik Ace","$16,575,961","11/27"
"Kamen raidâ x Kamen raidâ: Ôzu & Daburu feat. Sukaru movie taisen core","Toei","$16,458,957","12/18"
"Noruwei no mori (Norwegian Wood)","Toho-Towa","$16,339,686","12/11"
"Clash of the Titans (2010)","WB","$16,337,196","4/23"
"Inshite miru: 7-kakan no desu gêmu (The Incite Mill)","WB","$14,950,926","10/16"
"Percy Jackson & The Olympians: The Lightning Thief","Fox","$14,725,558","2/26"
"Despicable Me","Toho-Towa","$14,196,443","10/29"
"Iron Man 2","UIP","$12,831,962","6/12"
"Kureyon Shin-chan: Chôjikû! Arashi wo yobu oira no hanayome","Toho","$12,723,427","4/17"
"Shrek Forever After","PPI","$11,769,385","12/18"
"Precure All Stars DX2","Toei","$11,653,289","3/20"
"Gôruden suranbâ (Golden
Slumber)","Toho","$11,060,514","1/30"
"The Expendables","Shochiku","$10,833,013","10/16"
"The Sorcerer's Apprentice","Disney","$10,632,660","8/13"
"Sayonara itsuka","Asmik Ace","$10,599,256","1/23"
"Eiga Hâto kyacchi Purikyua! Hana no miyako de fasshon shô... desuka!?","Toei","$10,494,473","10/30"
"Gekijouban Gintama: Shin'yaku benizakura hen","WB","$10,405,400","4/24"
"Predators","Fox","$9,872,089","7/10"
"Ghost: In Your Arms Again","PPI","$9,792,034","11/13"
"Burlesque","Sony","$9,445,911","12/18"
"Gekijouban Kidou senshi Gandamu 00: A wakening of the trailblazer","Shochiku","$9,244,127","9/18"
"Saigo no chuushingura (The Last Chushingura)","WB","$9,065,176","12/18"
"Eat Pray Love","Sony","$8,899,304","9/17"
"Invictus","WB","$8,623,873","2/5"
"Naruto Shippuden the Lost Tower (Naruto the Movie 2010)","Toho","$8,288,105","7/31"
"Autoreiji (Outrage)","WB","$8,190,804","6/12"
"District 9","WB","$8,091,735","4/10"
"Green Zone","Toho-Towa","$7,969,339","5/14"
"The Hurt Locker","n/a","$7,794,184","3/6"
"The A-Team","Fox","$7,722,836","8/20"
"Nine","n/a","$7,549,594","3/19"
"Suzumiya Haruhi no shôshitsu (The Disappearance of Haruhi Suzumiya)","n/a","$7,479,561","2/6"
"Sakuradamon-gai no hen","Toei","$7,394,930","10/16"
"Robin Hood","Toho-Towa","$7,147,077","12/10"
"Prince of Persia: The Sands of Time","Disney","$7,113,577","5/28"
"Dârin wa gaijin (My Darling is a Foreigner)","Toho","$6,952,571","4/10"
"The Lovely Bones","UIP","$6,823,934","1/29"
"The Twilight Saga: Eclipse","n/a","$6,749,445","11/6"
"G-Force","Disney","$6,641,125","3/20"
"The Imaginarium of Doctor Parnassus","Showgate","$6,573,833","1/23"
"Gekijouban Bleach: Jigokuhen","Toho","$6,488,991","12/4"
"Cirque du Freak: The Vampire's Assistant","Toho-Towa","$6,436,885","3/19"
