" Movie Title"," Gross"
"Quantum of Solace","$240,746"
"The Dark Knight","$182,196"
"Hancock","$138,321"
"Indiana Jones and the Kingdom of the Crystal Skull","$131,511"
"Sex and the City","$96,654"
"Iron Man","$93,840"
"10,000 B.C.","$90,452"
"Dr. Seuss' Horton Hears a Who!","$84,138"
"Madagascar: Escape 2 Africa","$83,774"
"The Mummy: Tomb of the Dragon Emperor","$83,345"
"Get Smart","$81,821"
"The Incredible Hulk","$80,964"
"Kung Fu Panda","$75,721"
"What Happens in Vegas","$73,548"
"Taken","$73,314"
"The Day the Earth Stood Still (2008)","$69,623"
"Jumper","$68,386"
"High School Musical 3: Senior Year","$65,940"
"The Chronicles of Narnia: Prince Caspian","$64,243"
"Australia","$57,909"
"Body of Lies","$57,217"
"National Treasure: Book of Secrets","$54,358"
"The Forbidden Kingdom","$50,709"
"Made of Honor","$44,645"
"Street Kings","$43,325"
"The Happening","$42,920"
"Max Payne","$42,378"
"Babylon A.D.","$40,408"
"Journey to the Center of the Earth","$39,549"
"Fool's Gold","$39,379"
"Wanted","$38,317"
"Mamma Mia!","$37,898"
"Step Up 2 the Streets","$37,692"
"Eagle Eye","$35,968"
"American Gangster","$33,186"
"Vantage Point","$33,099"
"27 Dresses","$32,114"
"Lakeview Terrace","$31,190"
"The X-Files: I Want to Believe","$29,791"
"P.S. I Love You","$29,526"
"Meet Dave","$29,297"
"Mad Money","$27,301"
"The Game Plan","$24,996"
"The Bucket List","$23,687"
"Rambo","$23,581"
"You Don't Mess with the Zohan","$22,807"
"21","$22,455"
"My Best Friend's Girl","$21,538"
"Nim's Island","$20,413"
"The Spiderwick Chronicles","$20,371"
"Charlie Wilson's War","$20,007"
"Deception (2008)","$19,685"
"Alien vs. Predator - Requiem","$18,723"
"Death Race","$18,659"
"Atonement","$18,080"
"Speed Racer","$18,017"
"Meet the Spartans","$17,624"
"Wall-E","$17,098"
"Definitely, Maybe","$16,833"
"Righteous Kill","$15,590"
"Sweeney Todd: The Demon Barber of Fleet Street","$15,573"
"Welcome Home Roscoe Jenkins","$15,346"
"Tropic Thunder","$15,227"
"The Water Horse: Legend of the Deep","$15,198"
"No Country for Old Men","$14,786"
"Gone Baby Gone","$14,712"
"First Sunday","$13,706"
"Star Wars: The Clone Wars","$12,734"
"The House Bunny","$12,655"
"Juno","$11,891"
"Hellboy II: The Golden Army","$11,795"
"Michael Clayton","$11,577"
"Harold and Kumar Escape from Guantanamo Bay","$10,458"
"Cloverfield","$9,026"
"Sydney White","$7,062"
"Hansie","$6,696"
"Mirrors","$5,249"
"The Rocker","$1,924"
"The 11th Hour","$1,559"
