" Movie Title"," Distributor"," Gross"," Release"
"Avatar","Fox","$357,659","12/18"
"Harry Potter and the Half Blood Prince","WB","$154,854","7/17"
"2012","Sony","$138,829","11/13"
"Ice Age: Dawn of the Dinosaurs","Fox","$130,628","7/1"
"Sherlock Holmes","WB","$124,091","12/31"
"Transformers: Revenge of the Fallen","UIP","$118,566","6/25"
"Michael Jackson's This Is It","Sony","$118,159","10/29"
"Angels & Demons","Sony","$113,159","5/15"
"The Proposal","Disney","$98,735","8/7"
"The Twilight Saga: New Moon","Nu Metro","$94,115","11/27"
"The Taking of Pelham One, Two, Three","Sony","$89,406","7/31"
"X-Men Origins: Wolverine","Fox","$89,017","5/1"
"The Pink Panther 2","Sony","$86,210","2/27"
"Fast and Furious","UIP","$80,518","4/10"
"Alvin and the Chipmunks: The
Squeakquel","Fox","$76,049","12/23"
"Terminator Salvation: The Future Begins","Sony","$75,566","6/5"
"Night at the Museum: Battle of the
Smithsonian","Fox","$73,834","5/22"
"The International","Sony","$62,421","3/20"
"Yes Man","n/a","$58,446","1/2"
"The Hangover","WB","$57,872","8/21"
"Public Enemies","UIP","$52,493","8/14"
"Valkyrie","n/a","$50,255","1/30"
"Marley and Me","Fox","$49,543","3/20"
"Bride Wars","n/a","$49,279","1/23"
"Couples Retreat","UIP","$49,279","11/27"
"G.I. Joe","UIP","$48,307","9/25"
"G-Force","Disney","$47,815","8/21"
"Confessions of a Shopaholic","Disney","$47,059","4/10"
"Slumdog Millionaire","n/a","$47,052","3/20"
"Up","Disney","$46,939","7/31"
"Race to Witch Mountain","Disney","$44,059","4/24"
"The Ugly Truth","Sony","$40,655","10/16"
"Inglourious Basterds","UIP","$38,598","10/9"
"Bedtime Stories","n/a","$37,958","2/13"
"State of Play","UIP","$37,018","6/19"
"Seven Pounds","n/a","$36,481","2/13"
"Monsters Vs. Aliens","UIP","$35,783","4/3"
"Duplicity","UIP","$34,568","5/1"
"District 9","Sony","$34,078","8/28"
"Cloudy with a Chance of Meatballs","Sony","$33,146","9/18"
"The Curious Case of Benjamin Button","WB","$32,452","2/6"
"Ninja Assassin","WB","$31,930","11/27"
"A Christmas Carol (2009)","Disney","$30,848","12/25"
"Underworld: Rise of the Lycans","n/a","$30,266","1/23"
"12 Rounds","Fox","$29,874","4/3"
"He's Just Not That Into You","n/a","$29,446","5/29"
"Hannah Montana The Movie","Disney","$29,109","6/19"
"17 Again","Nu Metro","$26,758","6/12"
"My Sister's Keeper","Nu Metro","$24,731","10/9"
"Star Trek","UIP","$24,501","5/8"
"Bolt","n/a","$24,306","1/16"
"Dragonball Evolution","Fox","$23,197","4/10"
"Gran Torino","n/a","$21,176","3/6"
"Fame (2009)","n/a","$20,529","9/25"
"The Time Traveler's Wife","Nu Metro","$19,061","11/6"
"Surrogates","Disney","$17,781","11/6"
"Changeling","n/a","$17,297","1/23"
"Notorious (2009)","Fox","$16,225","3/6"
"I Love You Man","UIP","$15,421","5/29"
"Beverly Hills Chihuahua","n/a","$14,985","1/2"
"Revolutionary Road","n/a","$11,022","3/6"
"Aliens in the Attic","Fox","$10,771","12/11"
"Inkheart","n/a","$9,542","6/12"
"Ghosts of Girlfriends Past","n/a","$9,132","7/24"
"Gamer (2009)","Nu Metro","$8,353","12/4"
"Delhi 6","n/a","$8,055","2/20"
"Fighting","UIP","$4,177","7/24"
"Street Fighter: The Legend of Chun-Li","n/a","$3,320","6/12"
"Dhoondte Reh Jaoge","n/a","$576","3/6"
