" Movie Title"," Distributor"," Gross"," Release"
"Kwasok Scandle (Speed Scandal)","Lotte","$41,281,917","12/4"
"Joheunnom nabbeunnom isanghannom (The Good, the Bad, and the Weird)","CJ Ent.","$36,008,317","7/17"
"Chugyeogja (The Chaser)","Showbox","$35,760,133","2/14"
"Kung Fu Panda","CJ Ent.","$28,616,543","6/5"
"Woorisaengae Choigoeui Sungan (Forever the Moment)","Sidus","$27,259,300","1/10"
"Kang Chul-jung: Gonggongui jeog 1-1 (Public Enemy 1-1)","CJ Ent.","$27,221,855","6/19"
"The Mummy: Tomb of the Dragon Emperor","UIP","$26,443,920","7/30"
"Mamma Mia!","UIP","$25,554,100","9/3"
"Indiana Jones and the Kingdom of the Crystal
Skull","CJ Ent.","$25,244,714","5/22"
"Iron Man","CJ Ent.","$25,169,783","4/30"
"The Dark Knight","WB","$25,024,391","8/7"
"Shingijeon (The Divine Weapon)","CJ Ent.","$19,991,573","9/4"
"Wanted","UIP","$19,114,634","6/26"
"Ssanghwajeom (A Frozen Flower)","Showbox","$18,476,503","12/30"
"Hancock","Sony","$17,386,009","7/2"
"Taken","Studio 2.0","$15,471,329","4/9"
"Noonenun Noon, Yienun Yi (An Eye for an Eye)","Lotte","$12,358,100","7/31"
"Miindo (Portrait of a Beauty)","CJ Ent.","$11,833,931","11/13"
"Quantum of Solace","Sony","$11,562,123","11/5"
"Moobangbi Doshi (Open City)","CJ Ent.","$11,095,236","1/10"
"Nimeun Meon Gose (Sunny)","Showbox","$11,093,628","7/24"
"Jumper","Fox","$11,074,102","2/14"
"Eagle Eye","CJ Ent.","$10,660,310","10/9"
"Wonseu-eopon-eo-taim (Once Upon a Time)","CH Ent.","$10,618,993","1/31"
"The Devil's Game","Prime","$10,287,987","1/31"
"Gosa (Death Bell)","SKT","$9,274,859","8/7"
"The Chronicles of Narnia: Prince Caspian","Disney","$8,943,448","5/15"
"Anaega Gyelhonhadda (My Wife Got Married)","CJ Ent.","$8,789,900","10/23"
"Chi bi (Red Cliff: Part I)","Showbox","$8,139,965","7/10"
"The Forbidden Kingdom","Service","$8,065,700","4/24"
"Bee Movie","CJ Ent.","$7,832,889","1/3"
"Lovers of 6 Years","Studio 2.0","$7,780,316","2/5"
"Twilight","N.E.W.","$7,659,813","12/11"
"10,000 B.C.","WB","$7,570,138","3/13"
"Wall-E","Disney","$7,416,300","8/7"
"Youngwhaneun Youngwhada (Rough Cut)","Studio 2.0","$7,202,140","9/11"
"The Day the Earth Stood Still (2008)","Fox","$7,080,254","12/25"
"Vantage Point","Sony","$6,994,763","2/28"
"Gake no ue no Ponyo (Ponyo on a Cliff)","Showbox","$6,941,531","12/17"
"Journey to the Center of the Earth","Lotte","$6,784,224","12/18"
"Step Up 2 the Streets","Studio 2.0","$6,778,011","3/13"
"Yes Man","WB","$6,771,041","12/18"
"Saam gwok dzi gin lung se gap (Three Kingdoms: Resurrection of the Dragon)","SKT","$6,581,122","4/3"
"Ba:Bo","CJ Ent.","$6,450,178","2/28"
"The Incredible Hulk","UIP","$6,383,794","6/12"
"G.P. 506","Showbox","$6,260,139","4/3"
"Sookmyeong (The Fate)","CJ Ent.","$5,797,801","3/20"
"Sex and the City","Service","$5,751,305","6/5"
"Antique","Showbox","$5,608,515","11/13"
"Keurosing (Crossing)","Big House","$5,419,301","6/26"
"Speed Racer","WB","$5,057,193","5/8"
"Sweeney Todd: The Demon Barber of Fleet
Street","WB","$4,966,370","1/17"
"The Other Boleyn Girl","UIP","$4,683,202","3/20"
"Beastie Boys","Lotte","$4,631,383","4/30"
"What Happens in Vegas","Fox","$4,494,297","5/29"
"Australia","Fox","$4,372,946","12/11"
"The Spiderwick Chronicles","CJ Ent.","$4,164,447","2/14"
"Nim's Island","Lotte","$4,044,638","7/17"
"Ddeugeoun Gusi Joah (Some Like It Hot) (a.k.a.  Hellcats)","Service","$4,006,637","1/17"
"Cloverfield","CJ Ent.","$3,869,339","1/24"
"Superman ieotdeon sanai (A Man Who Was
Superman)","CJ Ent.","$3,848,034","1/31"
"Modern Boy","CJ Ent.","$3,839,780","10/2"
"Dachimawa Lee","Showbox","$3,715,997","8/14"
"Bolt","Disney","$3,600,363","12/31"
"The Mist","Chungeorahm","$3,596,628","1/10"
"Ulhakgyo E.T. (Our School's E.T.)","SKT","$3,578,966","9/11"
"Sunjeong-manhwa (Hello, Schoolgirl) (a.k.a.  Crush on You)","CJ Ent.","$3,550,487","11/27"
"Dr. Seuss' Horton Hears a Who!","Fox","$3,430,177","5/1"
"Blindness","Sidus","$3,312,141","11/20"
"Awake","Prime","$3,270,139","3/27"
"Gidarida Micheo (Crazy for Waiting)","Service","$3,041,001","1/1"
"Enchanted","Sony","$2,953,144","1/10"
"Go Go 70's","Showbox","$2,940,780","10/2"
"Body of Lies","WB","$2,791,289","10/23"
"The Truck","n/a","$2,733,790","9/25"
"Tau ming chong (The Warlords)","Lotte","$2,719,662","1/31"
"The Bank Job","Sidus","$2,643,105","10/30"
"Miss Hongdangmu (Crush and Blush)","Big House","$2,628,300","10/16"
"Agiwa Na (Baby & Me)","Prime","$2,399,660","8/14"
"Gi-eok Sangsil-eui Sidae (Lost & Found)","CJ Ent.","$2,306,800","12/18"
"The Happening","Fox","$2,294,074","6/12"
"P.S. I Love You","Showbox","$2,265,760","1/3"
"L: Change the World","SKT","$2,244,531","2/21"
"Hellboy II: The Golden Army","UIP","$2,190,030","9/25"
"Meotjin haru (My Dear Enemy)","Lotte","$2,109,678","9/25"
"Alien vs. Predator - Requiem","Fox","$1,915,120","1/17"
"Doraemon: Nobita no shin makai daibôken (Doraemon the Movie: Nobita's New Great Adventure Into the Underworld - The Seven Magic Users) (2007)","Daewon","$1,889,300","7/17"
"Happily N'Ever After","Showbox","$1,869,780","1/24"
"Majimak Sunmul (Last Present)","Showbox","$1,857,015","2/6"
"The Bucket List","WB","$1,795,000","4/9"
"88 Minutes","Prime","$1,777,484","5/29"
"Street Kings","Fox","$1,757,653","4/17"
"My New Partner","M+","$1,736,012","3/6"
"Cheung Gong 7 hou (CJ7)","Studio 2.0","$1,733,984","8/21"
"Midnight Meat Train","Lotte","$1,729,568","8/21"
"Garoojigi (A Tale of Legendary Libido)","Showbox","$1,720,621","4/30"
"Atonement","UPI","$1,680,371","2/21"
"27 Dresses","Fox","$1,603,911","3/6"
"The X-Files: I Want to Believe","Fox","$1,568,011","8/14"
"Space Chimps","Sungwon","$1,565,556","7/17"
" Movie Title"," Distributor"," Gross"," Release"
"The Strangers","Chungeorahm","$1,550,892","7/2"
"Girl Scout","Lotte","$1,523,142","6/5"
"Radio Dayz","Sidus","$1,479,798","1/31"
"1724 Gibang Nandong Sageon (The Accidental Gangster and the Mistaken Courtesan)","Sidus","$1,417,267","12/4"
"Untraceable","M+","$1,351,491","4/17"
"Penelope","CJ Ent.","$1,334,326","5/15"
"Jiang shan mei ren (An Empress and the Warriors)","CJ Ent.","$1,275,103","4/9"
"Charlie Wilson's War","UPI","$1,219,075","2/6"
"Max Payne","Fox","$1,217,541","11/20"
"The Duchess","N.E.W.","$1,197,805","10/16"
"Babylon A.D.","Fox","$1,197,672","10/2"
"Mirrors","Fox","$1,192,295","9/18"
"Definitely, Maybe","UIP","$1,189,897","4/9"
"El Orfanato (The Orphanage)","Prime","$1,181,233","2/14"
"Daehani Minkssi (Life is Beautiful)","Lotte","$1,180,054","2/14"
"Dan in Real Life","CJ Ent.","$1,153,041","3/27"
"Earth (2007)","M+","$1,152,788","9/4"
"Get Smart","WB","$1,141,691","6/19"
"Bangkok Dangerous (2008)","Sidus","$1,116,399","9/11"
"Doremipasolrasido (Do Re Mi)","Service","$1,060,319","4/3"
"My Blueberry Nights","Showbox","$1,001,535","3/6"
"20-seiki shônen (Twentieth Century Boys: Chapter One)","Megabox","$985,103","9/11"
"Chô Gekijô-ban Keroro gunsô 3: Keroro tai Keroro Tenkû daikessen de arimasu! (Keroro Gunso the Super Movie 3: Keroro vs. Keroro Great Sky Duel) (2008)","OnMedia","$909,122","8/7"
"Fly Me to the Moon","Synergy","$908,112","10/30"
"Bo chi tung wah (Connected)","SKT","$827,367","11/20"
