" Movie Title"," Distributor"," Gross"," Release"
"Avatar","Fox","$105,485,521","12/17"
"Haeundae","CJ Ent.","$67,988,064","7/23"
"Gukga daepyo (State Representative / Take Off / National Team)","Showbox","$52,109,102","7/29"
"Transformers: Revenge of the Fallen","CJ Ent.","$43,392,124","6/24"
"Woochi","CJ Ent.","$38,615,945","12/23"
"2012","Sony","$33,396,775","11/12"
"Terminator Salvation: The Future Begins","Lotte","$23,353,191","5/21"
"7th Grade Civil Servant (My Girlfriend Is an Agent)","Lotte","$20,452,287","4/22"
"Geobuki dalinda (Running Turtle)","Showbox","$16,859,018","6/11"
"Mother (2009)","CJ Ent.","$16,283,879","5/28"
"Harry Potter and the Half Blood Prince","WB","$16,089,292","7/15"
"Good Morning, President","CJ Ent.","$16,054,888","10/22"
"G.I. Joe","CJ Ent.","$15,940,289","8/6"
"Weonang Sori (Old Partner)","Indiestory","$15,287,483","1/15"
"Chi bi: Xia - Jue zhan tian xia (Red Cliff: Part II)","Showbox","$14,191,605","1/22"
"Sherlock Holmes","WB","$13,652,798","12/23"
"Closer to Heaven","CJ Ent.","$13,301,443","9/24"
"The Twilight Saga: New Moon","N.E.W.","$12,011,262","12/2"
"Bakjwi (Thirst)","CJ Ent.","$11,950,322","4/30"
"Agile","Synergy","$11,813,617","7/29"
"Chaw","Lotte","$10,521,795","7/15"
"Bulkkocheolum Nabicheolum","Showbox","$10,499,992","9/24"
"Geulimja Salin (Shadow Kill)","CJ Ent.","$10,096,836","4/2"
"Angels & Demons","Sony","$9,887,278","5/14"
"Night at the Museum: Battle of the Smithsonian","Fox","$9,819,667","6/4"
"Private Eye","n/a","$9,545,624","4/2"
"Ninja Assassin","WB","$8,752,317","11/26"
"The Curious Case of Benjamin Button","WB","$8,663,157","2/12"
"Cheongdam Bosal (Fortune Salon)","N.E.W.","$8,362,014","11/11"
"Valkyrie","Fox","$8,028,240","1/22"
"Yugamseureoun Dosi (City of Damnation)","CJ Ent.","$7,545,744","1/22"
"Jakjeon (The Scam)","Showbox","$7,486,498","2/12"
"Kingkongeul Deulda (Lift Up Kingkong)","N.E.W.","$7,192,813","7/1"
"Saving My Wife","CJ Ent.","$6,883,251","12/3"
"X-Men Origins: Wolverine","Fox","$6,631,942","4/29"
"Up","Disney","$6,320,028","7/29"
"Insadong Scandal","SKT","$6,177,474","4/29"
"Baekyahaeng (White Night)","Service","$6,095,018","11/19"
"Slumdog Millionaire","CJ Ent.","$5,844,072","3/19"
"Star Trek","UIP","$5,686,001","5/7"
"District 9","CJ Ent.","$5,536,209","10/15"
"Knowing","N.E.W.","$5,502,635","4/16"
"Madagascar: Escape 2 Africa","CJ Ent.","$5,427,400","1/8"
