" Movie Title"," Gross"
"The Man From Nowhere","$42,484,155"
"Inception","$38,705,828"
"Yeuihyungje (A Sworn Brother)","$36,280,220"
"Iron Man 2","$27,095,727"
"How to Train Your Dragon","$25,108,317"
"Moss","$21,922,944"
"Shrek Forever After","$21,164,006"
"Powha Sokeuro (In The Fire)","$20,528,451"
"Hello Ghost","$19,608,026"
"Bangjajeon","$19,256,664"
"Clash of the Titans (2010)","$19,243,830"
"Boodang Guhrae (a.k.a. The Unjust / Conflict of Interest / Unfair Trade)","$18,223,928"
"Salt","$18,201,067"
"Harry Potter and the Deathly Hallows (Part One)","$18,084,930"
"Harmony (2010)","$17,979,586"
"Alice in Wonderland (2010)","$17,954,373"
"Cyrano Agency","$17,588,906"
"The Last Godfather","$16,586,583"
"Hwanghae (The Yellow Sea)","$15,760,549"
"Jjejjehan Romance (Petty Romance)","$14,244,325"
"Knight & Day","$14,165,550"
"The Housemaid","$14,075,390"
"Choneungryukja (a.k.a. Haunters / Psychics / Supernatural Powers)","$13,346,235"
"Resident Evil: Afterlife","$12,963,377"
"The Twilight Saga: Eclipse","$12,591,297"
"Troubleshooter","$12,460,480"
"Toy Story 3","$12,248,035"
"Prince of Persia: The Sands of Time","$12,098,141"
"Akmareul boattda (I Saw the Devil)","$12,068,632"
"The Last Airbender","$11,836,191"
"Percy Jackson & The Olympians: The Lightning Thief","$11,562,185"
"Mujeogja (A Better Tomorrow)","$10,370,037"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$10,010,532"
"Robin Hood","$9,306,757"
"Despicable Me","$8,661,240"
"Blades of Blood","$8,217,720"
"Sammy's Adventures: The Secret Passage","$8,215,094"
"Midnight FM","$8,101,240"
"Yukhyeolpo Gangdodan (Pistol Bandit Band)","$7,631,408"
"Kim Jong-ok Chatgi (Finding Mr.  Destiny)","$7,415,266"
"The Borrowers (Kari-gurashi no Arietti)","$6,857,295"
"Shutter Island","$6,685,838"
"Best Seller (2010)","$6,637,018"
"Yongseoneun Yeopda (No Mercy)","$6,614,048"
"Paguidwen Sana Yi (The Destroyed Man)","$6,586,710"
"Banga? Banga!","$6,313,107"
"Step Up 3-D","$6,284,146"
"The Tourist","$6,000,813"
"Parallel Life","$5,963,089"
"Skyline","$5,480,835"
"Death Bell 2: Bloody Camp","$4,997,138"
"The A-Team","$4,894,959"
"Cloudy with a Chance of Meatballs","$4,827,075"
"Piranha 3D","$4,785,848"
"Juyuso seubgyuksageun 2 (Attack the Gas Station 2)","$4,634,087"
"Tron Legacy","$4,337,786"
"My Gangster Girlfriend","$4,214,668"
"Green Zone","$4,022,869"
"Hearty Paws 2","$3,874,359"
"Letters to Juliet","$3,828,501"
"Bangawoon Salinja (Happy Murderer)","$3,774,925"
"Oceans","$3,747,608"
"The Quiz King","$3,746,294"
"Villain on the Second Floor","$3,692,494"
"The Sorcerer's Apprentice","$3,486,971"
"Meitantei Konan: Tenkuu no rosuto shippu","$3,346,839"
"Eat Pray Love","$3,299,364"
"The Social Network","$3,269,538"
"Sarang Eun Bisuel Tahgo (a.k.a. Romantic Debtors / Love Over Debt / Bad Couple","$3,121,099"
"Red","$3,055,627"
"Di Renjie (Detective Dee and the Mystery of the Phantom Flame)","$3,005,871"
"Unstoppable","$2,855,916"
"Sikgaek 2 (Le Grand Chef 2)","$2,852,446"
"Paranormal Activity","$2,831,659"
"The Warrior's Way","$2,671,637"
"Chinjeong Yeomma (My Mother)","$2,659,429"
"Sex and the City 2","$2,551,398"
"The Expendables","$2,544,340"
"From Paris with Love","$2,520,137"
"Confucius","$2,472,212"
"Pokémon: Diamond Pearl Gen-ei no hasha zoroark","$2,353,831"
"Paranormal Activity 2","$2,318,515"
"Legend of the Guardians: The Owls of Ga'Hoole","$2,286,301"
"Don't Cry for Me Sudan","$2,248,561"
"Astro Boy","$2,201,763"
"The Blind Side","$2,165,985"
"Killers","$2,109,210"
