" Movie Title"," Distributor"," Gross"," Release"
"Avatar","Fox","$1,499,508","12/18"
"Ice Age: Dawn of the Dinosaurs","Baltic","$820,586","7/3"
"2012","Sony","$446,409","11/13"
"The Twilight Saga: New Moon","ACME","$329,035","11/27"
"Angels & Demons","Sony","$305,510","5/13"
"Sherlock Holmes","Baltic","$264,796","12/25"
"Up","Baltic","$257,397","8/7"
"Harry Potter and the Half Blood Prince","Baltic","$249,048","7/24"
"The Hangover","Baltic","$243,674","6/12"
"Slumdog Millionaire","ACME","$232,768","2/27"
"Fast and Furious","Baltic","$222,074","4/3"
"The Ugly Truth","Sony","$221,846","9/27"
"The Proposal","Baltic","$219,141","7/10"
"My Bloody Valentine 3-D","ACME","$216,948","1/16"
"Yes Man","Forum","$212,804","1/9"
"Bolt","Baltic","$210,294","2/13"
"G-Force","Baltic","$194,022","10/2"
"Inglourious Basterds","Baltic","$185,532","8/21"
"The Final Destination","Baltic","$178,007","9/18"
"Terminator Salvation: The Future Begins","Sony","$166,252","6/5"
"Cloudy with a Chance of Meatballs","Sony","$159,121","10/23"
"The Curious Case of Benjamin Button","Forum","$155,672","1/30"
"Michael Jackson's This Is It","Sony","$146,748","10/28"
"A Christmas Carol (2009)","Baltic","$145,257","11/20"
"Couples Retreat","Baltic","$142,863","12/4"
"Transformers: Revenge of the Fallen","Baltic","$136,243","6/26"
"Monsters Vs. Aliens","Baltic","$130,366","4/3"
"He's Just Not That Into You","Forum","$125,542","2/13"
"Public Enemies","Baltic","$123,883","7/10"
"Night at the Museum: Battle of the
Smithsonian","Baltic","$117,244","5/22"
"High Security Vacation","ACME","$113,645","8/28"
"Spread","ACME","$104,926","8/21"
"Obitaemyy ostrov (The Inhabited Island: Part I)","ACME","$95,725","1/2"
"17 Again","Baltic","$95,570","5/8"
"Bride Wars","Forum","$92,112","1/16"
"Alvin and the Chipmunks: The
Squeakquel","Baltic","$91,661","12/25"
"Brüno","Baltic","$86,555","7/17"
"Samiy luchshiy film 2 (The Very Best Film 2)","ACME","$85,609","1/23"
"Knowing","ACME","$83,546","4/10"
"Crank: High Voltage","ACME","$80,693","4/17"
"The Tale of Despereaux","Baltic","$79,979","5/29"
"Mazie laupitaji (Little Robbers)","ACME","$79,682","3/27"
"OceanWorld 3D","ACME","$79,136","11/6"
"District 9","Sony","$75,314","8/28"
"Marley and Me","Baltic","$75,001","3/20"
"Surrogates","Baltic","$72,876","10/16"
"The Pink Panther 2","Forum","$72,430","2/20"
"X-Men Origins: Wolverine","Baltic","$67,435","4/29"
"RockNRolla","Forum","$66,509","1/2"
"G.I. Joe","Baltic","$64,299","8/14"
"I Love You Man","Baltic","$64,090","4/24"
"Confessions of a Shopaholic","Baltic","$63,356","3/27"
