" Movie Title"," Gross"
"Shrek Forever After","$582,385"
"Alice in Wonderland (2010)","$359,905"
"Despicable Me","$342,386"
"Inception","$341,940"
"Sex and the City 2","$265,029"
"Eat Pray Love","$262,137"
"The Tourist","$245,686"
"Harry Potter and the Deathly Hallows (Part One)","$242,241"
"Step Up 3-D","$237,018"
"The Twilight Saga: Eclipse","$225,502"
"How to Train Your Dragon","$210,238"
"Robin Hood","$185,675"
"Resident Evil: Afterlife","$176,573"
"The Last Airbender","$175,776"
"Toy Story 3","$172,360"
"Prince of Persia: The Sands of Time","$162,214"
"Megamind","$159,986"
"Gulliver's Travels","$156,140"
"Little Fockers","$153,301"
"It's Complicated","$149,463"
"Nasha Russia: Yaytsa sudby","$148,148"
"Clash of the Titans (2010)","$138,767"
"Salt","$135,637"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$126,649"
"The Princess and the Frog","$125,887"
"Saw 3D","$123,084"
"The Bounty Hunter","$122,884"
"Shutter Island","$121,440"
"The Social Network","$115,510"
"Knight & Day","$114,620"
"Valentine's Day","$111,862"
"Due Date","$109,520"
"Iron Man 2","$104,864"
"Black Lightning","$94,887"
"Grown Ups","$90,665"
"Wall Street: Money Never Sleeps","$88,951"
"The Expendables","$88,744"
"Burlesque","$87,890"
"Serzanta Lapina atgriesanas (The Return of Sergeant Lapins)","$87,232"
"Cats & Dogs: Revenge of Kitty Galore","$85,402"
"Killers","$82,128"
"Red","$80,555"
"Up in the Air","$77,596"
"Date Night","$75,972"
"Did You Hear About the Morgans?","$70,436"
"The Wolfman","$69,662"
"The Sorcerer's Apprentice","$66,629"
"The Switch","$66,057"
"Yolki","$65,592"
"The Back-Up Plan","$65,009"
"Remember Me","$64,300"
"The Nutcracker in 3D","$63,431"
"Utomlyonnye solntsem 2 (Burnt by the Sun 2)","$61,841"
"Lyubov v bolshom gorode 2 (Love in the Big City 2)","$60,677"
"Leap Year","$59,070"
"Letters to Juliet","$57,168"
"Old Dogs","$54,946"
"The Other Guys","$53,800"
"Hot Tub Time Machine","$52,819"
"OceanWorld 3D: Return","$51,721"
"The Imaginarium of Doctor Parnassus","$51,332"
"Easy A","$46,726"
"The Next Three Days","$45,847"
"Going the Distance","$45,124"
"Predators","$44,983"
"The A-Team","$44,825"
"From Paris with Love","$44,044"
"When in Rome","$43,804"
"The Book of Eli","$43,031"
"I Love You, Phillip Morris","$42,831"
"Get Him to the Greek","$41,814"
"The Ghost Writer","$40,880"
"Unstoppable","$39,128"
"Percy Jackson & The Olympians: The Lightning Thief","$38,907"
"You Will Meet a Tall Dark Stranger","$37,221"
"The Karate Kid","$35,806"
"Vampires Suck","$35,749"
"Last Night","$35,201"
"Faster","$31,872"
"Green Zone","$31,848"
"Machete","$30,414"
"Coco avant Chanel","$30,180"
"Takers","$28,861"
"A Nightmare on Elm Street (2010)","$28,494"
"The Town","$27,427"
"Chloe","$27,164"
"Devil","$26,048"
"Skyline","$25,972"
"The Men Who Stare at Goats","$25,786"
"Amaya (Hong Kong Confidential)","$25,613"
"She's Out of My League","$25,278"
"Daybreakers","$24,868"
"Oceans","$23,558"
"Nanny McPhee and The Big Bang","$22,131"
"Splice","$21,792"
"Legion (2010)","$21,656"
"The Fantastic Mr. Fox","$20,788"
"Rudolfa mantojums","$20,317"
"Piranha 3D","$18,777"
"Centurion","$17,692"
"Space Dogs 3D","$17,506"
"Stone","$16,928"
"13","$14,704"
"The Losers","$14,411"
"Toy Story in 3D","$12,775"
"Tucker & Dale vs Evil","$12,001"
"Furry Vengeance","$11,749"
"Dorian Gray","$10,632"
"Casino Jack","$10,566"
"Bad Lieutenant: Port of Call New Orleans","$10,476"
"Let Me In","$8,743"
"Edge of Darkness","$8,527"
"Toy Story 2 in 3D","$8,456"
"Brothers","$7,983"
"Buried","$7,811"
"L'arnacoeur (Heartbreaker)","$7,667"
"The Lovely Bones","$6,240"
"Coco Chanel & Igor Stravinsky","$5,357"
"The Runaways","$5,051"
"Scott Pilgrim vs. the World","$5,004"
"Family Instinct","$4,781"
"The Illusionist (2010)","$4,652"
"Phobos","$4,472"
"The Killer Inside Me","$3,851"
"Kick Ass","$3,081"
"Le Concert (2009) (see The Concert instead)","$1,859"
"Zero 2","$1,489"
"How Are You Doing, Rudolf Ming?","$919"
"Dresses, Mothers and Daughters","$857"
"L'arbre (The Tree)","$302"
