" Movie Title",," Gross"," Release"
"Ganoujet Bayya",,"$1,228,634","2/16"
"Sukkar banat (Caramel)",,"$667,087","8/9"
"Morgan Ahmed Morgan",,"$419,995","10/11"
"Mr. Bean's Holiday",,"$404,653","4/5"
"The Kingdom",,"$297,409","10/11"
"Abou Riad Show",,"$281,347","12/20"
"300",,"$266,981","3/29"
"Rush Hour 3",,"$253,160","8/16"
"Sous les bombes",,"$237,851","12/13"
"National Treasure: Book of Secrets",,"$235,052","12/20"
"Leilet Eid",,"$218,389","12/20"
"Spider-Man 3",,"$218,131","5/3"
"Norbit",,"$211,643","3/15"
"P.S. I Love You",,"$205,509","12/27"
"Harry Potter and the Order of the Phoenix",,"$190,925","7/19"
"Live Free or Die Hard",,"$186,743","6/28"
"Enchanted",,"$148,390","12/6"
"Blood Diamond",,"$142,802","3/1"
"Omar Wa Salma",,"$139,621","7/19"
"The Bourne Ultimatum",,"$137,606","8/30"
"No Reservations",,"$134,604","10/11"
"Pirates of the Caribbean: At World's End",,"$130,304","7/5"
"American Gangster",,"$129,493","12/6"
"Ghost Rider",,"$127,984","2/15"
"Perfect Stranger",,"$127,756","4/12"
"Ocean's Thirteen",,"$123,768","7/12"
"Transformers",,"$122,438","8/2"
"The Heartbreak Kid",,"$120,576","11/15"
"Shooter",,"$116,635","4/19"
"The Pursuit of Happyness",,"$113,923","2/8"
"Ratatouille",,"$112,830","8/16"
"Taymour W Shafika",,"$110,093","8/23"
"The Simpsons Movie",,"$107,785","7/26"
"Bee Movie",,"$107,243","12/13"
"Shrek the Third",,"$105,278","7/5"
"Music and Lyrics",,"$89,471","3/15"
"10th & Wolf",,"$88,749","4/12"
"I Now Pronounce You Chuck and Larry",,"$88,064","9/20"
"The Golden Compass",,"$87,950","12/20"
"Fred Claus",,"$72,049","12/13"
"Hitman",,"$70,235","11/22"
"Franklin et le trésor du lac",,"$70,111","2/8"
"Elizabeth: The Golden Age",,"$66,829","11/29"
"La Môme (La Vie en Rose)",,"$65,770","4/5"
"Perfume - The Story of a Murderer",,"$63,050","3/8"
"Good Luck Chuck",,"$60,700","11/22"
"Michael Clayton",,"$59,066","12/13"
"Beowulf",,"$56,884","11/29"
"Fantastic Four: Rise of the Silver Surfer",,"$56,738","6/21"
"Wild Hogs",,"$55,309","4/19"
"Next",,"$54,785","8/9"
"License to Wed",,"$51,271","9/13"
"I Know Who Killed Me",,"$48,689","8/30"
"Disturbia",,"$47,471","5/17"
"Evan Almighty",,"$47,437","8/23"
"WAR",,"$44,463","10/11"
"Fearless (Huo Jian Jia)",,"$43,113","3/1"
"The Game Plan",,"$42,617","11/15"
"Dreamgirls",,"$42,446","3/1"
"Asad wa arbaa qutat",,"$42,279","12/20"
"The Painted Veil",,"$39,652","2/22"
"Because I Said So",,"$39,229","7/26"
"Fracture",,"$39,078","9/20"
"The Last King of Scotland",,"$37,677","3/1"
"Taxi 4",,"$37,270","5/10"
"Shoot 'Em Up",,"$36,735","11/8"
"Turistas",,"$35,615","3/15"
"Alvin and the Chipmunks",,"$35,477","12/20"
"Little Miss Sunshine",,"$34,333","1/25"
"Bo bui gai wak (Rob-B-Hood)",,"$34,109","11/1"
"A Mighty Heart",,"$32,908","11/1"
"The Brave One",,"$32,839","10/25"
"The Prestige",,"$32,203","2/15"
"1408",,"$32,068","8/30"
"Stardust",,"$32,055","10/4"
