" Movie Title"," Gross"
"Avatar","$1,689,625"
"2012","$978,257"
"Omar Wa Salma 2","$726,454"
"Ice Age: Dawn of the Dinosaurs","$607,651"
"The Proposal","$451,263"
"The Twilight Saga: New Moon","$431,334"
"The Hangover","$395,425"
"A Christmas Carol (2009)","$394,689"
"The Final Destination","$332,595"
"The Ugly Truth","$327,037"
"Charbel","$314,871"
"Sherlock Holmes","$304,315"
"G-Force","$285,755"
"Transformers: Revenge of the Fallen","$266,938"
"Valkyrie","$262,278"
"Harry Potter and the Half Blood Prince","$259,850"
"Yes Man","$257,289"
"Fast and Furious","$236,939"
"Couples Retreat","$213,598"
"The Pink Panther 2","$193,932"
"Cloudy with a Chance of Meatballs","$192,867"
"Angels & Demons","$189,627"
"Inglourious Basterds","$178,271"
"Old Dogs","$172,031"
"G.I. Joe","$166,351"
"Michael Jackson's This Is It","$164,731"
"Up","$162,986"
"Slumdog Millionaire","$162,411"
"Monsters Vs. Aliens","$150,472"
"Bride Wars","$149,309"
"Bobos","$145,230"
"The Princess and the Frog","$143,624"
"My Bloody Valentine 3-D","$138,047"
"Agora (Mists of Time)","$134,053"
"Hannah Montana The Movie","$133,756"
"Public Enemies","$133,167"
"The Curious Case of Benjamin Button","$127,881"
"Duplicity","$127,379"
"The Rebound","$125,190"
"Changeling","$124,680"
"Knowing","$116,103"
"Imagine That","$113,513"
"Silina","$106,168"
"1000 Mabrouk (3aabal 3andakom)","$104,517"
"Confessions of a Shopaholic","$104,508"
"The International","$104,272"
"Surrogates","$102,479"
"He's Just Not That Into You","$98,577"
"Ghosts of Girlfriends Past","$97,903"
"Alvin and the Chipmunks: The Squeakquel","$92,395"
"Le Petit Nicolas","$90,497"
"Terminator Salvation: The Future Begins","$88,551"
"Revolutionary Road","$88,300"
"Tyr Enta","$87,995"
"My Sister's Keeper","$87,860"
"The Reader","$86,560"
"Vicky Cristina Barcelona","$84,211"
"Case 39","$84,008"
"X-Men Origins: Wolverine","$83,627"
"Love Happens","$83,235"
"State of Play","$80,416"
"Seven Pounds","$79,978"
"The Taking of Pelham One, Two, Three","$77,481"
"Funny People","$76,176"
"The Other Man","$76,019"
"Siraj El Wadi","$75,485"
"I Love You Man","$75,374"
"Night at the Museum: Battle of the Smithsonian","$74,343"
"Management","$73,829"
"Marley and Me","$70,215"
"Underworld: Rise of the Lycans","$69,443"
"My Best Friend's Girl","$65,164"
"Amir El Bihar","$63,818"
"My Mom's New Boyfriend (a.k.a. Homeland Security)","$61,575"
"17 Again","$61,038"
"Land of the Lost","$59,760"
"Orphan","$58,448"
"My Life in Ruins","$58,346"
"Coco avant Chanel","$58,075"
"The Box","$57,651"
"Gamer (2009)","$56,412"
"Paul Blart: Mall Cop","$53,793"
"Coraline","$52,747"
"Ramadan Mabrouk","$51,670"
"The Unborn (2009)","$51,520"
"Crossing Over","$49,356"
"The Tale of Despereaux","$48,597"
"Race to Witch Mountain","$47,993"
"Dukan Shehata","$46,010"
"The Accidental Husband","$45,617"
"Banlieue 13 - Ultimatum","$45,074"
"Toy Story in 3D","$45,069"
"Whatever Lola Wants","$43,743"
"Gran Torino","$43,105"
"Arn - Tempelriddaren","$39,986"
"Hotel for Dogs","$38,920"
"Drag Me to Hell","$38,489"
"Awlad Elaam","$38,125"
"The Time Traveler's Wife","$37,506"
"Killshot","$37,317"
"I Hate Valentine's Day","$36,976"
"Julie & Julia","$36,327"
"Cheri","$35,342"
"Winx club - Il segreto del regno perduto (Winx Club: The Secret of the Lost Kingdom)","$34,942"
"The Uninvited","$34,031"
"Beyond a Reasonable Doubt","$33,624"
"Blood: The Last Vampire","$32,336"
"Defiance","$31,748"
"Cirque du Freak: The Vampire's Assistant","$31,587"
"Triangle","$31,195"
"Planet 51","$30,874"
"Two Lovers","$30,813"
"Dance Flick","$29,426"
"Passengers","$29,019"
"12 Rounds","$28,844"
"Obsessed","$28,722"
"House (2008)","$28,703"
"Push","$28,568"
"Slaughter","$28,011"
"Fly Me to the Moon","$27,964"
"Friday the 13th (2009)","$27,597"
"Al Saffah","$27,164"
"Chi bi (Red Cliff: Part I)","$26,419"
"Traitor","$26,396"
"Halloween II (2009)","$25,484"
"Outlander","$24,546"
"Fame (2009)","$24,333"
"It's Alive","$24,261"
"Whiteout","$24,165"
"Watchmen","$23,930"
"Pride & Glory","$23,833"
"From Within","$22,689"
"The Last House on the Left (2009)","$21,797"
"Aoki Ôkami: chi hate umi tsukiru made (Genghis Khan: To the Ends of the Earth and Sea)","$21,250"
"Sex Drive","$20,653"
"What Just Happened?","$20,431"
"Hachiko: A Dog's Story","$19,883"
"Role Models","$19,779"
"Shortcut to Happiness (a.k.a. The Devil and Daniel Webster)","$19,660"
"New in Town","$17,993"
"Largo Winch","$17,706"
"The Tournament","$17,282"
"Unusual Heroes","$17,093"
"District 9","$16,889"
"Star Trek","$16,226"
"Smother","$16,033"
"Sorority Row","$15,443"
"Shola Cohen","$14,942"
"Zombieland","$14,795"
"RockNRolla","$14,086"
"Bandslam","$13,800"
"How to Lose Friends and Alienate People","$12,686"
"Pandorum","$12,558"
"A Prophet (Un prophète)","$12,309"
"Crank: High Voltage","$11,423"
"Rec","$10,713"
"Melodrama Habibi","$10,655"
"Tenderness","$10,539"
"Semaan Bil Day'ia (The One Man Village)","$10,410"
"Last Chance Harvey","$10,209"
"The Wrestler","$10,013"
"A Perfect Getaway","$9,310"
"The Argentine (Che: Part One)","$9,263"
"Next Day Air","$9,185"
"Blindness","$8,729"
"Make It Happen","$8,481"
"Jonas Brothers: The 3D Concert Experience","$8,081"
"Finding Amanda","$7,862"
"The Brothers Bloom","$7,841"
"Igor","$7,808"
"Revolver","$7,691"
"Frozen River","$7,610"
"Harold and Kumar Escape from Guantanamo Bay","$7,533"
"W.","$7,315"
"Amreeka","$7,035"
"Frost/Nixon","$7,010"
"Blonde Ambition","$6,747"
"Al Wa3ed","$6,629"
"Astro Boy","$6,535"
"The Soloist","$6,528"
"OSS 117: Rio ne repond plus","$6,506"
"The Brøken","$6,404"
"Inkheart","$6,321"
"Street Fighter: The Legend of Chun-Li","$6,264"
"Hunger (2008)","$6,263"
"Entre les murs (The Class)","$5,958"
"Franklyn","$5,580"
"La Journée de la jupe","$5,508"
"Saw V","$5,413"
"Ibrahim El Abiad","$5,356"
"The Strange Case of Dr. Jekyll and Mr.  Hyde","$5,321"
"Easy Virtue","$4,743"
"Cliente","$4,583"
"Fighting","$4,507"
"Capitalism: A Love Story","$4,501"
"Snow Angels","$3,894"
"Boogeyman 2","$3,748"
"Miracle at St. Anna","$3,184"
"MR 73","$3,002"
"Newcastle","$3,002"
"The Boat That Rocked","$2,553"
"J.C.V.D.","$2,405"
"Kruistocht in spijkerbroek","$2,319"
"Ehky ya Scheherazade","$2,117"
"Towelhead","$1,589"
"The Spirit","$1,560"
"Whisper","$1,411"
"The Death and Life of Bobby Z","$1,398"
"Tau ming chong (The Warlords)","$1,225"
"Donkey Xote","$1,096"
"Nomad (The Warrior)","$723"
"La Guerre des miss","$699"
"Maradona By Kusturica","$566"
"Resurrecting the Champ","$547"
