" Movie Title"," Distributor"," Gross"," Release"
"Inception","WB","$558,065","7/29"
"Step Up 3-D","Jaguar","$526,401","9/9"
"Salt","Sony","$493,141","7/22"
"Nour 3iney","n/a","$473,018","5/20"
"Tangled","Disney","$466,966","12/2"
"Alice in Wonderland (2010)","Disney","$430,952","3/4"
"The Twilight Saga: Eclipse","Jaguar","$427,363","7/8"
"Zhaimer","n/a","$415,975","11/11"
"Shrek Forever After","UIP","$405,047","7/15"
"Despicable Me","UIP","$385,768","9/23"
"The Tourist","n/a","$364,477","12/10"
"Clash of the Titans (2010)","WB","$353,010","4/15"
"Little Fockers","UIP","$341,098","12/23"
"Robin Hood","UIP","$333,336","5/13"
"Toy Story 3","Disney","$292,734","6/24"
"Knight & Day","Fox","$274,746","7/1"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$260,230","12/9"
"The Karate Kid","Sony","$254,837","6/17"
"Prince of Persia: The Sands of Time","Disney","$252,106","5/27"
"Harry Potter and the Deathly Hallows (Part One)","WB","$247,426","11/18"
"Grown Ups","Sony","$245,660","8/12"
"Due Date","WB","$240,740","11/4"
"Saw 3D","n/a","$240,371","11/4"
"Eat Pray Love","Sony","$229,026","10/7"
"Red","Jaguar","$227,976","11/11"
"It's Complicated","UIP","$225,288","1/14"
"The Bounty Hunter","Sony","$221,368","3/25"
"Valentine's Day","WB","$219,726","2/11"
"Gulliver's Travels","Fox","$217,609","12/30"
"The Last Airbender","UIP","$217,530","8/5"
"El Lembi 8 Giga","n/a","$214,623","7/22"
"The Book of Eli","Jaguar","$204,507","1/21"
"Bolbol Hayran","n/a","$203,187","11/15"
"Piranha 3D","Italian","$201,541","9/9"
"Megamind","UIP","$200,885","11/11"
"Life as We Know It","WB","$198,531","12/23"
"Tron Legacy","Disney","$197,797","12/23"
"Resident Evil: Afterlife","Jaguar","$195,081","9/30"
"The Sorcerer's Apprentice","Disney","$191,951","7/15"
"The Expendables","n/a","$182,323","9/9"
"The Town","WB","$181,746","10/21"
"From Paris with Love","Italian","$179,264","2/18"
"Sex and the City 2","WB","$176,065","7/15"
"Shutter Island","UIP","$165,389","3/11"
"Iron Man 2","UIP","$165,313","4/29"
"Killers","n/a","$160,885","6/3"
"Green Zone","UIP","$157,308","3/18"
"Unstoppable","Fox","$148,801","11/11"
"Nine","Italian","$143,497","1/14"
"Letters to Juliet","Jaguar","$141,806","7/29"
"How to Train Your Dragon","UIP","$139,341","3/25"
"The Next Three Days","n/a","$127,288","11/25"
"The Social Network","Sony","$124,930","10/28"
"Asal","n/a","$121,507","7/1"
"When in Rome","Disney","$121,320","2/25"
"The Last Song","Disney","$118,246","4/1"
"The Other Guys","Sony","$115,819","9/16"
"The Wolfman","UIP","$115,714","2/18"
"Edge of Darkness","n/a","$112,285","2/4"
"Did You Hear About the Morgans?","Sony","$111,947","1/28"
"Dinner for Schmucks","UIP","$110,535","9/16"
"The Back-Up Plan","Sony","$110,529","5/6"
"Cats & Dogs: Revenge of Kitty Galore","WB","$109,120","9/9"
"Faster","Sony","$106,673","12/2"
