" Movie Title"," Distributor"," Gross"," Release"
"The Simpsons Movie","Forum","$879,995","7/27"
"Ironiya sudby. Prodolzhenie (The Irony of Fate 2)","ACME","$697,775","12/21"
"Ratatouille","Forum","$636,521","8/17"
"Shrek the Third","Forum","$604,909","6/8"
"Surf's Up","ACME","$429,920","10/19"
"Mr. Bean's Holiday","n/a","$381,064","3/30"
"Bee Movie","Forum","$374,604","12/14"
"Superbad","ACME","$354,117","10/26"
"Pirates of the Caribbean: At World's End","Forum","$351,629","5/25"
"Harry Potter and the Order of the Phoenix","GPI","$297,423","7/20"
"National Treasure: Book of Secrets","Forum","$297,341","12/21"
"Transformers","Forum","$293,175","7/6"
"Whisper of Sin","n/a","$272,737","3/2"
"The Heartbreak Kid","Forum","$264,995","11/16"
"300","n/a","$242,202","3/30"
"Rush Hour 3","GPI","$234,621","9/21"
"Alvin and the Chipmunks","Forum","$199,825","12/21"
"Alien vs. Predator - Requiem","Forum","$196,706","12/28"
"Hitman","Forum","$193,449","12/7"
"Live Free or Die Hard","Forum","$190,633","6/29"
"Taxi 4","n/a","$188,837","3/2"
"Ocean's Thirteen","GPI","$188,513","6/22"
"The Golden Compass","GPI","$178,525","12/14"
"Resident Evil: Extinction","ACME","$174,755","10/5"
"Night at the Museum","n/a","$169,031","1/12"
"American Gangster","Forum","$164,845","11/2"
"Wild Hogs","n/a","$162,108","4/27"
"Stardust","Forum","$152,878","10/19"
"Saw IV","ACME","$151,589","10/26"
"The Bourne Ultimatum","Forum","$150,927","8/24"
"Spider-Man 3","n/a","$148,290","5/4"
"Good Luck Chuck","ACME","$141,692","10/12"
"Charlotte's Web","n/a","$141,301","2/16"
"1408","ACME","$140,002","8/3"
"Arthur et les Minimoys (Arthur and the Invisibles)","n/a","$130,719","4/6"
"Ghost Rider","n/a","$128,655","2/16"
"Beowulf","GPI","$126,799","11/30"
"Blood Diamond","n/a","$120,972","1/26"
"Evan Almighty","Forum","$115,147","6/29"
"I Now Pronounce You Chuck and Larry","Forum","$114,808","9/14"
"Epic Movie","n/a","$107,388","2/2"
"Shooter","n/a","$107,130","4/20"
"Knocked Up","Forum","$103,347","8/3"
"The Reaping","n/a","$102,168","4/27"
"Volkodav iz roda serykh psov (The Wolfhound)","n/a","$102,057","1/1"
"Enchanted","Forum","$98,989","11/30"
"Perfect Stranger","n/a","$98,086","4/13"
"The Hills Have Eyes 2","n/a","$96,990","4/6"
"28 Weeks Later","n/a","$93,997","6/15"
"No Reservations","GPI","$93,035","9/7"
"The Invasion","GPI","$88,245","11/16"
"30 Days of Night","ACME","$87,431","11/16"
"Hannibal Rising","n/a","$85,117","2/9"
"WAR","ACME","$81,887","9/7"
"The Nanny Diaries","ACME","$74,715","9/28"
"Norbit","n/a","$70,765","3/23"
"The Mist","ACME","$70,523","12/14"
"TMNT","n/a","$69,473","5/18"
"Grindhouse: Death Proof","ACME","$67,117","7/6"
"The Prestige","n/a","$66,838","1/5"
"Pathfinder: Legend of the Ghost Warrior","n/a","$66,392","5/11"
"Zhara (The Heat)","n/a","$66,019","1/19"
"Hors de prix (Priceless)","n/a","$61,593","3/16"
"La Môme (La Vie en Rose)","ACME","$59,845","8/10"
"Fracture","GPI","$59,807","8/10"
"1612","ACME","$58,426","11/9"
"The Kingdom","Forum","$57,988","11/23"
"Sluga Gosudarev (The Sovereign's Servant)","n/a","$57,288","3/9"
"A Mighty Heart","Forum","$56,422","9/21"
"Elizabeth: The Golden Age","Forum","$53,308","12/7"
"I Could Never Be Your Woman","ACME","$50,553","12/7"
"Hostel Part II","n/a","$50,487","6/8"
"Music and Lyrics","n/a","$49,590","3/23"
"El Laberinto del Fauno (Pan's Labyrinth)","n/a","$47,986","1/19"
"The Number 23","GPI","$46,967","5/18"
"The Pursuit of Happyness","n/a","$46,672","2/2"
"Pries parskrendant i zeme (Before Flying Back to the Earth)","n/a","$45,968","4/13"
"The Brave One","GPI","$44,756","10/12"
"Catacombs","ACME","$44,385","8/31"
"Putevoy obkhodchik (Trackman)","ACME","$43,785","9/28"
