" Movie Title"," Gross"
"Madagascar: Escape 2 Africa","$748,906"
"Kung Fu Panda","$483,946"
"Wall-E","$420,941"
"Dr. Seuss' Horton Hears a Who!","$386,439"
"Hancock","$362,979"
"The Mummy: Tomb of the Dragon Emperor","$328,165"
"10,000 B.C.","$307,989"
"Mamma Mia!","$301,807"
"Mirrors","$298,922"
"Step Up 2 the Streets","$293,784"
"Sex and the City","$289,153"
"The Tale of Despereaux","$282,007"
"Wanted","$280,251"
"What Happens in Vegas","$279,982"
"Quantum of Solace","$272,082"
"Nereikalingi zmones (Loss)","$272,047"
"Indiana Jones and the Kingdom of the Crystal Skull","$267,724"
"Samiy luchshiy film (The Very Best Film)","$220,779"
"The Day the Earth Stood Still (2008)","$215,887"
"Death Race","$212,587"
"Astérix aux jeux olympiques","$212,427"
"Australia","$211,992"
"Meet the Spartans","$205,971"
"P.S. I Love You","$202,723"
"I Am Legend","$193,908"
"My Best Friend's Girl","$193,142"
"Jumper","$190,188"
"Get Smart","$189,270"
"The Game Plan","$184,002"
"Max Payne","$176,225"
"Saw V","$174,527"
"You Don't Mess with the Zohan","$169,526"
"21","$166,987"
"27 Dresses","$161,755"
"Transporter 3","$161,666"
"Iron Man","$158,882"
"The Bucket List","$158,857"
"The Dark Knight","$156,823"
"Journey to the Center of the Earth","$156,432"
"The Accidental Husband","$149,157"
"The Chronicles of Narnia: Prince Caspian","$147,691"
"Burn After Reading","$141,987"
"Stritreysery (Streetracers)","$140,355"
"The Happening","$139,076"
"Sex Drive","$138,450"
"Shutter","$137,133"
"Meet Dave","$133,716"
"The House Bunny","$127,295"
"No Country for Old Men","$126,702"
"Cloverfield","$123,504"
"The Other Boleyn Girl","$122,247"
"Four Christmases","$118,267"
"Eagle Eye","$115,271"
"Disaster Movie","$114,797"
"Nights in Rodanthe","$113,159"
"Forgetting Sarah Marshall","$111,323"
"Atonement","$109,196"
"Vicky Cristina Barcelona","$108,679"
"Bangkok Dangerous (2008)","$102,335"
"Twilight","$101,859"
"Drillbit Taylor","$96,658"
"Fool's Gold","$95,143"
"Tropic Thunder","$94,886"
"5 dienu avantiura","$93,613"
"High School Musical 3: Senior Year","$92,436"
"One Missed Call","$92,176"
"Pineapple Express","$91,141"
"The Duchess","$88,146"
"Body of Lies","$87,918"
"The Spiderwick Chronicles","$82,710"
"Gitler kaput! (Hitler's Kaput!)","$81,665"
"Sweeney Todd: The Demon Barber of Fleet Street","$80,763"
"Righteous Kill","$79,585"
"The X-Files: I Want to Believe","$77,547"
"Made of Honor","$76,218"
"Quarantine","$75,799"
"Definitely, Maybe","$75,604"
"The Ruins","$75,234"
"Admiral","$68,746"
"Hellboy II: The Golden Army","$68,719"
"D-War (Dragon Wars)","$66,935"
"99 francs","$66,445"
"Step Brothers","$62,840"
"Vantage Point","$60,852"
"Balkonas","$57,945"
"My Blueberry Nights","$57,310"
"The Incredible Hulk","$53,656"
"The Eye","$48,118"
"2 Days in Paris","$45,887"
"Speed Racer","$45,663"
"Eastern Promises","$44,816"
"Prom Night (2008)","$44,463"
"Love in the Time of Cholera","$42,036"
"The Darjeeling Limited","$39,345"
"The Strangers","$39,083"
"El Orfanato (The Orphanage)","$38,707"
"My iz buduschego (We Are from the Future)","$37,949"
"Gone Baby Gone","$32,388"
"Domovoy (Ghost)","$31,719"
"The Forbidden Kingdom","$31,499"
"Rambo","$29,353"
"Street Kings","$29,309"
"Virgin Territory","$29,204"
"Charlie Wilson's War","$29,155"
"The Water Horse: Legend of the Deep","$29,143"
"We Own the Night","$28,376"
"Tropa de Elite (Elite Squad)","$27,423"
"Pathology","$26,391"
"Katyn","$25,878"
"Untraceable","$24,317"
"Star Wars: The Clone Wars","$23,153"
"Paris (2008)","$22,518"
"Lakeview Terrace","$22,261"
"Elegy","$22,236"
"Le Scaphandre et le papillon (The Diving Bell and the Butterfly)","$19,236"
"Sleuth (2007)","$18,636"
"Caótica Ana","$18,553"
"3:10 to Yuma (2007)","$18,447"
"Nim's Island","$17,009"
"Mr. Magorium's Wonder Emporium","$16,284"
"Big Stan","$15,318"
"Michael Clayton","$14,985"
"Pride & Glory","$14,568"
"L'Instinct de mort","$14,510"
"Never Back Down","$14,087"
"Outlander","$12,475"
"Ca$h","$12,134"
"Deception (2008)","$12,063"
"Irina Palm","$11,779"
"20 sigaret (20 Cigarettes)","$11,506"
"Troe i snezhinka (The Three and a Snowflake)","$11,455"
"Cassandra's Dream","$11,056"
"Rigas sargi","$10,538"
"Funny Games","$10,478"
"Soom (Breath)","$10,231"
"Ping guo (Lost in Beijing)","$10,007"
"4 luni, 3 saptamâni si 2 zile (4 Months, 3 Weeks, 2 Days)","$9,819"
"August Rush","$9,154"
"How to Lose Friends and Alienate People","$9,146"
"Auf der anderen Seite (Yasamin kiyisinda) (The Edge of Heaven)","$8,850"
"Sukiyaki Western Django","$6,520"
"I'm Not There","$5,733"
"Perpetuum mobile","$5,311"
"Passengers","$4,830"
"Kantoku · Banzai!","$4,405"
"Collectress","$4,328"
"L'Histoire de Richard O.","$4,076"
"Mokykla be uniformos","$4,069"
"Nepobedimyy (Unbeatable)","$3,833"
"Egon & Dönci","$2,904"
"In Bruges","$2,773"
"Sügisball","$2,318"
"Le Renard et l'enfant (The Fox and the Child)","$2,075"
"In the Valley of Elah","$1,545"
"The Bird Can't Fly","$938"
"The Fall","$795"
"Midsummer Madness","$161"
