" Movie Title","Distributor","Gross","Release"
"Avatar","Fox","$1,490,564","12/18"
"Ice Age: Dawn of the Dinosaurs","Forum","$1,396,270","7/1"
"2012","Sony","$548,944","11/13"
"Yes Man","GPI","$461,082","1/9"
"Up","Forum","$438,822","8/21"
"Fast and Furious","Forum","$374,527","4/3"
"Bolt","Forum","$353,955","2/27"
"The Twilight Saga: New Moon","ACME","$330,976","11/27"
"Alvin and the Chipmunks: The Squeakquel","Forum","$330,464","12/25"
"Harry Potter and the Half Blood Prince","GPI","$320,186","7/24"
"Cloudy with a Chance of Meatballs","Sony","$317,194","10/23"
"Antikiller D.K: Lyubov bez pamyati","Forum","$294,390","12/11"
"The Hangover","Garsu","$293,731","6/12"
"Angels & Demons","Sony","$293,688","5/15"
"Slumdog Millionaire","ACME","$286,818","2/13"
"G-Force","Forum","$273,851","9/18"
"A Christmas Carol (2009)","Forum","$249,653","11/20"
"The Ugly Truth","Sony","$235,573","9/11"
"Monsters Vs. Aliens","Forum","$232,224","4/3"
"The Final Destination","Garsu","$226,269","9/4"
"Transformers: Revenge of the Fallen","Forum","$220,242","6/26"
"OceanWorld 3D","ACME","$215,447","10/9"
"Michael Jackson's This Is It","Sony","$193,854","10/28"
"The Curious Case of Benjamin Button","GPI","$193,006","2/6"
"Inglourious Basterds","Forum","$189,884","8/28"
"Terminator Salvation: The Future Begins","Sony","$174,455","6/5"
"The Proposal","Forum","$162,068","6/19"
"Bride Wars","Forum","$153,404","1/16"
"Fly Me to the Moon","Forum","$152,134","1/23"
"Couples Retreat","Forum","$151,521","12/4"
"Brüno","ACME","$149,662","7/24"
"He's Just Not That Into You","Garsu","$144,144","2/20"
"Marley and Me","Forum","$139,599","3/13"
"Beverly Hills Chihuahua","Forum","$136,136","2/6"
"17 Again","Garsu","$131,594","5/8"
"My Bloody Valentine 3-D","ACME","$124,231","4/24"
"My Sister's Keeper","Garsu","$118,219","8/7"
"Friday the 13th (2009)","Forum","$106,160","2/13"
"9","Forum","$105,193","10/2"
"Night at the Museum: Battle of the Smithsonian","Forum","$104,857","5/22"
"District 9","Sony","$96,566","8/14"
"Samiy luchshiy film 2 (The Very Best Film 2)","ACME","$94,439","1/23"
"Crank: High Voltage","ACME","$92,134","4/17"
"The Unborn (2009)","Forum","$91,195","3/6"
"Public Enemies","Forum","$89,847","7/10"
"Orphan","Garsu","$88,259","9/25"
"Whiteout","Garsu","$86,852","10/16"
"Underworld: Rise of the Lycans","ACME","$86,788","1/30"
"Confessions of a Shopaholic","Forum","$82,855","4/10"
"Knowing","ACME","$81,859","4/10"
"Saw VI","ACME","$79,934","10/30"
"The Boy in the Striped Pajamas","Forum","$79,868","1/2"
"Fighting","Forum","$79,705","5/29"
"Year One","Sony","$77,300","9/4"
"Obitaemyy ostrov (The Inhabited Island: Part I)","ACME","$75,817","1/1"
"Valkyrie","Forum","$74,445","2/20"
"The Time Traveler's Wife","Garsu","$73,453","11/6"
"Changeling","Forum","$73,335","1/23"
"Kanikuly strogogo rezhima","ACME","$70,567","9/4"
"The Taking of Pelham One, Two, Three","Sony","$70,389","7/31"
"Drag Me to Hell","ACME","$68,993","6/12"
"The Pink Panther 2","ACME","$68,917","2/20"
"Vozvrashenie mushketerov, ili sokrovischa
kardinala Mazarini (Musketeers Return)","ACME","$68,297","2/6"
"Spread","ACME","$67,767","11/20"
"RockNRolla","GPI","$67,604","1/16"
"Ghosts of Girlfriends Past","Garsu","$67,524","5/29"
"X-Men Origins: Wolverine","Forum","$61,702","5/1"
"Bedtime Stories","Forum","$58,274","1/9"
"Revolutionary Road","Forum","$57,055","1/30"
"G.I. Joe","Forum","$55,571","8/14"
"Los Abrazos rotos (Broken Embraces)","ACME","$55,368","10/16"
"Artimos sviesos (Low Lights)","ACME","$53,369","10/23"
"Watchmen","Forum","$52,728","3/13"
"Surrogates","Forum","$52,186","10/9"
"Coraline","Forum","$51,771","5/8"
"Duplicity","Forum","$51,258","3/20"
"Hotel for Dogs","Forum","$51,159","3/20"
"Duburys","n/a","$48,969","6/12"
"Lyubov v bolshom gorode (Love in the Big City)","Meed","$48,827","3/27"
"New in Town","ACME","$48,515","6/5"
"Everybody's Fine","Forum","$48,385","12/18"
"Gamer (2009)","ACME","$48,329","10/23"
"Paul Blart: Mall Cop","Sony","$43,907","3/27"
"Gran Torino","Garsu","$41,204","3/27"
"Diario de una ninfómana","ACME","$41,115","8/7"
"Seven Pounds","ACME","$39,280","2/27"
"Fame (2009)","ACME","$38,355","10/2"
"I Love You Man","Forum","$37,227","4/24"
"Race to Witch Mountain","Forum","$36,174","4/17"
"Jennifer's Body","Forum","$35,705","10/2"
"Role Models","Forum","$35,144","2/27"
"Taken","ACME","$33,413","4/24"
"U2 3D","Forum","$33,116","1/23"
"The International","ACME","$32,367","3/6"
"The Last House on the Left (2009)","Forum","$31,250","7/24"
"Inkheart","Garsu","$31,106","3/6"
"Pandorum","ACME","$30,863","9/25"
"Hannah Montana The Movie","Forum","$30,818","7/31"
"Defiance","ACME","$28,969","1/16"
