" Movie Title"," Distributor"," Gross"," Release"
"Cars 2","Forum","$477,117","8/5"
"Kung Fu Panda 2","Forum","$471,990","6/3"
"Pirates of the Caribbean: On Stranger Tides (3D)","Forum","$458,820","5/18"
"Tangled","Forum","$441,097","1/28"
"Rio","Forum","$397,037","4/22"
"Transformers 3","Forum","$392,009","6/29"
"The Smurfs","ACME","$381,239","8/19"
"The Hangover Part II","ACME","$375,176","5/27"
"Harry Potter and the Deathly Hallows (Part Two)","ACME","$357,092","7/13"
"Fast Five","Forum","$343,355","4/29"
"The Tourist","ACME","$182,192","1/7"
"Final Destination 5","ACME","$158,897","8/12"
"Rango","Forum","$156,612","3/18"
"No Strings Attached","Forum","$149,449","2/11"
"Gulliver's Travels","Forum","$148,019","2/11"
"Bridesmaids","Forum","$138,714","7/22"
"Hop","Forum","$132,988","4/1"
"Sanctum (3D)","Meed","$131,573","3/4"
"Horrible Bosses","ACME","$130,492","7/8"
"Black Swan","Forum","$118,466","1/28"
"The Mechanic","Incognito","$116,074","1/28"
"Battle: Los Angeles","ACME","$114,498","3/11"
"The King's Speech","ACME","$111,392","1/21"
"Just Go With It","ACME","$107,902","4/1"
"Mr. Popper's Penguins","Forum","$104,625","6/24"
"Love and Other Drugs","Forum","$99,983","1/7"
"Water for Elephants","Forum","$97,526","4/15"
"Season of the Witch","GPI","$93,825","2/4"
"Burlesque","ACME","$93,760","1/21"
"Hall Pass","ACME","$93,407","3/18"
"Bad Teacher","ACME","$83,372","8/26"
"The Green Hornet","ACME","$79,417","1/14"
"Crazy, Stupid, Love.","ACME","$77,150","8/19"
"Limitless","GPI","$76,529","6/10"
"Thor","Forum","$74,700","5/6"
"The Very Best Movie 3D","ACME","$73,710","2/4"
"Rise of the Planet of the Apes","Forum","$73,045","8/5"
"Life as We Know It","ACME","$72,228","1/14"
"Drive Angry","ACME","$71,441","2/25"
"Sluzhebnyy roman - Nashe vremya (Office Romance)","ACME","$70,055","3/25"
"Priest","ACME","$66,616","5/13"
"The Adjustment Bureau","Forum","$65,386","3/18"
"Super 8","Forum","$62,118","6/17"
"Vykrutasy (Lucky Trouble)","ACME","$60,674","2/25"
"Big Mommas: Like Father, Like Son","Forum","$57,703","3/4"
"Captain America: The First Avenger","Forum","$56,082","7/29"
"The Eagle","GPI","$53,919","4/8"
"Cowboys & Aliens","Forum","$51,621","8/12"
"Source Code","ACME","$51,402","4/8"
"Conan the Barbarian (2011)","Incognito","$50,939","8/19"
"Sea Rex 3D: Journey to a Prehistoric World","n/a","$44,965","3/25"
"Biutiful","ACME","$42,350","2/11"
"Yogi Bear","ACME","$41,704","4/8"
"Blitz","ACME","$40,866","7/22"
"X-Men: First Class","Forum","$40,647","6/3"
"Red Riding Hood","Forum","$37,786","4/22"
"Something Borrowed","ACME","$37,123","7/1"
"The Rite","ACME","$34,673","4/1"
"I Am Number Four","ACME","$33,127","4/8"
"Paul","Forum","$32,991","6/17"
"Jane Eyre (2011)","ACME","$32,121","8/26"
"Scream 4","Incognito","$30,942","4/15"
"Lubov morkov 3 (Lovey Dovey 3)","Forum","$27,996","3/11"
"Your Highness","Forum","$26,987","4/15"
"Insidious","Meed","$25,835","5/6"
"Rabbit Hole","Incognito","$25,542","1/14"
"Justin Bieber: Never Say Never","Forum","$25,518","4/8"
"Winx Club 3D: Magic Adventure","GPI","$25,264","5/6"
"Winnie the Pooh","Forum","$24,028","9/9"
"You Will Meet a Tall Dark Stranger","ACME","$21,435","2/4"
"Beastly","Incognito","$20,585","5/20"
"Sucker Punch","ACME","$19,414","3/25"
"The Dilemma","Forum","$18,953","1/21"
"Midnight in Paris","ACME","$18,599","9/9"
"Hanna","ACME","$17,768","6/10"
"How Do You Know","ACME","$16,647","2/25"
"De vrais mensonges (Full Treatment)","ACME","$16,321","4/22"
"Zookeeper","ACME","$12,457","9/2"
"Larry Crowne","ACME","$12,398","9/2"
"Casino Jack","Incognito","$12,278","3/4"
"True Grit","Forum","$12,032","2/25"
"The Change-Up","Forum","$10,730","9/9"
"Potiche","ACME","$10,043","3/11"
"Invisible Sign","Meed","$9,276","5/13"
"The Lincoln Lawyer","ACME","$9,074","5/20"
"L'arbre (The Tree)","Incognito","$8,660","4/1"
"The Kids Are All Right","n/a","$7,308","4/29"
"Somewhere","ACME","$6,464","1/6"
"Love, Wedding, Marriage","Meed","$5,377","6/24"
"Los ojos de Julia (Julia's Eyes)","A-One","$5,267","2/18"
"The Warrior's Way","GPI","$5,009","1/7"
"Serge Gainsbourg, vie héroïque","Planetos","$4,383","1/7"
"Det enda rationella","KP","$3,972","1/14"
"I Love You Too","n/a","$2,892","7/15"
"Magic Paris 2","A-One","$2,511","5/13"
"The Roommate","ACME","$2,503","4/15"
"Exam","Incognito","$2,496","8/5"
"En familie (A Family)","KP","$2,039","4/15"
"Le Petit Nicolas","A-One","$1,755","4/29"
"El secreto de sus ojos","A-One","$1,619","8/19"
"Luftslottet som sprängdes (The Girl Who Kicked the Hornet's Nest)","Incognito","$1,515","2/25"
"Blue Valentine","ACME","$1,425","9/2"
"Lope","n/a","$1,111","6/3"
"Weekend (2011)","n/a","$1,036","4/1"
"Indigène d'Eurasie","ACME","$504","4/1"
"Myliu kulka tavo sirdyje","n/a","$380","2/4"
"Fish Tank","Garsas","$288","1/14"
"Four Lions","Planetos","$214","6/3"
"Porno Melodrama","n/a","$105","4/15"
"Flickan","Planetos","$72","5/6"
