" Movie Title"," Distributor"," Gross"," Release"
"Cheung Gong 7 hou (CJ7)","n/a","$3,695,033","2/7"
"Iron Man","n/a","$3,469,079","4/30"
"The Mummy: Tomb of the Dragon Emperor","n/a","$3,427,462","7/31"
"Quantum of Solace","n/a","$3,294,649","11/6"
"Indiana Jones and the Kingdom of the Crystal Skull","n/a","$2,811,491","5/22"
"Kung Fu Panda","n/a","$2,779,067","6/6"
"The Chronicles of Narnia: Prince Caspian","n/a","$2,750,052","5/15"
"The Forbidden Kingdom","n/a","$2,703,898","4/17"
"The Dark Knight","n/a","$2,662,783","7/17"
"Madagascar: Escape 2 Africa","n/a","$2,589,522","11/13"
"Hancock","n/a","$2,298,883","7/3"
"The Incredible Hulk","n/a","$2,284,041","6/12"
"10,000 B.C.","n/a","$2,113,562","3/6"
"Wanted","n/a","$1,892,676","6/26"
"Duyung","n/a","$1,878,216","3/6"
"Guan lan (Kung Fu Dunk)","n/a","$1,858,974","2/7"
"Hellboy II: The Golden Army","n/a","$1,858,596","7/10"
"Dasavatharam","n/a","$1,721,109","6/12"
"Rambo","n/a","$1,639,826","1/24"
"Jumper","n/a","$1,584,968","2/14"
"Ip Man","n/a","$1,448,373","12/18"
"Evolusi KL Drift","n/a","$1,431,399","4/3"
"The Day the Earth Stood Still (2008)","n/a","$1,383,682","12/11"
"Lao shi ai lao da (a.k.a. Ah Long Pte Ltd)","n/a","$1,378,946","3/13"
"Bolt","Disney","$1,344,988","12/4"
"Qian bu gou yong 2 (Money No Enough 2)","n/a","$1,342,065","8/28"
"Senario The Movie : Episode 1","n/a","$1,332,848","10/2"
"Journey to the Center of the Earth","n/a","$1,186,977","7/10"
"Wall-E","n/a","$1,178,137","8/14"
"Congkak","n/a","$1,171,720","4/17"
"Eagle Eye","n/a","$1,144,259","10/2"
"The Spiderwick Chronicles","n/a","$961,444","3/13"
"High School Musical 3: Senior Year","n/a","$960,591","10/23"
"Twilight","n/a","$922,855","11/27"
"Get Smart","n/a","$911,958","6/19"
"Death Race","n/a","$905,861","8/21"
"Cicakman 2 :Planet Hitam","n/a","$901,226","12/11"
"Histeria","n/a","$895,806","12/18"
"Babylon A.D.","n/a","$852,783","8/28"
"The Game Plan","n/a","$848,918","1/10"
"Yes Man","n/a","$810,980","12/18"
"Vaaranam Aayiram","n/a","$796,297","11/13"
"You Don't Mess with the Zohan","n/a","$780,282","8/21"
"Cloverfield","n/a","$754,877","1/17"
"Kuruvi","n/a","$754,201","5/1"
"Transporter 3","n/a","$749,820","12/4"
"Dunia Baru: The Movie","n/a","$719,199","2/7"
"The Water Horse: Legend of the Deep","n/a","$710,375","3/27"
"Bangkok Dangerous (2008)","n/a","$706,121","10/23"
"Saam gwok dzi gin lung se gap (Three Kingdoms: Resurrection of the Dragon)","n/a","$670,030","4/3"
"Susuk","n/a","$660,545","8/7"
"Max Payne","Fox","$657,894","10/16"
"The Spirit","n/a","$655,599","12/25"
"Chi bi (Red Cliff: Part I)","n/a","$645,025","7/17"
"Vantage Point","n/a","$636,863","2/21"
"Cuci","n/a","$630,505","1/24"
"Wa pei (Painted Skin)","n/a","$626,440","9/25"
"Kuselan","n/a","$569,967","7/31"
"Quarantine","n/a","$567,921","11/20"
"Mamma Mia!","n/a","$566,785","9/25"
"Antoo Fighter","n/a","$564,553","11/27"
"Meet the Spartans","n/a","$550,432","1/31"
"Superhero Movie","n/a","$549,349","5/29"
"Long Tor Tai (The Coffin)","n/a","$520,711","10/31"
"Aegan","n/a","$486,419","10/23"
"Bheema","n/a","$483,854","1/17"
"Dr. Seuss' Horton Hears a Who!","n/a","$463,796","3/13"
"I'm Not Single","n/a","$459,805","7/24"
"Indiralogathil Na Azhagappan","n/a","$451,753","1/31"
"The Happening","n/a","$444,354","6/12"
