" Movie Title"," Gross"
"Transformers: Revenge of the Fallen","$7,856,544"
"Avatar","$7,706,512"
"2012","$7,511,269"
"Cirque du Freak: The Vampire's Assistant","$4,041,235"
"Terminator Salvation: The Future Begins","$3,886,687"
"Fast and Furious","$2,997,505"
"Night at the Museum: Battle of the Smithsonian","$2,821,294"
"G.I. Joe","$2,804,979"
"Ice Age: Dawn of the Dinosaurs","$2,425,992"
"Harry Potter and the Half Blood Prince","$2,333,468"
"X-Men Origins: Wolverine","$2,322,754"
"The Twilight Saga: New Moon","$2,042,899"
"Fung wan II (The Storm Warriors)","$1,891,453"
"Underworld: Rise of the Lycans","$1,836,866"
"The Final Destination","$1,815,415"
"Geng: Pengembaraan Bermula","$1,740,337"
"Alvin and the Chipmunks: The Squeakquel","$1,701,539"
"Ga yau hei si 2009 (All's Well, Ends Well 2009)","$1,655,109"
"Dragonball Evolution","$1,591,204"
"Jangan pandang belakang congkak","$1,588,562"
"G-Force","$1,540,260"
"Xia dao xiao (Where Got Ghost?)","$1,515,577"
"Aadhavan","$1,456,618"
"Ninja Assassin","$1,384,661"
"Bedtime Stories","$1,373,911"
"Angels & Demons","$1,364,412"
"Vettaikaran","$1,329,428"
"Surrogates","$1,265,864"
"Up","$1,240,276"
"Race to Witch Mountain","$1,225,954"
"Sherlock Holmes","$1,212,543"
"Bohsia: Jangan Pilih Jalan Hitam","$1,209,069"
"Santau","$1,207,287"
"San suk si gin (Shinjuku Incident)","$1,112,234"
"Inkheart","$1,080,825"
"Kanthaswamy","$1,077,658"
"A Christmas Carol (2009)","$1,067,591"
"Monsters Vs. Aliens","$1,066,486"
"Ayan","$1,046,027"
"Papadom","$1,021,414"
"Jangan Tegur","$1,015,051"
"Shi yue wei cheng (Bodyguards and Assassins)","$997,751"
"Star Trek","$960,679"
"The Princess and the Frog","$941,156"
"Ong bak 2","$936,599"
"Chi bi: Xia - Jue zhan tian xia (Red Cliff: Part II)","$920,257"
"Xing fu wan sui (Love Matters)","$874,663"
"Senario the Movie Episode 2: Beach Boys","$848,341"
"Haeundae","$847,853"
"Drag Me to Hell","$841,026"
"Michael Jackson's This Is It","$829,924"
"Da xi shi (The Wedding Game)","$829,474"
"Watchmen","$772,763"
"District 9","$744,751"
"Ci Ling (The Treasure Hunter)","$741,811"
"Street Fighter: The Legend of Chun-Li","$738,895"
"Poker King","$714,520"
"The Proposal","$700,306"
"The Pink Panther 2","$676,508"
"Syurga Cinta","$640,003"
"Villu","$639,236"
"Knowing","$606,981"
"Land of the Lost","$579,682"
"Gamer (2009)","$578,616"
"Skrip 7707","$559,628"
"Jennifer's Body","$559,214"
"Blood: The Last Vampire","$555,401"
"Jin Notti","$531,913"
"Punisher: War Zone","$530,581"
"Cloudy with a Chance of Meatballs","$515,893"
"Ha phraeng (Phobia 2)","$508,449"
"The Taking of Pelham One, Two, Three","$506,088"
"Paul Blart: Mall Cop","$485,757"
"The Ugly Truth","$481,525"
"17 Again","$448,329"
"Pandorum","$432,731"
"Confessions of a Shopaholic","$427,156"
"Sorority Row","$423,157"
"Killshot","$417,818"
"A Perfect Getaway","$417,477"
"Bride Wars","$398,728"
"Naan kadavul","$380,756"
"Orphan","$375,664"
"Public Enemies","$374,338"
"Yau lung hei fung (Look for a Star)","$374,141"
