" Movie Title"," Gross"
"Spider-Man 3","$36,846,766"
"Harry Potter and the Order of the Phoenix","$24,736,826"
"Pirates of the Caribbean: At World's End","$24,332,139"
"Shrek the Third","$24,122,638"
"Transformers","$17,976,243"
"Fantastic Four: Rise of the Silver Surfer","$16,560,372"
"Ratatouille","$16,103,100"
"The Simpsons Movie","$15,295,868"
"Enchanted","$13,195,233"
"Alvin and the Chipmunks","$11,697,418"
"Kilómetro 31","$10,963,219"
"National Treasure: Book of Secrets","$10,601,378"
"The Golden Compass","$10,500,139"
"300","$10,101,034"
"The Game Plan","$9,096,000"
"Apocalypto","$8,012,656"
"Bee Movie","$8,008,367"
"The Pursuit of Happyness","$7,789,998"
"Meet the Robinsons","$7,745,678"
"Resident Evil: Extinction","$7,338,523"
"Ghost Rider","$7,324,746"
"Live Free or Die Hard","$7,073,690"
"Niñas Mal (Charm School)","$7,047,677"
"Wild Hogs","$6,902,346"
"The Reaping","$6,209,212"
"Surf's Up","$5,773,225"
"Beowulf","$5,652,941"
"Evan Almighty","$5,642,881"
"Ocean's Thirteen","$5,382,669"
"I Now Pronounce You Chuck and Larry","$5,228,737"
"The Heartbreak Kid","$5,167,625"
"The Bourne Ultimatum","$5,016,250"
"Perfume - The Story of a Murderer","$4,929,972"
"Rocky Balboa","$4,885,033"
"Norbit","$4,852,873"
"Stardust","$4,845,985"
"License to Wed","$4,836,620"
"Mr. Bean's Holiday","$4,800,896"
"Fracture","$4,720,398"
"Underdog","$4,555,910"
"Epic Movie","$4,390,078"
"Premonition","$4,381,690"
"Love in the Time of Cholera","$4,292,180"
"Blood Diamond","$4,112,166"
"Next","$4,049,441"
"The Water Horse: Legend of the Deep","$4,048,376"
"La Leyenda de la Nahuala","$4,027,504"
"Perfect Stranger","$3,933,392"
"TMNT","$3,872,833"
"Rush Hour 3","$3,758,080"
"Hasta el viento tiene miedo","$3,742,078"
"Bridge to Terabithia","$3,714,159"
"Sultanes del Sur","$3,521,799"
"The Holiday","$3,444,255"
"1408","$3,345,643"
"The Messengers","$3,270,436"
"Fuera del cielo","$3,086,315"
"The Seeker: The Dark Is Rising","$2,970,174"
"No Reservations","$2,858,816"
"Happily N'Ever After","$2,823,845"
"Music and Lyrics","$2,696,530"
"Disturbia","$2,559,691"
"Mr. Brooks","$2,486,164"
"Hitman","$2,404,856"
"Lions for Lambs","$2,404,064"
"Fred Claus","$2,368,708"
"Shooter","$2,318,442"
"The Brave One","$2,240,156"
"Knocked Up","$2,201,862"
"Goal! 2: Living the Dream...","$2,188,459"
"Good Luck Chuck","$2,185,939"
"Cañitas. Presencia","$2,108,511"
"Dead Silence","$2,099,772"
"Are We Done Yet?","$2,078,809"
"30 Days of Night","$2,049,398"
"An American Haunting","$2,041,796"
"The Invasion","$2,024,971"
"Vacancy","$1,962,734"
"Pathfinder: Legend of the Ghost Warrior","$1,957,922"
"The Invisible","$1,832,351"
"Hairspray (2007)","$1,803,672"
"Arthur et les Minimoys (Arthur and the Invisibles)","$1,666,459"
"28 Weeks Later","$1,662,497"
"Zodiac","$1,600,004"
"Malos hábitos (Bad Habits)","$1,542,300"
"El Bufalo de la noche","$1,489,396"
"Hannibal Rising","$1,451,704"
"La Santa muerte","$1,441,483"
"White Noise 2: The Light","$1,347,037"
"Whisper","$1,342,624"
"Lovewrecked","$1,322,470"
"Superbad","$1,274,867"
"The Number 23","$1,221,837"
"BRATZ","$1,221,708"
"Alone (2007)","$1,214,300"
"The Good Shepherd","$1,211,803"
"The Kingdom","$1,156,093"
"Because I Said So","$1,113,356"
"Fraude: México 2006 (Fraude)","$1,112,302"
"Halloween (2007)","$1,082,083"
"Catacombs","$1,069,241"
"Breach","$1,045,877"
"Rendition","$1,042,158"
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","$1,035,175"
"Notes on a Scandal","$1,013,500"
"Stormbreaker","$1,010,381"
"Firehouse Dog","$1,004,237"
"Griffin & Phoenix","$971,107"
"The Abandoned","$959,516"
"The Contract","$949,552"
