" Movie Title"," Distributor"," Gross"," Release"
"The Dark Knight","WB","$24,966,893","7/18"
"Kung Fu Panda","PPI","$22,002,301","6/20"
"Iron Man","PPI","$19,728,577","4/30"
"The Chronicles of Narnia: Prince Caspian","Disney","$19,278,912","5/16"
"Wall-E","Disney","$17,679,805","7/4"
"10,000 B.C.","WB","$17,253,874","3/7"
"Madagascar: Escape 2 Africa","PPI","$16,865,859","12/5"
"The Mummy: Tomb of the Dragon Emperor","UPI","$15,405,770","8/1"
"Hancock","Sony","$14,177,721","7/11"
"Journey to the Center of the Earth","Gussi","$13,871,400","7/25"
"I Am Legend","WB","$13,390,139","1/18"
"The Incredible Hulk","UPI","$12,168,610","6/13"
"Indiana Jones and the Kingdom of the Crystal
Skull","PPI","$11,527,839","5/22"
"El Orfanato (The Orphanage)","Videocine","$11,469,803","1/25"
"Get Smart","WB","$10,435,551","6/27"
"Twilight","Corazon","$9,842,699","11/21"
"La Misma luna (Under the Same Moon)","Fox","$9,576,437","3/20"
"The Day the Earth Stood Still (2008)","Fox","$9,562,903","12/12"
"Dr. Seuss' Horton Hears a Who!","Fox","$9,390,824","3/14"
"Arráncame la vida","Fox","$9,042,087","9/12"
"The Happening","Fox","$8,862,942","6/13"
"Rudo y Cursi","UPI","$8,357,502","12/19"
"Bolt","Disney","$7,915,302","12/19"
"Beverly Hills Chihuahua","Disney","$7,660,801","10/3"
"What Happens in Vegas","Fox","$7,607,501","5/30"
"Wanted","UPI","$7,135,354","8/15"
"The Spiderwick Chronicles","PPI","$6,584,723","3/7"
"The Bucket List","WB","$6,582,890","1/25"
"Hellboy II: The Golden Army","UPI","$6,361,065","7/11"
"You Don't Mess with the Zohan","Sony","$6,359,892","6/6"
"Jumper","Fox","$6,320,078","3/28"
"Speed Racer","WB","$6,128,307","5/9"
"Quantum of Solace","Sony","$6,049,052","11/14"
"Made of Honor","Sony","$5,944,130","4/30"
"Taken","Fox","$5,543,935","8/22"
"[Rec]","Videocine","$5,199,431","8/29"
"Alien vs. Predator - Requiem","Fox","$5,188,114","1/4"
"Juno","Videocine","$5,148,763","2/14"
"Cloverfield","PPI","$4,772,911","2/1"
"High School Musical 3: Senior Year","Disney","$4,396,904","10/31"
"Australia","Fox","$4,369,708","12/25"
"High School Musical: El Desafio","Disney","$4,262,784","9/5"
"Meet Dave","Fox","$4,007,053","7/25"
"Mirrors","Fox","$3,961,078","10/3"
"Drillbit Taylor","PPI","$3,871,893","3/20"
"Shutter","Fox","$3,765,241","4/11"
"Casi divas (Road to Fame)","Sony","$3,693,136","4/11"
"Meet the Spartans","Fox","$3,608,239","2/29"
"Navidad, S.A.","WB","$3,567,935","11/14"
"Sex and the City","Gussi","$3,480,182","6/6"
"One Missed Call","WB","$3,414,400","3/20"
"27 Dresses","Fox","$3,387,517","2/14"
"Babylon A.D.","Fox","$3,372,367","9/5"
"The X-Files: I Want to Believe","Fox","$3,367,988","8/8"
"Tropic Thunder","PPI","$3,348,445","8/29"
"American Gangster","UPI","$3,275,843","2/1"
"Tinker Bell","Disney","$3,148,867","9/19"
"Mamma Mia!","UPI","$3,133,862","9/12"
"P.S. I Love You","Corazon","$3,097,687","2/29"
"21","Sony","$3,059,180","6/20"
"Star Wars: The Clone Wars","WB","$2,894,001","8/15"
"College Road Trip","Disney","$2,862,598","8/8"
"The Strangers","Videocine","$2,853,234","9/19"
"88 Minutes","Gussi","$2,848,332","5/9"
"Vantage Point","Sony","$2,814,293","2/22"
"Eagle Eye","PPI","$2,793,282","9/26"
"Street Kings","Fox","$2,753,849","4/18"
"Donkey Xote","Videocine","$2,540,000","9/12"
"Superhero Movie","Gussi","$2,481,900","5/30"
"Sweeney Todd: The Demon Barber of Fleet
Street","WB","$2,442,047","2/8"
"Amor letra por letra","Videocine","$2,379,324","8/22"
"Volverte a ver","Videocine","$2,372,222","12/25"
"The Tale of Despereaux","UPI","$2,297,403","12/25"
"Over Her Dead Body","Videocine","$2,287,990","8/1"
"Fly Me to the Moon","Gussi","$2,165,400","3/9"
"Body of Lies","WB","$2,147,839","11/28"
"Wedding Daze","Aztec","$2,123,900","7/4"
"Four Christmases","Gussi","$2,121,744","12/19"
"Rambo","Aztec","$2,079,113","2/14"
"The Forbidden Kingdom","Zima","$1,924,003","9/12"
"The Eye","PPI","$1,903,563","2/22"
"Nights in Rodanthe","WB","$1,900,304","10/3"
"Nim's Island","UPI","$1,883,885","7/18"
"Burn After Reading","UPI","$1,863,287","10/24"
"Awake","Videocine","$1,850,133","4/25"
"No Country for Old Men","PPI","$1,814,834","2/8"
"The Bank Job","Gussi","$1,806,999","8/29"
"The Other Boleyn Girl","Gussi","$1,798,046","8/8"
"Bangkok Dangerous (2008)","Gussi","$1,793,375","9/26"
"August Rush","Videocine","$1,681,783","3/14"
"Ladrón que roba a ladrón","WB","$1,679,505","4/18"
"Untraceable","Sony","$1,648,433","3/20"
"Prom Night (2008)","Sony","$1,618,177","8/8"
"I Could Never Be Your Woman","Videocine","$1,598,354","3/28"
"Charlie Wilson's War","UPI","$1,587,293","2/29"
"Bajo la sal","WB","$1,577,437","10/17"
