" Movie Title"," Distributor"," Gross"," Release"
"Alles is liefde","A-Film","$14,519,463","10/11"
"Harry Potter and the Order of the Phoenix","WB","$14,257,647","7/11"
"Pirates of the Caribbean: At World's End","BVI","$13,770,170","5/23"
"Shrek the Third","UPI","$8,009,244","6/21"
"Mr. Bean's Holiday","UPI","$6,601,552","3/29"
"Ratatouille","BVI","$6,566,255","8/2"
"I Am Legend","WB","$6,053,468","12/20"
"Moordwijven","Indep.","$4,773,977","12/20"
"Ocean's Thirteen","WB","$4,480,692","6/14"
"Bee Movie","UPI","$4,384,628","12/12"
"Spider-Man 3","Sony","$4,272,947","5/1"
"The Golden Compass","RCV 2001","$4,076,792","12/6"
"The Bourne Ultimatum","UPI","$3,812,124","9/13"
"Transformers","UPI","$3,737,800","7/5"
"Waar is het paard van Sinterklaas?","WB","$3,249,763","10/10"
"Live Free or Die Hard","Fox","$3,192,702","6/28"
"Blood Diamond","WB","$3,165,003","1/25"
"Night at the Museum","Fox","$2,819,655","2/15"
"Das Leben der Anderen (The Lives of Others)","Cinemien","$2,793,412","3/1"
"The Simpsons Movie","Fox","$2,662,346","8/16"
"American Gangster","UPI","$2,658,544","11/15"
"300","WB","$2,546,452","3/22"
"Music and Lyrics","WB","$2,344,853","3/8"
"Enchanted","Disney","$2,268,651","12/13"
"Earth (2007)","Indep.","$2,249,516","11/29"
"Zoop in Zuid-Amerika","Indep.","$2,225,305","7/19"
"Hairspray (2007)","RCV 2001","$2,159,532","8/30"
"K3 en de kattenprins","Indep.","$2,125,861","12/19"
"Timboektoe","RCV 2001","$2,108,494","10/4"
"Norbit","UPI","$2,050,533","3/15"
"De Scheepsjongens van Bontekoe","RCV 2001","$1,851,040","11/22"
"Ernst, Bobbie en de geslepen Onix","Indep.","$1,813,252","2/15"
"Atonement","UPI","$1,714,246","11/1"
"I Now Pronounce You Chuck and Larry","UPI","$1,647,912","7/26"
"Saw III","Indep.","$1,579,557","1/4"
"The Heartbreak Kid","UPI","$1,453,118","10/18"
"No Reservations","WB","$1,448,535","9/6"
"Rush Hour 3","Paradiso","$1,446,393","10/4"
"1408","Benelux","$1,355,950","8/30"
"The Pursuit of Happyness","Sony","$1,340,879","2/1"
"Wild Hogs","BVI","$1,333,102","4/12"
"Beowulf","WB","$1,226,583","11/22"
"Evan Almighty","UPI","$1,161,680","8/9"
"The Kingdom","UPI","$1,133,257","10/11"
"Surf's Up","Sony","$1,123,701","10/11"
"Apocalypto","A-Film","$1,121,164","1/11"
"Knocked Up","UPI","$1,111,809","9/27"
"Next","RCV 2001","$1,106,344","4/26"
"Disturbia","UPI","$1,087,761","8/23"
"Fracture","RCV 2001","$1,087,745","5/17"
"Barnyard: The Original Party Animals","UPI","$1,067,589","2/15"
"Stardust","UPI","$1,045,618","10/4"
"Plop en de Pinguin","Indep.","$1,025,439","10/10"
"Dreamgirls","UPI","$1,009,506","2/22"
"Elizabeth: The Golden Age","UPI","$961,186","12/20"
"Shark Bait (a.k.a. The Reef)","Indep.","$922,690","5/16"
"Superbad","Sony","$917,588","11/8"
"P.S. I Love You","Indep.","$851,933","12/20"
"Hitman","Fox","$810,244","11/29"
"Premonition","RCV 2001","$801,509","6/7"
"Fantastic Four: Rise of the Silver Surfer","Fox","$790,411","7/26"
"Shooter","UPI","$785,303","4/12"
"Perfect Stranger","Sony","$781,793","4/12"
"The Good Shepherd","Benelux","$778,913","2/15"
"Mr. Magorium's Wonder Emporium","Benelux","$764,466","12/6"
"The Prestige","WB","$757,704","2/8"
"Arthur et les Minimoys (Arthur and the Invisibles)","Indep.","$754,493","2/1"
"Hannibal Rising","Benelux","$753,034","3/8"
"Smokin' Aces","UPI","$746,194","2/1"
"El Laberinto del Fauno (Pan's Labyrinth)","Paradiso","$721,198","4/26"
"La Môme (La Vie en Rose)","RCV 2001","$693,645","3/8"
"Hot Fuzz","UPI","$630,779","4/5"
"BRATZ","RCV 2001","$624,047","8/9"
"Epic Movie","Fox","$613,127","4/26"
"The Last King of Scotland","Fox","$532,103","2/8"
"Rocky Balboa","Fox","$525,969","1/18"
"The Reaping","WB","$514,753","5/10"
"Grindhouse: Death Proof","A-Film","$512,831","6/7"
"The Brave One","WB","$510,268","9/27"
"Kicks","Indep.","$491,057","3/1"
"The Number 23","Paradiso","$477,170","5/17"
"Michael Clayton","Indep.","$475,015","10/25"
"Eastern Promises","RCV 2001","$459,886","11/29"
"Mr. Brooks","RCV 2001","$458,816","9/6"
"Death Sentence","RCV 2001","$452,155","10/18"
"Happily N'Ever After","Indep.","$447,140","4/26"
"Zodiac","WB","$434,918","5/31"
"Ghost Rider","Sony","$413,210","3/29"
"Control (2007)","Paradiso","$405,834","10/11"
"TMNT","WB","$361,626","4/19"
"Halloween (2007)","Paradiso","$349,004","10/25"
"Kapitein Rob en het Geheim van Professor Lupardi","A-Film","$344,143","11/29"
"A Mighty Heart","UPI","$334,572","9/20"
"The Illusionist","Indep.","$313,144","1/4"
"Notes on a Scandal","Fox","$301,709","2/22"
"Le Scaphandre et le papillon (The Diving Bell and the Butterfly)","A-Film","$300,046","9/13"
"Curse of the Golden Flower (Man cheng jin dai huang jin jia)","RCV 2001","$278,276","3/29"
"Lions for Lambs","Fox","$269,522","11/8"
"30 Days of Night","Benelux","$265,608","11/8"
"It's a Boy Girl Thing","RCV 2001","$261,818","4/5"
"Little Children","A-Film","$259,400","1/25"
"License to Wed","WB","$258,708","8/16"
"Because I Said So","Paradiso","$255,243","8/23"
"Blades of Glory","UPI","$247,412","5/10"
"The Messengers","Benelux","$243,110","5/31"
"Azul oscuro, casi negro (DarkBlueAlmostBlack)","A-Film","$234,327","5/17"
"Run Fat Boy Run","RCV 2001","$228,798","12/13"
"Sunshine","Fox","$218,767","4/19"
"Meet the Robinsons","BVI","$216,036","10/11"
"Bridge to Terabithia","RCV 2001","$208,517","4/26"
"Resident Evil: Extinction","RCV 2001","$207,034","11/15"
"Bordertown","Indep.","$197,651","8/30"
"The Last Legion","Benelux","$193,600","8/2"
"Wedding Daze","RCV 2001","$191,137","9/6"
"Grindhouse: Planet Terror","A-Film","$181,540","8/16"
"Goud (2007)","A-Film","$172,529","10/4"
"WAR","RCV 2001","$171,678","11/1"
