" Movie Title"," Gross"
"Gooische vrouwen","$21,517,364"
"Harry Potter and the Deathly Hallows (Part Two)","$17,236,734"
"Pirates of the Caribbean: On Stranger Tides (3D)","$14,567,517"
"Nova zembla","$10,206,180"
"The Smurfs","$10,132,426"
"The Hangover Part II","$8,684,316"
"Rio","$6,112,846"
"Cars 2","$6,037,506"
"Alvin and the Chipmunks: Chipwrecked","$5,790,297"
"Transformers 3","$5,680,965"
"Kung Fu Panda 2","$5,392,086"
"The King's Speech","$5,243,043"
"Puss in Boots","$5,203,581"
"New Kids Nitro","$5,106,823"
"Fast Five","$4,890,675"
"The Adventures of Tintin","$4,787,909"
"Sonny Boy","$4,581,706"
"Johnny English Reborn","$4,502,430"
"Mission: Impossible - Ghost Protocol","$4,448,027"
"Bad Teacher","$4,376,561"
"The Twilight Saga: Breaking Dawn Part 1","$4,333,454"
"New Year's Eve","$4,297,185"
"Sherlock Holmes: A Game of Shadows","$3,948,440"
"Black Swan","$3,870,206"
"De Heineken ontvoering","$3,487,309"
"Yogi Bear","$3,169,356"
"All Stars 2: Old Stars","$3,041,873"
"Rise of the Planet of the Apes","$2,915,255"
"Horrible Bosses","$2,871,240"
"The Tourist","$2,720,346"
"Bridesmaids","$2,636,881"
"Happy Feet Two","$2,459,531"
"Dolfje Weerwolfje","$2,455,173"
"The Lion King (in 3D)","$2,398,184"
"Love and Other Drugs","$2,382,141"
"Friends with Benefits","$2,180,227"
"No Strings Attached","$2,157,486"
"Crazy, Stupid, Love.","$2,156,144"
"The Three Musketeers (2011)","$1,970,432"
"Thor","$1,953,880"
"Bennie Stout","$1,915,540"
"X-Men: First Class","$1,892,336"
"I Am Number Four","$1,854,191"
"Immortals","$1,769,577"
"Tron Legacy","$1,753,829"
"Mr. Popper's Penguins","$1,737,562"
"Penny's Shadow","$1,696,199"
"Final Destination 5","$1,634,172"
"Captain America: The First Avenger","$1,632,726"
"Gulliver's Travels","$1,618,673"
"Super 8","$1,608,918"
"Limitless","$1,557,916"
"The Green Hornet","$1,556,157"
"Midnight in Paris","$1,530,495"
"Big Mommas: Like Father, Like Son","$1,520,573"
"Sinterklaas en het raadsel van 5 december","$1,510,504"
"Rango","$1,462,733"
"Just Go With It","$1,396,707"
"Paranormal Activity 3","$1,395,850"
"Mijn Opa de Bankrover (My Granpa, the Bankrobber)","$1,385,970"
"True Grit","$1,356,193"
"Body Language","$1,348,180"
"Gnomeo and Juliet","$1,294,447"
"The Help","$1,275,987"
"De Bende van Oss","$1,268,133"
"Razend","$1,267,946"
"Black Butterflies","$1,228,631"
"In Time","$1,212,578"
"Source Code","$1,195,467"
"The Tree of Life","$1,172,709"
"Monte Carlo","$1,105,357"
"Scream 4","$1,096,776"
"Drive Angry","$1,078,706"
"Unknown","$1,042,061"
"Alpha and Omega","$1,033,663"
"Saw 3D","$1,016,037"
"Tower Heist","$1,004,516"
"Cowboys & Aliens","$996,633"
"Hop","$979,031"
"Zookeeper","$973,184"
"Sucker Punch","$963,885"
"Mega Mindy en de Snoepbaron","$927,418"
"Insidious","$864,512"
"Tinker, Tailor, Soldier, Spy","$844,501"
"Colombiana","$815,478"
"Green Lantern","$811,861"
"Honey 2","$806,264"
"Alle tijd","$805,907"
"Hall Pass","$803,758"
"Biutiful","$790,782"
"Pina","$753,438"
"Season of the Witch","$732,446"
"Pizza Maffia","$705,082"
"Contagion","$667,251"
"The Adjustment Bureau","$644,874"
"Real Steel","$637,494"
"Blitz","$634,470"
"Justin Bieber: Never Say Never","$620,895"
"Carnage (2011)","$617,212"
"Something Borrowed","$610,511"
"Melancholia","$610,057"
"Abduction","$606,148"
"Water for Elephants","$603,683"
"Drive (2011)","$600,151"
"Battle: Los Angeles","$590,600"
"The Dilemma","$585,055"
"Killer Elite","$574,447"
"The Change-Up","$539,605"
"Winnie the Pooh","$528,541"
"President (2011)","$516,423"
"Rabat","$498,636"
"The Artist","$490,315"
"Conan the Barbarian (2011)","$488,667"
"The Rite","$487,735"
"Larry Crowne","$463,334"
"The Rum Diary","$455,593"
"127 Hours","$448,219"
"The Mechanic","$443,049"
"Arthur (2011)","$441,069"
"I Don't Know How She Does It","$437,623"
"Konferenz der Tiere (Animals United)","$431,847"
"Arthur Christmas","$429,514"
"The Way Back","$423,345"
"The Devil's Double","$412,553"
"Morning Glory","$400,935"
"Patatje Oorlog","$398,821"
"Flypaper","$378,762"
"What's Your Number?","$378,461"
"The Lincoln Lawyer","$378,424"
"Shark Night 3D","$378,352"
"The Fighter","$367,349"
"Jodaeiye Nader az Simin (A Seperation)","$342,085"
"Red Riding Hood","$340,524"
"Paul","$337,821"
"Glee The 3D Concert Movie","$332,101"
"We Need to Talk About Kevin","$329,975"
"Somewhere","$317,822"
"Chalet Girl","$316,496"
"Hexe Lilli: Die Reise nach Mandolan","$302,506"
"Fright Night (2011)","$294,396"
"Mijn Vader is een Detective: De Wet van 3","$286,807"
"Les femmes du 6ème étage","$279,754"
"Spy Kids: All the Time in the World","$275,355"
"Don't Be Afraid of the Dark","$272,862"
"The Skin I Live In","$272,735"
"Tous les soleils","$268,504"
"One Day","$266,906"
"Sanctum (3D)","$239,758"
"50/50","$224,078"
"Le gamin au vélo","$223,231"
"The Ides of March","$209,620"
"The Eagle","$207,698"
"Noruwei no mori (Norwegian Wood)","$194,767"
"One Life","$189,214"
"Dream House","$181,196"
"Footloose (2011)","$179,016"
"Rien à déclarer (Nothing to Declare)","$164,789"
"Never Let Me Go","$163,339"
"13","$158,519"
"Warrior","$153,589"
"Tucker & Dale vs Evil","$147,077"
"Apollo 18","$144,058"
"Trust (2011)","$144,051"
"Hereafter","$136,290"
"London Boulevard","$135,763"
"Isabelle","$134,730"
"The Trip (2011)","$124,804"
"Jane Eyre (2011)","$124,066"
"Mine vaganti (Loose Cannons)","$118,544"
"Hævnen (In a Better World)","$115,862"
"The Debt","$113,840"
"Moneyball","$104,462"
"Arthur et la guerre des deux mondes","$101,439"
"Phantom of the Opera (25th Anniversary)","$96,684"
"Hysteria","$94,607"
"The Resident","$87,782"
"Blue Valentine","$86,615"
"The Beaver","$81,619"
"Incendies","$80,604"
"Skyline","$77,099"
"Margin Call","$75,458"
"El Bulli: Cooking in Progress","$63,790"
"Hoodwinked 2","$62,052"
"The Thing (2011)","$58,862"
"Beginners","$55,166"
