" Movie Title"," Distributor"," Gross"," Release"
"Transformers","PPI","$5,410,155","6/28"
"Shrek the Third","PPI","$5,391,262","6/7"
"Harry Potter and the Order of the Phoenix","WB","$4,753,514","7/12"
"Pirates of the Caribbean: At World's End","BVI","$4,714,947","5/24"
"The Simpsons Movie","Fox","$3,306,983","7/26"
"Spider-Man 3","Sony","$2,759,554","5/3"
"The Bourne Ultimatum","PPI","$2,559,711","8/23"
"Mr. Bean's Holiday","PPI","$2,353,233","3/29"
"Ratatouille","Disney","$2,294,439","9/6"
"Hairspray (2007)","Roadshow","$1,991,518","9/13"
"300","WB","$1,848,409","4/5"
"The Golden Compass","Roadshow","$1,791,251","12/26"
"Amazing Grace","Rialto","$1,667,980","7/18"
"National Treasure: Book of Secrets","Disney","$1,627,339","12/26"
"Wild Hogs","BVI","$1,553,813","3/8"
"Stomp the Yard","Sony","$1,468,746","4/5"
"Live Free or Die Hard","Fox","$1,432,389","8/9"
"Fantastic Four: Rise of the Silver
Surfer","Fox","$1,420,435","6/21"
"Ocean's Thirteen","Roadshow","$1,396,154","6/14"
"Bee Movie","PPI","$1,393,248","12/6"
"Miss Potter","Hoyts","$1,391,383","3/15"
"Rush Hour 3","Roadshow","$1,349,701","9/27"
"Atonement","PPI","$1,283,548","10/18"
"Knocked Up","PPI","$1,260,230","7/19"
"Enchanted","Disney","$1,221,466","12/20"
"The Pursuit of Happyness","Sony","$1,132,605","1/25"
"Blood Diamond","WB","$1,114,715","1/18"
"Blades of Glory","PPI","$1,079,586","6/21"
"Beowulf","WB","$1,073,011","11/29"
"Meet the Robinsons","BVI","$1,065,436","4/5"
"Bridge to Terabithia","BVI","$1,050,056","6/14"
"Open Season","Sony","$1,010,459","1/11"
"Surf's Up","Sony","$931,440","9/20"
"Das Leben der Anderen (The Lives of Others)","Hopscotch","$881,733","5/31"
"Music and Lyrics","Roadshow","$880,597","2/14"
"Evan Almighty","PPI","$837,170","9/13"
"La Môme (La Vie en Rose)","Hoyts","$799,349","10/4"
"Hot Fuzz","PPI","$788,581","3/15"
"Ghost Rider","Sony","$779,608","3/22"
"The History Boys","Fox","$777,864","1/25"
"Becoming Jane","Dendy","$772,234","5/10"
"Epic Movie","Fox","$758,214","1/25"
"Hitman","Fox","$742,990","12/6"
"Eagle Vs. Shark","Hoyts","$733,972","8/16"
"Superbad","Sony","$716,753","9/13"
"Notes on a Scandal","Fox","$696,197","2/22"
"The Game Plan","Disney","$686,519","11/1"
"Apocalypto","Hoyts","$685,661","1/11"
"Elizabeth: The Golden Age","PPI","$680,288","11/15"
