" Movie Title"," Gross"
"Mamma Mia!","$5,528,020"
"The Dark Knight","$4,624,100"
"Indiana Jones and the Kingdom of the Crystal Skull","$3,873,372"
"Kung Fu Panda","$3,451,373"
"Quantum of Solace","$3,015,992"
"Hancock","$2,956,184"
"I Am Legend","$2,835,531"
"Iron Man","$2,731,097"
"Twilight","$2,712,257"
"Sex and the City","$2,649,894"
"Death at a Funeral","$2,632,381"
"Alvin and the Chipmunks","$2,353,673"
"The Chronicles of Narnia: Prince Caspian","$2,195,943"
"Madagascar: Escape 2 Africa","$2,027,647"
"Wall-E","$1,888,590"
"Dr. Seuss' Horton Hears a Who!","$1,809,758"
"Get Smart","$1,559,795"
"Juno","$1,460,712"
"Step Up 2 the Streets","$1,447,792"
"The Bucket List","$1,348,550"
"Jumper","$1,332,527"
"Australia","$1,328,183"
"Second Hand Wedding","$1,306,250"
"High School Musical 3: Senior Year","$1,273,499"
"You Don't Mess with the Zohan","$1,115,998"
"27 Dresses","$1,091,250"
"10,000 B.C.","$1,068,677"
"The Curious Case of Benjamin Button","$1,063,151"
"The Spiderwick Chronicles","$1,025,914"
"Journey to the Center of the Earth","$1,019,785"
"The Mummy: Tomb of the Dragon Emperor","$911,763"
"What Happens in Vegas","$898,314"
"The Incredible Hulk","$873,577"
"Wanted","$868,686"
"Meet the Spartans","$858,782"
"Bedtime Stories","$851,958"
"American Gangster","$818,653"
"Nim's Island","$809,726"
"No Country for Old Men","$793,279"
"Sweeney Todd: The Demon Barber of Fleet Street","$762,725"
"Tropic Thunder","$745,451"
"Cloverfield","$689,523"
"The Water Horse: Legend of the Deep","$688,777"
"Young@Heart","$678,234"
"Eagle Eye","$665,104"
"21","$649,426"
"Run Fat Boy Run","$632,562"
"Hellboy II: The Golden Army","$612,361"
"Taken","$611,583"
"Step Brothers","$602,031"
"Made of Honor","$550,172"
"Semi-Pro","$542,335"
"Alien vs. Predator - Requiem","$531,122"
"Definitely, Maybe","$528,504"
"The Day the Earth Stood Still (2008)","$525,567"
"Superhero Movie","$521,813"
"The Painted Veil","$510,782"
"Lars and the Real Girl","$496,363"
"Street Kings","$493,891"
"The Other Boleyn Girl","$493,128"
"Vantage Point","$466,824"
"Pineapple Express","$463,363"
"Vicky Cristina Barcelona","$457,680"
"The House Bunny","$454,274"
"Beverly Hills Chihuahua","$448,108"
"Miss Pettigrew Lives for a Day","$437,833"
"2 Days in Paris","$434,413"
"Then She Found Me","$431,980"
"St. Trinian's","$426,771"
"Burn After Reading","$421,442"
"The Duchess","$420,892"
"Babylon A.D.","$417,498"
"Four Christmases","$410,002"
"Earth (2007)","$408,412"
"Rambo","$404,766"
"P.S. I Love You","$404,108"
"The Love Guru","$397,046"
"Body of Lies","$390,584"
"In Bruges","$385,332"
"Space Chimps","$382,189"
"The Bank Job","$378,028"
"Max Payne","$375,752"
"Fool's Gold","$356,776"
"There Will Be Blood","$352,416"
"3:10 to Yuma (2007)","$350,931"
"The Forbidden Kingdom","$340,966"
"Star Wars: The Clone Wars","$338,788"
"Never Back Down","$337,430"
"Meet Dave","$332,243"
"The Happening","$331,909"
"Ghost Town","$330,122"
"Michael Clayton","$311,168"
"How She Move","$309,735"
"Saw IV","$300,025"
"Happy-Go-Lucky","$293,681"
"Rogue","$288,891"
"Le Scaphandre et le papillon (The Diving Bell and the Butterfly)","$284,061"
"Speed Racer","$283,065"
"Drillbit Taylor","$280,116"
"Grow Your Own","$278,201"
"Charlie Wilson's War","$277,434"
"Forgetting Sarah Marshall","$276,066"
"Nights in Rodanthe","$273,443"
"RockNRolla","$259,517"
"Shine a Light","$259,054"
"Prom Night (2008)","$256,505"
"Wild Child","$245,063"
"The X-Files: I Want to Believe","$237,298"
"The Visitor","$235,790"
"Death Race","$231,705"
"Brideshead Revisited","$226,590"
"Die Fälscher (The Counterfeiters)","$224,806"
"College Road Trip","$223,199"
"Gone Baby Gone","$220,914"
"The Jane Austen Book Club","$220,293"
"30 Days of Night","$219,846"
"Mongol","$212,788"
"Rain of the Children","$198,175"
"How to Lose Friends and Alienate People","$196,038"
"The Eye","$194,099"
"Love in the Time of Cholera","$192,763"
"Shutter","$191,143"
"I'm Not There","$188,151"
"Saw V","$187,614"
"The Edge of Love","$172,400"
"The Children of Huang Shi","$167,276"
"Brick Lane","$162,296"
"Apron Strings","$161,351"
"How About You","$157,504"
"My Best Friend's Girl","$157,363"
"Untraceable","$157,084"
"Efter brylluppet (After the Wedding)","$152,779"
"Walk Hard: The Dewey Cox Story","$152,317"
"4","$151,980"
"Quarantine","$150,977"
"Angus, Thongs and Perfect Snogging","$147,927"
"Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour","$142,442"
"Dan in Real Life","$138,843"
"U2 3D","$133,449"
"Bikur Ha-Tizmoret (The Band's Visit)","$133,100"
"Before the Devil Knows You're Dead","$130,047"
"Ensemble, c'est tout (Hunting and Gathering)","$129,800"
"Auf der anderen Seite (Yasamin kiyisinda) (The Edge of Heaven)","$127,178"
"Sydney White","$126,659"
"Obsluhoval jsem anglického krále (I Served the King of England)","$118,221"
"In the Shadow of the Moon","$115,902"
"Mirrors","$115,055"
"We Own the Night","$114,947"
"Closing the Ring","$114,667"
"Married Life","$114,466"
"Frost/Nixon","$111,501"
"Paris (2008)","$106,556"
"In the Valley of Elah","$98,960"
"Si jie (Lust, Caution)","$89,244"
"And When Did You Last See Your Father?","$87,789"
"Traitor","$86,320"
"Baby Mama","$84,562"
"Good Bye Bafana","$79,716"
"Up the Yangtze","$78,301"
"Prag","$78,002"
"The Strangers","$77,950"
"Singh Is Kinng","$73,513"
"Bonneville","$70,390"
"Ghajini","$64,844"
"Rescue Dawn","$61,958"
"Molière (2007)","$61,188"
"Jodhaa Akbar","$60,857"
"The Rocket Post","$58,112"
"Smart People","$57,060"
"Sukkar banat (Caramel)","$56,766"
"Outsourced","$54,058"
"Mama's Boy","$51,828"
