" Movie Title",," Gross"," Release"
"Quantum of Solace",,"$283,462","11/7"
"Hancock",,"$187,303","7/2"
"Vantage Point",,"$88,672","3/28"
"National Treasure: Book of Secrets",,"$78,254","1/4"
"10,000 B.C.",,"$63,740","3/21"
"Made of Honor",,"$57,307","5/2"
"The Game Plan",,"$51,857","3/21"
"The Dark Knight",,"$50,134","7/25"
"Iron Man",,"$49,724","5/9"
"The Forbidden Kingdom",,"$49,102","5/23"
"You Don't Mess with the Zohan",,"$48,541","8/1"
"What Happens in Vegas",,"$48,534","5/9"
"Jumper",,"$48,103","2/29"
"Wanted",,"$47,557","7/18"
"21",,"$44,106","4/18"
"Taken",,"$43,339","9/19"
"The Water Horse: Legend of the Deep",,"$42,655","3/7"
"High School Musical 3: Senior Year",,"$41,477","11/21"
"Indiana Jones and the Kingdom of the Crystal Skull",,"$41,357","5/30"
"Lakeview Terrace",,"$41,177","10/31"
"Kung Fu Panda",,"$40,511","7/4"
"Prom Night (2008)",,"$35,648","6/20"
"Mad Money",,"$33,859","4/18"
"27 Dresses",,"$33,667","2/1"
"Sex and the City",,"$32,828","5/30"
"Body of Lies",,"$32,062","11/28"
"The Mummy: Tomb of the Dragon Emperor",,"$30,821","8/15"
"Street Kings",,"$29,906","4/18"
"Eagle Eye",,"$29,862","10/24"
"First Sunday",,"$28,771","4/25"
"Bedtime Stories",,"$28,140","12/26"
"The Incredible Hulk",,"$27,915","6/20"
"Step Up 2 the Streets",,"$27,258","3/14"
"Get Smart",,"$26,485","8/15"
"The House Bunny",,"$26,215","10/10"
"The Day the Earth Stood Still (2008)",,"$24,547","12/19"
"Dr. Seuss' Horton Hears a Who!",,"$22,988","3/28"
"Yes Man",,"$22,243","12/31"
"The Chronicles of Narnia: Prince Caspian",,"$22,088","6/27"
"How She Move",,"$20,990","8/29"
"Step Brothers",,"$20,899","9/12"
"Righteous Kill",,"$20,071","10/24"
"Mamma Mia!",,"$20,036","9/5"
"Quarantine",,"$19,318","11/21"
"Max Payne",,"$19,265","10/17"
"Fool's Gold",,"$19,144","4/11"
"Nim's Island",,"$19,021","4/25"
"Pineapple Express",,"$18,845","10/24"
"Australia",,"$18,040","12/26"
"Gone Baby Gone",,"$17,204","1/11"
"Meet Dave",,"$16,889","7/11"
"Babylon A.D.",,"$16,490","9/5"
"Meet the Spartans",,"$15,801","2/8"
"Journey to the Center of the Earth",,"$15,174","7/18"
"Death Race",,"$15,152","11/10"
"Speed Racer",,"$14,862","6/20"
"88 Minutes",,"$14,256","5/9"
"The Bank Job",,"$13,699","4/25"
"Madagascar: Escape 2 Africa",,"$13,566","12/5"
"The Bucket List",,"$13,164","3/7"
"The Happening",,"$12,822","6/13"
"Deception (2008)",,"$12,806","6/6"
"Michael Clayton",,"$11,344","2/22"
"Singh Is Kinng",,"$11,189","8/8"
"Star Wars: The Clone Wars",,"$11,004","10/10"
"Definitely, Maybe",,"$10,324","6/13"
"My Best Friend's Girl",,"$10,065","10/3"
"Ghajini",,"$9,966","12/26"
"P.S. I Love You",,"$9,555","2/15"
"Sydney White",,"$9,540","2/29"
"We Own the Night",,"$9,432","1/11"
"The Spiderwick Chronicles",,"$8,684","3/28"
"Rambo",,"$8,453","4/4"
"Wall-E",,"$7,971","8/8"
"The X-Files: I Want to Believe",,"$7,719","8/1"
"Alien vs. Predator - Requiem",,"$7,568","1/4"
"Forgetting Sarah Marshall",,"$7,074","6/27"
"Cloverfield",,"$7,006","2/8"
"Mirrors",,"$6,961","9/5"
"Juno",,"$6,586","3/14"
"Hellboy II: The Golden Army",,"$6,526","9/26"
"Beverly Hills Chihuahua",,"$6,223","12/19"
"Charlie Wilson's War",,"$6,099","3/14"
"No Country for Old Men",,"$5,545","4/4"
"Untraceable",,"$5,385","5/2"
"Atonement",,"$5,159","2/29"
"Elizabeth: The Golden Age",,"$5,063","1/25"
"Gwoemul (The Host)",,"$4,893","3/21"
"Gracie",,"$4,267","1/4"
"Golmaal Returns",,"$3,008","10/31"
"Sweeney Todd: The Demon Barber of Fleet Street",,"$2,274","2/1"
"The Rocker",,"$1,590","8/22"
"D-War (Dragon Wars)",,"$707","7/25"
