" Movie Title"," Gross"
"Salt","$346,427"
"Takers","$201,451"
"Ijé","$199,954"
"Faster","$193,227"
"Clash of the Titans (2010)","$185,481"
"Prince of Persia: The Sands of Time","$157,050"
"The Karate Kid","$121,306"
"Anchor Baby","$120,176"
"The Sorcerer's Apprentice","$114,873"
"Inception","$106,682"
"Death at a Funeral (2010)","$100,553"
"The Other Guys","$100,085"
"The Back-Up Plan","$95,701"
"The Bounty Hunter","$95,288"
"Sex and the City 2","$94,784"
"Grown Ups","$92,538"
"Percy Jackson & The Olympians: The Lightning Thief","$65,737"
"The Social Network","$64,685"
"Knight & Day","$64,248"
"Eat Pray Love","$64,210"
"The Town","$62,677"
"Harry Potter and the Deathly Hallows (Part One)","$62,336"
"Valentine's Day","$61,935"
"Iron Man 2","$59,572"
"Date Night","$59,555"
"Unstoppable","$58,892"
"Machete","$57,775"
"Tooth Fairy","$57,501"
"Armored","$57,049"
"Did You Hear About the Morgans?","$55,489"
"The Last Airbender","$52,167"
"Step Up 3-D","$48,048"
"The Twilight Saga: Eclipse","$47,663"
"Law Abiding Citizen","$46,821"
"Shrek Forever After","$46,281"
"Cats & Dogs: Revenge of Kitty Galore","$44,893"
"The Wolfman","$43,451"
"Legion (2010)","$43,057"
"Due Date","$41,852"
"The A-Team","$40,703"
"Toy Story 3","$40,518"
"Robin Hood","$40,286"
"Alice in Wonderland (2010)","$38,106"
"Little Fockers","$37,395"
"The Losers","$37,163"
"Shutter Island","$34,485"
"It's Complicated","$32,684"
"When in Rome","$32,593"
"How to Train Your Dragon","$32,008"
"Cop Out","$30,234"
"My Name is Khan","$29,939"
"The Blind Side","$26,977"
"Nanny McPhee and The Big Bang","$26,023"
"Despicable Me","$25,717"
"Our Family Wedding","$25,677"
"Wall Street: Money Never Sleeps","$25,282"
"Predators","$21,179"
"Tron Legacy","$20,068"
"Tangled","$19,890"
"Leap Year","$18,521"
"She's Out of My League","$17,641"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$16,739"
"Green Zone","$14,914"
"Invictus","$14,430"
"House Full","$12,686"
"Marmaduke","$12,295"
"Up in the Air","$11,846"
"Charlie St. Cloud","$11,292"
"Pandorum","$11,213"
"Kites","$9,303"
"Anjaana Anjaani","$9,175"
"The Expendables","$8,611"
"Vampires Suck","$8,582"
"Golmaal 3","$8,398"
"Everybody's Fine","$7,475"
"The Lovely Bones","$4,922"
"Paranormal Activity","$4,757"
"Cairo Time","$3,207"
"Veer (2010)","$3,185"
"Chance Pe Dance","$2,667"
"An Education","$2,550"
"The Last Song","$2,450"
"Bad Lieutenant: Port of Call New Orleans","$1,970"
"London Dreams","$1,161"
"Lymelife","$218"
