" Movie Title"," Gross"
"Pirates of the Caribbean: At World's End","$8,012,130"
"Harry Potter and the Order of the Phoenix","$7,868,228"
"Shrek the Third","$5,693,741"
"The Simpsons Movie","$5,189,830"
"Ratatouille","$4,804,376"
"Live Free or Die Hard","$4,171,925"
"Bee Movie","$3,674,970"
"Spider-Man 3","$3,621,687"
"The Golden Compass","$3,554,864"
"Olsenbanden Jr. Og Solvgruvens Hemmelighet","$3,130,306"
"The Bourne Ultimatum","$3,014,416"
"I Am Legend","$2,988,309"
"Mr. Bean's Holiday","$2,885,725"
"Arn - Tempelriddaren","$2,687,184"
"Switch (2007)","$2,599,921"
"Elias og kongeskipet","$2,534,319"
"Transformers","$2,509,124"
"Ocean's Thirteen","$2,427,178"
"Tatt av kvinnen","$2,276,564"
"300","$2,246,901"
"Enchanted","$2,188,485"
"Blood Diamond","$2,176,385"
"American Gangster","$1,896,538"
"Mars & Venus","$1,616,880"
"Rush Hour 3","$1,550,307"
"Night at the Museum","$1,508,586"
"Varg Veum - Bitre blomster","$1,468,571"
"Svein og Rotta og UFO-mysteriet","$1,458,686"
"Music and Lyrics","$1,324,628"
"Surf's Up","$1,274,888"
"La Môme (La Vie en Rose)","$1,130,927"
"Kill Buljo: The Movie","$1,098,618"
"Knocked Up","$1,030,984"
"The Last King of Scotland","$1,029,330"
"Wild Hogs","$1,012,367"
"Meet the Robinsons","$1,000,190"
"Beowulf","$976,850"
"Hairspray (2007)","$930,824"
"I Now Pronounce You Chuck and Larry","$847,916"
"Superbad","$843,435"
"Rocky Balboa","$826,988"
"Ghost Rider","$797,174"
"Zodiac","$762,021"
"Fantastic Four: Rise of the Silver Surfer","$676,886"
"Hot Fuzz","$675,111"
"Barnyard: The Original Party Animals","$639,977"
"Shooter","$621,379"
"Titanics ti liv","$606,843"
"Blodsbånd (Mirush)","$593,263"
"Michael Clayton","$520,406"
"Apocalypto","$494,257"
"Stardust","$491,381"
"John Tucker Must Die","$490,890"
"The Ugly Duckling and Me!","$490,661"
"O'Horten","$480,991"
"The Kingdom","$478,282"
"Radiopriatene","$446,643"
"Notes on a Scandal","$438,070"
"Epic Movie","$435,704"
"Sunshine","$434,977"
"Elizabeth: The Golden Age","$427,252"
"Arthur et les Minimoys (Arthur and the Invisibles)","$416,526"
"Jenter","$408,470"
"Perfect Stranger","$399,447"
"Charlotte's Web","$396,613"
"We Own the Night","$392,651"
"Grindhouse: Death Proof","$391,037"
"TMNT","$383,179"
"Marie Antoinette","$370,779"
"Lions for Lambs","$360,817"
"Perfume - The Story of a Murderer","$360,082"
"The Heartbreak Kid","$353,917"
"Nancy Drew","$352,436"
"Bridge to Terabithia","$346,011"
"The Pursuit of Happyness","$345,107"
"Dreamgirls","$342,793"
"El Laberinto del Fauno (Pan's Labyrinth)","$335,592"
"Du levande (You, the Living)","$333,517"
"Evan Almighty","$329,083"
"Saw IV","$316,422"
"Blades of Glory","$310,598"
"Sicko","$302,739"
"The Number 23","$293,409"
"Ensemble, c'est tout (Hunting and Gathering)","$288,987"
"Shark Bait (a.k.a. The Reef)","$278,008"
"1408","$268,877"
"Eastern Promises","$264,977"
"Across the Universe","$257,912"
"The Assassination of Jesse James by the Coward Robert Ford","$253,123"
"Tonari no Totoro (My Neighbor Totoro)","$234,347"
"The Good Shepherd","$234,078"
"Good Bye Bafana","$225,962"
"Nuovomondo (The Golden Door)","$222,965"
"The Darjeeling Limited","$218,390"
"2 Days in Paris","$212,929"
"Shoot 'Em Up","$211,583"
"Smokin' Aces","$208,479"
"Andre omgang","$204,793"
"Becoming Jane","$199,277"
"5 løgner","$198,380"
"Next","$198,058"
"Direktøren for det hele (Boss of It All)","$195,999"
"Disturbia","$194,778"
"This Is England","$189,699"
"Black Sheep (2007)","$189,576"
"Hannibal Rising","$181,381"
"Fracture","$180,808"
"The Brave One","$180,675"
"No Reservations","$173,022"
"Azul oscuro, casi negro (DarkBlueAlmostBlack)","$167,052"
"The Prestige","$163,090"
"Norbit","$162,798"
"Heidi (2005, Germany)","$160,174"
"Grindhouse: Planet Terror","$151,381"
"Leiutajateküla Lotte","$147,726"
"4 luni, 3 saptamâni si 2 zile (4 Months, 3 Weeks, 2 Days)","$145,454"
"Resident Evil: Extinction","$140,912"
"Prag","$139,656"
"Mr. Brooks","$133,727"
"Majo no takkyûbin (Kiki's Delivery Service)","$125,504"
"Letters from Iwo Jima","$125,305"
"Curse of the Golden Flower (Man cheng jin dai huang jin jia)","$122,442"
"Die Fälscher (The Counterfeiters)","$107,862"
"Supervoksen","$106,873"
"Farväl Falkenberg","$105,672"
"Lady Chatterley","$105,056"
"A Mighty Heart","$104,307"
"Alpha Dog","$100,706"
"Venus","$99,723"
"Halloween (2007)","$91,119"
"The Reaping","$89,630"
"The Hitcher (2007)","$89,451"
"The Nanny Diaries","$88,554"
"Persepolis","$84,436"
"The Invasion","$80,547"
"30 Days of Night","$78,978"
"The Painted Veil","$78,438"
"WAR","$71,671"
"Vikaren (The Substitute)","$70,311"
"Control (2007)","$70,158"
"28 Weeks Later","$69,710"
"Göta kanal 2 - kanalkampen","$63,970"
"A Guide to Recognizing Your Saints","$62,338"
"Death at a Funeral","$62,178"
"Waitress","$58,773"
"Breach","$51,601"
"Mýrin (Jar City)","$46,981"
"Sleuth (2007)","$45,149"
"Dialogue avec mon jardinier","$44,623"
"Goya's Ghosts","$40,474"
"Irina Palm","$40,166"
"Gwoemul (The Host)","$39,621"
"Linas kvällsbok","$33,933"
"The Covenant","$33,026"
"Vinterland","$31,959"
"Black Snake Moan","$29,949"
"The Fountain","$29,371"
"Away from Her","$28,864"
"Säg att du älskar mig","$26,819"
"Freedom Writers","$26,605"
"Bobby","$24,637"
"License to Wed","$23,510"
"Kunsten at græde i kor (The Art of Crying)","$23,182"
"Interview","$22,597"
"Starter for 10","$20,874"
"The Messengers","$20,819"
"Little Children","$19,637"
"The Hoax","$19,144"
"WWW: What a Wonderful World","$18,554"
"Inland Empire","$18,454"
"Premonition","$18,392"
"My Blueberry Nights","$18,277"
"The Good German","$17,294"
"Breaking and Entering","$16,976"
"Edvard Munch (Re-issue)","$16,705"
"Tempelriddernes skat II","$16,251"
"Uomo donna caffe","$14,784"
"Reno 911!: Miami","$14,739"
"The Best Man (2005)","$13,775"
"Mein Führer - Die wirklich wahrste Wahrheit über Adolf Hitler","$12,933"
"Water","$12,892"
"Hot Rod","$11,329"
"Dnevnoy dozor (Day Watch)","$10,914"
"Gedo senki (Tales from Earthsea)","$10,637"
"Anche libero va bene","$9,062"
"The Last Mimzy","$7,525"
"The Lookout","$7,475"
"Severance","$7,018"
"Catch and Release","$6,680"
"La Sconosciuta (The Unknown Woman)","$4,681"
"Razzle Dazzle: A Journey Into Dance","$4,468"
"Miss Potter","$4,287"
"Odgrobadogroba","$3,893"
"De Fortabte sjæles ø","$2,434"
"Manufacturing Dissent","$1,932"
"Dean Spanley","$1,466"
"Manufactured Landscapes","$902"
"Air Guitar Nation","$509"
