" Movie Title"," Distributor"," Gross"," Release"
"Harry Potter and the Deathly Hallows (Part Two)","Svensk","$11,261,743","7/13"
"Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$9,943,639","5/18"
"Hodejegerne (Headhunters)","Nordisk","$8,877,056","8/26"
"Cars 2","Disney","$5,762,653","8/5"
"The Hangover Part II","WB","$4,736,307","5/27"
"Kung Fu Panda 2","UIP","$4,381,247","6/17"
"The Twilight Saga: Breaking Dawn Part 1","Nordisk","$4,290,393","11/18"
"Tangled","Disney","$4,277,671","2/4"
"Transformers 3","n/a","$4,087,028","7/1"
"Blåfjell 2 - Jakten på det magiske horn","n/a","$4,011,189","11/18"
"Knerten i knipe","Scanbox","$3,918,260","9/23"
"The King's Speech","Svensk","$3,887,227","2/11"
"Fast Five","UIP","$3,838,206","5/4"
"The Smurfs","Sony","$3,819,919","9/2"
"Rio","Fox","$3,385,457","4/8"
"Sherlock Holmes: A Game of Shadows","WB","$2,974,269","12/26"
"Black Swan","Fox","$2,839,609","2/4"
"The Adventures of Tintin","Sony","$2,720,714","10/28"
"Kong Curling","n/a","$2,547,610","9/23"
"Alvin and the Chipmunks: Chipwrecked","Fox","$2,369,076","12/25"
"Jørgen + Anne = sant (Totally True Love)","Svensk","$2,165,681","2/25"
"Thor","UIP","$2,026,533","4/29"
"Johnny English Reborn","UIP","$1,967,463","9/30"
"True Grit","UIP","$1,889,049","2/18"
"Bad Teacher","Sony","$1,840,307","6/24"
"The Tourist","Sony","$1,776,649","1/7"
"Bridesmaids","UIP","$1,646,715","7/8"
"Få meg på, for faen","n/a","$1,596,817","8/19"
"The Girl with the Dragon Tattoo (2011)","Sony","$1,592,636","12/21"
"Captain America: The First Avenger","UIP","$1,413,442","8/12"
"X-Men: First Class","Fox","$1,407,237","6/3"
"Varg Veum - I mørket er alle ulver grå","Svensk","$1,365,236","11/4"
"Rango","UIP","$1,305,187","3/4"
"New Year's Eve","WB","$1,286,958","12/9"
"Sønner av Norge","n/a","$1,252,356","9/9"
"Midnight in Paris","Scanbox","$1,247,231","6/17"
"Babycall","Svensk","$1,213,425","10/7"
"Rise of the Planet of the Apes","Fox","$1,131,609","8/12"
"Jeg reiser alene (I Travel Alone)","Sandrew","$1,074,663","2/11"
"Happy Feet Two","WB","$1,067,523","12/2"
"Super 8","UIP","$1,059,898","7/29"
"Winnie the Pooh","Disney","$1,017,554","10/21"
"Gråtass får en ny venn","Sandrew","$985,392","2/18"
"The Help","Disney","$984,270","10/7"
"Yogi Bear","WB","$971,101","1/28"
"Oslo, August 31st","n/a","$970,181","8/31"
"Another Year","Svensk","$932,765","1/14"
"Water for Elephants","Fox","$923,515","4/15"
"Paranormal Activity 3","UIP","$919,418","10/21"
"Arthur Christmas","Sony","$919,317","12/9"
"Tomme tønner 2 - Det brune gullet","n/a","$895,057","1/7"
"Varg Veum - Dødens drabanter","Svensk","$886,719","4/8"
"Hop","UIP","$878,369","4/1"
"Arme Riddere","Nordisk","$864,222","12/2"
"Amors baller","Svensk","$857,995","3/25"
"Varg Veum - Svarte får","Svensk","$852,921","1/21"
"Drive (2011)","Svensk","$834,383","10/21"
"Justin Bieber: Never Say Never","UIP","$803,508","3/23"
"Friends with Benefits","Sony","$799,948","9/23"
"Red Riding Hood","WB","$740,103","4/1"
"Gulliver's Travels","Fox","$739,651","2/18"
"The Three Musketeers (2011)","Svensk","$736,778","10/14"
"Elle s'appelait Sarah","Svensk","$731,877","4/1"
"The Green Hornet","Sony","$729,365","1/21"
"I Am Number Four","Disney","$720,961","3/18"
"Spy Kids: All the Time in the World","Svensk","$708,103","9/30"
"Limitless","Nordisk","$689,844","6/10"
"Immortals","Nordisk","$678,171","11/25"
"Just Go With It","Sony","$676,740","2/25"
"Klovn: The Movie","Nordisk","$666,028","3/25"
"Cowboys & Aliens","UIP","$653,034","9/9"
"Mr. Popper's Penguins","Fox","$652,812","8/26"
"Green Lantern","Svensk","$650,373","8/5"
"Hjelp, vi er i filmbransjen!","n/a","$643,805","7/22"
"Horrible Bosses","Svensk","$635,090","7/22"
"Love and Other Drugs","Fox","$592,053","1/21"
"Scream 4","Scanbox","$581,383","4/20"
"Conan the Barbarian (2011)","n/a","$572,886","8/19"
"127 Hours","Fox","$562,937","2/11"
"Tower Heist","UIP","$509,061","11/11"
"Burlesque","Sony","$502,570","1/28"
"In Time","Fox","$469,870","11/4"
"Hjelp, vi er russ","n/a","$458,344","4/15"
"The Thing (2011)","UIP","$450,587","10/28"
"The Fighter","Nordisk","$441,612","2/11"
"Real Steel","Disney","$438,865","11/25"
"The Tree of Life","Svensk","$431,970","9/2"
"Winter's Bone","Arthouse","$431,059","1/28"
"Battle: Los Angeles","Sony","$417,294","4/8"
"Änglagård - Tredje gången gillt","Svensk","$413,604","3/11"
"Contagion","WB","$404,493","10/28"
"Abduction","Nordisk","$399,721","10/7"
"No Strings Attached","UIP","$398,554","3/18"
"Unknown","WB","$391,403","4/29"
"Source Code","Sandrew","$389,777","5/20"
"Melancholia","Nordisk","$375,853","5/27"
"Jane Eyre (2011)","Svensk","$358,253","6/24"
"Crazy, Stupid, Love.","Svensk","$351,746","9/30"
"Til siste hinder","Sandrew","$351,149","8/26"
"A Dangerous Method","Scanbox","$348,135","12/2"
" Movie Title"," Distributor"," Gross"," Release"
"Gnomeo and Juliet","Disney","$344,356","3/11"
"Hysteria","Scanbox","$340,696","12/25"
"The Adjustment Bureau","UIP","$337,966","3/25"
"Sucker Punch","WB","$333,719","4/15"
"Hereafter","Sandrew","$311,353","1/14"
"Certified Copy","n/a","$265,717","12/25"
"Jägarna 2 (False Trail)","Svensk","$258,366","9/16"
"The Rum Diary","Svensk","$256,830","11/25"
"Footloose (2011)","UIP","$250,715","10/28"
"Hanna","Sony","$237,434","7/8"
"Priest","Sony","$236,186","6/10"
"The Rite","WB","$234,977","3/11"
"Pina","Arthouse","$233,878","11/4"
"Colombiana","Scanbox","$225,879","9/9"
"Orla Frøsnapper","Svensk","$222,857","11/4"
"Jodaeiye Nader az Simin (A
Seperation)","Arthouse","$208,063","12/25"
"The Borrowers (Kari-gurashi no Arietti)","Arthouse","$207,892","12/25"
"Arthur et la guerre des deux mondes","Scanbox","$205,755","5/6"
"The Eagle","Nordisk","$203,584","4/15"
"Larry Crowne","Svensk","$193,280","8/19"
"Potiche","Scanbox","$192,299","5/13"
"What's Your Number?","Fox","$191,655","10/21"
"Easy A","Sony","$191,531","1/14"
"Le gamin au vélo","Arthouse","$185,579","8/5"
"One Day","Svensk","$178,962","11/11"
"Paul","UIP","$177,119","6/10"
"The Lincoln Lawyer","n/a","$163,274","7/8"
"Killer Elite","Nordisk","$159,659","11/4"
"Alpha and Omega","Svensk","$154,599","3/18"
"Blue Valentine","Svensk","$151,655","4/15"
"Le Havre","Arthouse","$149,621","9/16"
"Den kæmpestore bjørn (The Great Bear)","n/a","$141,165","9/9"
"The Way Back","Scanbox","$138,887","3/25"
"The Mechanic","Nordisk","$137,338","5/13"
"Simon and the Oaks","Nordisk","$137,016","12/25"
