" Movie Title",," Gross"," Release"
"Kung Fu Panda",,"$2,379,754","7/3"
"Journey to the Center of the Earth",,"$2,062,545","8/28"
"Madagascar: Escape 2 Africa",,"$2,050,363","12/4"
"The Mummy: Tomb of the Dragon Emperor",,"$1,788,247","8/7"
"Iron Man",,"$1,521,193","4/30"
"The Dark Knight",,"$1,451,500","7/17"
"Wall-E",,"$1,378,842","7/24"
"Hancock",,"$1,375,850","7/10"
"The Chronicles of Narnia: Prince Caspian",,"$1,366,010","5/15"
"Indiana Jones and the Kingdom of the Crystal Skull",,"$1,335,577","5/22"
"The Incredible Hulk",,"$1,194,068","6/12"
"Bolt",,"$1,117,146","12/25"
"Speed Racer",,"$1,029,659","5/8"
"10,000 B.C.",,"$1,026,490","3/20"
"Get Smart",,"$974,729","6/19"
"The Day the Earth Stood Still (2008)",,"$937,067","12/11"
"I Am Legend",,"$794,459","1/1"
"Alvin and the Chipmunks",,"$783,503","1/1"
"The Happening",,"$727,625","6/12"
"High School Musical 3: Senior Year",,"$724,953","10/30"
"National Treasure: Book of Secrets",,"$662,892","1/10"
"The Water Horse: Legend of the Deep",,"$619,588","2/21"
"Sex and the City",,"$612,071","7/31"
"Dr. Seuss' Horton Hears a Who!",,"$606,909","3/13"
"Mamma Mia!",,"$603,061","10/16"
"Cloverfield",,"$592,758","1/31"
"Beverly Hills Chihuahua",,"$544,202","11/13"
"Quantum of Solace",,"$539,450","11/19"
"What Happens in Vegas",,"$511,823","6/5"
"El Orfanato (The Orphanage)",,"$503,678","4/3"
"Meet Dave",,"$487,914","7/24"
"Mañana te cuento 2",,"$470,656","2/14"
"P.S. I Love You",,"$461,245","4/17"
"Jumper",,"$432,907","3/27"
"Wanted",,"$425,722","7/24"
"The Spiderwick Chronicles",,"$418,514","3/20"
"Love in the Time of Cholera",,"$416,269","1/24"
"The Bucket List",,"$401,974","2/7"
"You Don't Mess with the Zohan",,"$395,604","8/21"
"Mirrors",,"$394,926","10/2"
"Made of Honor",,"$372,892","8/14"
"Taken",,"$368,706","9/18"
"Australia",,"$353,481","12/25"
"The X-Files: I Want to Believe",,"$347,758","8/21"
"Nim's Island",,"$328,747","10/2"
"Quarantine",,"$324,072","10/23"
"Valentino y el clan del can",,"$315,490","2/28"
"Urmel aus dem Eis",,"$299,345","10/8"
"Meet the Spartans",,"$291,178","4/3"
"Eagle Eye",,"$283,788","9/25"
"Rambo",,"$282,566","2/21"
"Tropic Thunder",,"$281,189","10/8"
