" Movie Title"," Gross"
"Shrek Forever After","$4,111,292"
"Toy Story 3","$3,753,051"
"Clash of the Titans (2010)","$2,949,559"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$2,457,326"
"Harry Potter and the Deathly Hallows (Part One)","$2,359,543"
"The Twilight Saga: Eclipse","$2,325,279"
"The Last Airbender","$2,120,847"
"Despicable Me","$2,092,292"
"Iron Man 2","$1,862,616"
"Prince of Persia: The Sands of Time","$1,845,122"
"Alice in Wonderland (2010)","$1,825,228"
"How to Train Your Dragon","$1,640,894"
"Alvin and the Chipmunks: The Squeakquel","$1,393,474"
"Legend of the Guardians: The Owls of Ga'Hoole","$1,330,099"
"Cats & Dogs: Revenge of Kitty Galore","$1,304,761"
"The Sorcerer's Apprentice","$1,290,696"
"Resident Evil: Afterlife","$1,262,371"
"Megamind","$1,253,184"
"Tron Legacy","$1,186,757"
"Old Dogs","$1,163,243"
"The Karate Kid","$1,036,228"
"Inception","$1,020,885"
"Robin Hood","$995,267"
"The Wolfman","$978,807"
"Paranormal Activity 2","$967,470"
"Percy Jackson & The Olympians: The Lightning Thief","$966,880"
"Tooth Fairy","$909,201"
"Sherlock Holmes","$798,823"
"A Nightmare on Elm Street (2010)","$770,114"
"Marmaduke","$685,981"
"Grown Ups","$646,840"
"Garfield's Pet Force","$644,106"
"Knight & Day","$611,861"
"Sex and the City 2","$607,576"
"Nanny McPhee and The Big Bang","$591,121"
"Shutter Island","$553,457"
"Life as We Know It","$540,281"
"Legion (2010)","$501,215"
"The Last Exorcism","$497,696"
"Piranha 3D","$494,194"
"Devil","$478,951"
"Furry Vengeance","$470,819"
"The Expendables","$454,296"
"Valentine's Day","$437,169"
"Predators","$434,779"
"Date Night","$426,137"
"The Spy Next Door","$422,376"
"Edge of Darkness","$408,339"
"The A-Team","$390,906"
"Salt","$377,221"
"The Back-Up Plan","$369,996"
"Skyline","$365,612"
"Hachiko: A Dog's Story","$362,576"
"The Hurt Locker","$362,288"
"Wall Street: Money Never Sleeps","$355,638"
"The Blind Side","$354,112"
"Eat Pray Love","$346,983"
"It's Complicated","$340,884"
"Going the Distance","$327,280"
"The Fourth Kind","$322,654"
"Vampires Suck","$316,645"
"Deadline (2010)","$313,997"
"The Social Network","$312,734"
"Tinker Bell and the Great Fairy Rescue","$309,056"
"Dorothy mills","$306,761"
"My Best Friend's Girl","$277,741"
"The Book of Eli","$273,559"
"The Haunting (2010)","$270,795"
"The Crazies","$270,361"
"The Bounty Hunter","$267,888"
"Killers","$254,090"
"Due Date","$247,240"
"Astro Boy","$245,227"
"The Town","$243,273"
"Avatar: Special Edition","$242,340"
"100 Feet","$237,707"
"Up in the Air","$236,327"
"Case 39","$233,664"
"Walled In","$232,673"
"Easy A","$211,654"
"Saw VI","$211,461"
"Invictus","$209,540"
"The Rebound","$207,529"
"The Other Guys","$207,262"
"The Lovely Bones","$203,133"
