" Movie Title"," Distributor"," Gross"," Release"
"Listy do M.","ITI","$12,605,088","11/10"
"The Smurfs","Sony","$5,254,893","8/4"
"Transformers 3","PPI","$4,208,435","6/30"
"Kung Fu Panda 2","PPI","$4,045,046","6/9"
"Rio","Fox","$3,854,491","4/7"
"Harry Potter and the Deathly Hallows (Part Two)","WB","$3,637,088","7/14"
"Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$3,152,332","5/19"
"The Twilight Saga: Breaking Dawn Part 1","Monolith","$2,956,463","11/17"
"Rise of the Planet of the Apes","Fox","$2,668,675","8/18"
"Captain America: The First Avenger","PPI","$2,388,006","7/28"
"Fast Five","UPI","$2,211,004","5/5"
"Thor","PPI","$1,970,451","4/28"
"Tangled","Disney","$1,934,530","1/20"
"Gulliver's Travels","Fox","$1,884,577","1/6"
"Yogi Bear","WB","$1,815,257","2/3"
"Real Steel","Disney","$1,644,517","10/6"
"Green Lantern","WB","$1,590,277","8/11"
"Paranormal Activity 3","PPI","$1,567,250","10/27"
"Mr. Popper's Penguins","Fox","$1,524,823","6/23"
"Zookeeper","Sony","$1,477,700","7/7"
"Final Destination 5","WB","$1,431,099","8/25"
"Tinker, Tailor, Soldier, Spy","ITI","$1,412,265","11/25"
"Cars 2","Disney","$1,401,796","7/21"
"X-Men: First Class","Fox","$1,359,250","6/2"
"Happy Feet Two","WB","$1,270,365","11/24"
"Pokaz kotku, co masz w srodku","Kino S'Wiat","$1,132,727","12/25"
"The Lion King (in 3D)","Disney","$1,129,086","8/25"
"Mission: Impossible - Ghost Protocol","UIP","$1,062,800","12/21"
"Just Go With It","Sony","$997,060","3/31"
"Rango","PPI","$985,057","3/3"
"Top Cat","WB","$960,880","10/13"
"Battle: Los Angeles","Sony","$877,734","3/10"
"The Rite","WB","$832,857","2/17"
"Dolphin Tale","WB","$824,515","9/29"
"The Hangover Part II","WB","$774,605","5/26"
"Hop","UPI","$774,000","4/21"
"No Strings Attached","PPI","$766,702","2/24"
"The Green Hornet","Sony","$697,553","2/3"
"Saw 3D","n/a","$688,746","3/3"
"Black Swan","Fox","$674,118","2/3"
"Horrible Bosses","WB","$667,465","7/21"
"Crazy, Stupid, Love.","WB","$660,660","9/1"
"The Adventures of Tintin","Sony","$652,860","12/25"
"Abduction","n/a","$646,768","9/22"
"Big Mommas: Like Father, Like Son","Fox","$642,257","3/17"
"Little Fockers","PPI","$641,367","1/6"
"The Tourist","Sony","$617,953","1/13"
"Gnomeo and Juliet","n/a","$613,958","5/5"
"The Rum Diary","Kino S'Wiat","$606,243","12/30"
"The King's Speech","n/a","$591,039","2/17"
"Tower Heist","UPI","$543,410","12/1"
"Red Riding Hood","WB","$509,891","4/21"
"Arthur Christmas","Sony","$492,091","12/1"
"Conan the Barbarian (2011)","n/a","$484,203","9/15"
"Johnny English Reborn","UPI","$443,164","11/3"
"Super 8","PPI","$436,670","8/4"
"Contagion","WB","$424,960","10/27"
"Insidious","n/a","$424,063","8/11"
"Cowboys & Aliens","PPI","$404,727","8/25"
"Sammy's Adventures: The Secret Passage","n/a","$402,636","2/17"
"The Muppets","Disney","$401,776","12/15"
"Dream House","WB","$398,880","10/13"
"Paranômaru akutibiti: Dai-2-shô - Tokyo Night","n/a","$398,862","12/29"
"Unknown","WB","$396,901","3/17"
"Bad Teacher","Sony","$393,665","9/8"
