" Movie Title",," Gross"," Release"
"Iron Man",,"$3,994,681","4/30"
"A Very Special Love",,"$3,836,701","7/30"
"Twilight",,"$3,812,947","11/26"
"The Dark Knight",,"$3,267,510","7/17"
"Caregiver",,"$3,108,225","5/28"
"For the First Time (2008)",,"$2,850,133","8/27"
"The Mummy: Tomb of the Dragon Emperor",,"$2,757,657","7/31"
"Kung Fu Panda",,"$2,560,515","6/6"
"My Bestfriend's Girlfriend",,"$2,426,782","2/13"
"Indiana Jones and the Kingdom of the Crystal Skull",,"$2,425,404","5/22"
"National Treasure: Book of Secrets",,"$2,354,779","1/8"
"10,000 B.C.",,"$2,182,342","3/5"
"Quantum of Solace",,"$2,175,414","11/5"
"Hancock",,"$2,147,217","7/3"
"Wanted",,"$2,108,304","6/27"
"The Incredible Hulk",,"$2,073,443","6/13"
"When Love Begins...",,"$2,045,900","4/30"
"Dobol Trobol: Lets Get Redi 2 Rambol! (Double Trouble)",,"$1,937,393","8/13"
"The Chronicles of Narnia: Prince Caspian",,"$1,808,650","6/4"
"Mag-ingat Ka Sa... Kulam",,"$1,783,109","10/1"
"Jumper",,"$1,722,746","2/13"
"My Big Love",,"$1,632,483","2/27"
"SupahPapalicious (Father and Son)",,"$1,595,284","3/22"
"My Only Ü",,"$1,585,999","10/29"
"Madagascar: Escape 2 Africa",,"$1,545,281","11/7"
"The Forbidden Kingdom",,"$1,518,110","4/16"
"I Am Legend",,"$1,509,056","1/8"
"High School Musical 3: Senior Year",,"$1,435,234","10/24"
"One True Love",,"$1,328,536","11/19"
"The Day the Earth Stood Still (2008)",,"$1,140,347","12/11"
"Eagle Eye",,"$987,765","9/26"
"Alien vs. Predator - Requiem",,"$899,937","1/23"
"Wall-E",,"$846,934","8/13"
"Max Payne",,"$775,703","10/15"
"Journey to the Center of the Earth",,"$755,376","7/10"
"Sex and the City",,"$754,116","5/28"
"Mamma Mia!",,"$746,565","7/10"
"Vantage Point",,"$723,747","2/20"
"Manay po 2: Overload",,"$713,437","4/16"
"Rambo",,"$707,739","1/23"
"Get Smart",,"$702,728","6/19"
"My Monster Mom",,"$661,652","7/2"
"Death Race",,"$642,433","8/22"
"Speed Racer",,"$638,364","5/8"
"Alvin and the Chipmunks",,"$629,715","1/16"
"You Don't Mess with the Zohan",,"$616,592","8/6"
"The Spiderwick Chronicles",,"$610,706","2/14"
"Babylon A.D.",,"$597,682","9/3"
"Bangkok Dangerous (2008)",,"$580,539","9/17"
"Dr. Seuss' Horton Hears a Who!",,"$580,089","3/22"
"Scaregivers",,"$576,890","11/26"
"Bolt",,"$564,838","11/26"
"Ikaw pa rin, bongga ka boy!",,"$557,212","5/14"
"What Happens in Vegas",,"$545,632","5/7"
"Hellboy II: The Golden Army",,"$545,358","9/10"
"Meet the Spartans",,"$538,039","3/12"
"Shutter",,"$512,632","4/2"
"I.T.A.L.Y. (I Trust and Love You)",,"$485,943","9/17"
"Step Up 2 the Streets",,"$462,753","3/12"
"Body of Lies",,"$458,918","10/9"
"The Happening",,"$450,303","6/11"
"27 Dresses",,"$437,273","1/30"
"Cloverfield",,"$413,374","1/30"
"Tropic Thunder",,"$394,934","10/8"
"Doomsday",,"$390,477","4/2"
"Fool's Gold",,"$378,451","3/22"
"D-War (Dragon Wars)",,"$357,099","1/16"
"The Water Horse: Legend of the Deep",,"$354,801","2/27"
"Made of Honor",,"$334,483","6/18"
"Bee Movie",,"$322,840","1/8"
"The X-Files: I Want to Believe",,"$310,879","8/13"
"Superhero Movie",,"$308,611","4/16"
"Quarantine",,"$305,137","12/3"
"Mirrors",,"$285,081","10/1"
"Big Stan",,"$281,325","8/20"
"Ploning",,"$278,803","4/30"
"21",,"$263,328","5/28"
"The Eye",,"$260,384","2/6"
"One Missed Call",,"$256,965","1/30"
"Urduja",,"$253,087","6/18"
"Sweeney Todd: The Demon Barber of Fleet Street",,"$230,499","1/16"
"Street Kings",,"$222,552","4/16"
"Meet Dave",,"$214,077","7/23"
"In the Name of the King: A Dungeon Siege Tale",,"$212,027","1/30"
"Passengers",,"$207,854","11/12"
"Star Wars: The Clone Wars",,"$190,307","8/20"
"Flood (2007)",,"$188,916","7/23"
"The Heartbreak Kid",,"$177,707","1/16"
"Nights in Rodanthe",,"$177,335","10/22"
"The Mist",,"$176,424","2/6"
"Righteous Kill",,"$174,908","9/10"
"Prom Night (2008)",,"$168,428","7/23"
"Four Christmases",,"$163,685","12/3"
"Disaster Movie",,"$161,542","9/24"
"The Strangers",,"$157,459","10/15"
"Nim's Island",,"$156,882","4/9"
"The Gravedancers",,"$156,660","8/27"
"City of Ember",,"$156,214","10/29"
