" Movie Title"," Gross"
"Transformers 3","$9,770,818"
"The Unkabogable Praybeyt Benjamin","$7,654,855"
"Harry Potter and the Deathly Hallows (Part Two)","$6,955,628"
"No Other Woman","$6,522,701"
"The Twilight Saga: Breaking Dawn Part 1","$5,719,162"
"Kung Fu Panda 2","$4,597,619"
"Thor","$4,027,405"
"Mission: Impossible - Ghost Protocol","$3,768,446"
"X-Men: First Class","$3,609,496"
"Pirates of the Caribbean: On Stranger Tides (3D)","$3,584,297"
"Captain America: The First Avenger","$3,577,307"
"Green Lantern","$3,086,785"
"Fast Five","$2,909,053"
"Catch Me... I'm in Love","$2,785,978"
"In the Name of Love","$2,719,970"
"Real Steel","$2,502,151"
"Johnny English Reborn","$2,255,352"
"Won't Last a Day Without You","$2,006,123"
"Gulliver's Travels","$1,879,756"
"Rise of the Planet of the Apes","$1,855,723"
"Pak! Pak! My Dr. Kwak!","$1,790,877"
"Happy Feet Two","$1,690,419"
"Cars 2","$1,690,149"
"Rio","$1,649,922"
"Bulong (Whisper)","$1,541,139"
"I Am Number Four","$1,535,755"
"Temptation Island (2011)","$1,426,751"
"Puss in Boots","$1,423,066"
"The Tourist","$1,415,919"
"Final Destination 5","$1,406,319"
"Who's That Girl?","$1,348,109"
"Red Riding Hood","$1,334,699"
"The Smurfs","$1,213,213"
"Sucker Punch","$1,114,810"
"The Green Hornet","$1,110,899"
"Tangled","$1,082,188"
"Priest","$1,055,353"
"Forever and a Day","$1,049,218"
"My Valentine Girls","$1,013,920"
"Super 8","$956,962"
"Battle: Los Angeles","$911,528"
"Immortals","$879,832"
"In Time","$861,037"
"Wedding Tayo, Wedding Hindi!","$860,697"
"The Road (2011)","$849,565"
"Tween Academy: Class of 2012","$758,882"
"Zombadings 1: Patayin sa shokot si Remington","$741,838"
"Aswang","$722,156"
"Ang babae sa septic tank (Woman in the Septic Tank)","$711,177"
"Cowboys & Aliens","$709,169"
"The Hangover Part II","$676,073"
"Crazy, Stupid, Love.","$662,932"
"Season of the Witch","$644,024"
"Just Go With It","$639,198"
"Contagion","$635,652"
"My Neighbor's Wife","$631,793"
"Little Fockers","$612,951"
"Way Back Home","$609,832"
"Rango","$598,954"
"Unknown","$567,820"
"Paranormal Activity 3","$560,761"
"The Adjustment Bureau","$528,502"
"Mr. Popper's Penguins","$502,199"
"Monte Carlo","$493,883"
"Love and Other Drugs","$482,563"
"Conan the Barbarian (2011)","$480,631"
"The Adventures of Pureza: Queen of the Riles","$468,883"
"The Three Musketeers (2011)","$453,910"
"Tower Heist","$421,347"
"The Adventures of Tintin","$416,630"
"New Year's Eve","$416,253"
"The Rite","$394,565"
"The Mechanic","$355,786"
"Yogi Bear","$346,632"
"127 Hours","$329,591"
"The Roommate","$322,610"
"Drive Angry","$322,358"
"Fright Night (2011)","$317,024"
"Justin Bieber: Never Say Never","$315,777"
"Friends with Benefits","$290,234"
"Source Code","$278,534"
"Big Mommas: Like Father, Like Son","$266,331"
"Hop","$264,282"
"What's Your Number?","$260,046"
"Beastly","$245,682"
"Tumbok","$244,040"
"Black Swan","$243,435"
"Horrible Bosses","$230,608"
"Sanctum (3D)","$230,131"
"Abduction","$223,407"
"Gnomeo and Juliet","$219,460"
"Arthur (2011)","$218,224"
"Bad Teacher","$216,037"
"Burlesque","$191,041"
"The Change-Up","$181,574"
"Dolphin Tale","$180,242"
"Hall Pass","$180,151"
"Zookeeper","$176,706"
"Mars Needs Moms","$175,037"
"Hereafter","$173,317"
"The Sorcerer and the White Snake","$163,718"
"Colombiana","$159,109"
"Scream 4","$152,525"
"Diary of a Wimpy Kid: Rodrick Rules","$145,779"
"Spy Kids: All the Time in the World","$142,442"
"Faster","$141,530"
"Ikaw ang pag-ibig","$126,531"
"Insidious","$126,383"
"Tum: My Pledge of Love","$119,580"
"Dream House","$118,969"
"The Lion King (in 3D)","$116,584"
"Limitless","$112,131"
"Dylan Dog: Dead of Night","$109,469"
"Prom","$108,772"
"Water for Elephants","$104,215"
"How Do You Know","$103,614"
"Trespass (2011)","$97,841"
"Arthur Christmas","$92,484"
"La posesión de Emma Evans","$88,049"
"The Thing (2011)","$80,718"
"Glee The 3D Concert Movie","$80,018"
"Killer Elite","$76,549"
"Shaolin Temple","$67,521"
"Don't Be Afraid of the Dark","$67,043"
"Paul","$66,230"
"Vanishing on 7th Street","$60,922"
"Something Borrowed","$58,616"
"Shark Night 3D","$49,574"
"One Day","$47,467"
"The Warrior's Way","$47,454"
"Blitz","$46,323"
"30 Minutes or Less","$46,171"
"There Be Dragons","$45,053"
"True Grit","$44,945"
"The Ward (2011)","$37,290"
"The Lincoln Lawyer","$34,871"
"Bridesmaids","$32,487"
"Warrior","$32,130"
"Thelma (2011)","$31,869"
"Larry Crowne","$31,693"
"Apollo 18","$26,377"
"Män som hatar kvinnor (The Girl with the Dragon Tattoo)","$25,663"
"Phantom of the Opera (25th Anniversary)","$23,265"
"The Howling: Reborn","$21,011"
"The Tree of Life","$19,490"
"Hanna","$18,103"
"From Prada to Nada","$17,355"
"I Don't Know How She Does It","$15,934"
"Winnie the Pooh","$12,251"
"Never Let Me Go","$11,264"
"Deep Gold","$9,868"
"The Beaver","$9,770"
