" Movie Title"," Gross"
"Shrek the Third","$18,014,551"
"Katyn","$13,558,634"
"Testosteron","$7,325,461"
"Ratatouille","$6,184,477"
"Harry Potter and the Order of the Phoenix","$5,830,726"
"Pirates of the Caribbean: At World's End","$5,707,873"
"Dlaczego nie!","$5,579,893"
"Swaidek Koronny","$4,891,205"
"Bee Movie","$4,621,610"
"Rys","$4,262,066"
"300","$3,091,535"
"Surf's Up","$2,739,652"
"Mr. Bean's Holiday","$2,674,083"
"Perfume - The Story of a Murderer","$2,475,809"
"Live Free or Die Hard","$2,270,171"
"The Golden Compass","$2,248,324"
"Ranczo Wilkowyje","$2,240,641"
"Night at the Museum","$2,222,611"
"The Heartbreak Kid","$2,183,081"
"Transformers","$2,135,366"
"U Pana Boga W Ogrodku","$1,765,708"
"U Pana Boga za miedza","$1,484,629"
"Spider-Man 3","$1,470,550"
"Meet the Robinsons","$1,455,559"
"1408","$1,454,287"
"Stardust","$1,419,141"
"Deja Vu","$1,408,201"
"Ocean's Thirteen","$1,367,618"
"Alien vs. Predator - Requiem","$1,357,896"
"The Bourne Ultimatum","$1,355,922"
"The Simpsons Movie","$1,329,539"
"Beowulf","$1,316,117"
"Arthur et les Minimoys (Arthur and the Invisibles)","$1,305,875"
"Grindhouse: Death Proof","$1,304,833"
"Knocked Up","$1,038,250"
"Saw III","$894,842"
"Hitman","$891,018"
"Shark Bait (a.k.a. The Reef)","$878,635"
"Bridge to Terabithia","$855,715"
"The Nanny Diaries","$848,202"
"Sztuczki","$838,815"
"El Laberinto del Fauno (Pan's Labyrinth)","$838,086"
"The Queen","$793,583"
"Evan Almighty","$789,910"
"Happily N'Ever After","$754,856"
"Superbad","$722,408"
"Fracture","$683,473"
"La Môme (La Vie en Rose)","$657,236"
"Next","$656,425"
"Death at a Funeral","$645,029"
"Hannibal Rising","$635,111"
"TMNT","$633,675"
"I Could Never Be Your Woman","$629,098"
"I Now Pronounce You Chuck and Larry","$623,886"
"Ghost Rider","$619,125"
"Premonition","$598,927"
"Perfect Stranger","$591,584"
"Norbit","$580,388"
"El Ratón Pérez","$572,997"
"Scoop","$556,465"
"Because I Said So","$541,080"
"Halloween (2007)","$517,997"
"Resident Evil: Extinction","$511,689"
"Music and Lyrics","$476,378"
"Hostel Part II","$474,072"
"Zodiac","$472,647"
"The Grudge 2","$463,922"
"Franklin et le trésor du lac","$439,400"
"The Haunting in Connecticut","$436,538"
"Charlotte's Web","$429,668"
"Michael Clayton","$426,505"
"Love in the Time of Cholera","$416,210"
"Obsluhoval jsem anglického krále (I Served the King of England)","$406,602"
"7 Zwerge - Der Wald ist nicht genug","$396,264"
"Hors de prix (Priceless)","$391,890"
"Taxi 4","$374,933"
"The Reaping","$371,678"
"Love and Other Disasters","$357,346"
"Rendition","$349,936"
"Wild Hogs","$342,180"
"Mr. Brooks","$341,050"
"Marie Antoinette","$335,324"
"Disturbia","$328,736"
"The Hills Have Eyes 2","$326,674"
"No Reservations","$318,446"
"Lions for Lambs","$307,236"
"Grindhouse: Planet Terror","$305,463"
"The Pursuit of Happyness","$302,532"
"Shooter","$301,859"
"Blood Diamond","$274,737"
"Georgia Rule","$273,022"
"Everyone's Hero","$263,960"
"Rush Hour 3","$256,808"
"Ne le dis à personne (Tell No One)","$254,366"
"Vacancy","$246,842"
"Curse of the Golden Flower (Man cheng jin dai huang jin jia)","$242,789"
"Dragon Hill. La colina del dragón","$238,107"
"The Last King of Scotland","$233,837"
"A Mighty Heart","$221,702"
"Fantastic Four: Rise of the Silver Surfer","$215,935"
"Sunshine","$215,490"
"The Brave One","$208,680"
"Evening","$205,509"
"In the Land of Women","$198,490"
"The Black Dahlia","$194,050"
"Notes on a Scandal","$190,546"
"Dreamgirls","$180,745"
"Mr. Magorium's Wonder Emporium","$168,066"
"The Jane Austen Book Club","$167,970"
"Captivity","$160,970"
"The Messengers","$158,690"
"Tryptyk rzymski","$156,713"
"Pathfinder: Legend of the Ghost Warrior","$152,072"
"The Illusionist","$149,769"
"3:10 to Yuma (2007)","$142,124"
"Rocky Balboa","$135,167"
"The Fountain","$134,863"
"Hot Fuzz","$124,740"
"Feast of Love","$123,569"
"Goya's Ghosts","$119,799"
"The Invasion","$119,034"
"It's a Boy Girl Thing","$104,341"
"Jasne Blekitne Okna","$101,272"
"Hairspray (2007)","$98,348"
"Stranger Than Fiction","$97,650"
"28 Weeks Later","$94,036"
"Inland Empire","$90,186"
"The Prestige","$84,163"
"Turistas","$83,501"
"The Good Shepherd","$80,613"
"Korowod","$72,497"
"Becoming Jane","$71,302"
"Ensemble, c'est tout (Hunting and Gathering)","$68,177"
"Thank You for Smoking","$65,169"
"Epic Movie","$61,047"
"Little Miss Sunshine","$60,682"
"Prête-moi ta main (I Do)","$60,129"
"Wszystko bedzie dobrze","$59,185"
"Das Leben der Anderen (The Lives of Others)","$58,693"
"Blades of Glory","$58,429"
"Bezmiar sprawiedliwosci","$54,455"
"Skinwalkers","$43,980"
"The Invisible","$41,858"
"Mein Führer - Die wirklich wahrste Wahrheit über Adolf Hitler","$38,700"
"Employee of the Month","$34,568"
"Pora umierac","$30,322"
"Dnevnoy dozor (Day Watch)","$25,486"
"Blood and Chocolate","$25,413"
"Code Name: The Cleaner","$21,065"
"The Namesake","$14,610"
"Waitress","$11,449"
"Zwartboek (Black Book)","$9,948"
"The History Boys","$9,922"
"An Inconvenient Truth","$8,938"
"Firehouse Dog","$6,801"
"Flicka","$5,055"
