" Movie Title"," Distributor"," Gross"," Release"
"Lejdis","ITI","$18,484,522","2/1"
"Nie klam, kochanie","ITI","$10,485,836","3/28"
"Kung Fu Panda","UIP","$8,800,026","7/4"
"Mamma Mia!","UIP","$7,875,087","8/29"
"Indiana Jones and the Kingdom of the Crystal Skull","UIP","$7,128,621","5/22"
"The Chronicles of Narnia: Prince Caspian","Forum Films","$5,438,475","5/30"
"To nie tak jak myslisz, kotku","Kino S'Wiat","$5,233,993","11/14"
"Quantum of Solace","UIP","$4,999,618","11/7"
"Bolt","Forum Films","$4,846,800","11/28"
"Swiadectwo","Kinowelt","$4,572,334","10/17"
"Wall-E","Forum Films","$4,510,025","7/18"
"Astérix aux jeux olympiques","SPI Int'l","$3,993,868","1/25"
"The Dark Knight","WB","$3,798,738","8/8"
"Fly Me to the Moon","ITI","$3,727,304","10/10"
"Jeszcze raz","Monolith","$3,672,674","1/4"
"Ile wazy kon trojanski?","Monolith","$3,589,300","12/26"
"Hancock","UIP","$3,452,807","7/11"
"The Mummy: Tomb of the Dragon Emperor","UIP","$3,394,484","8/1"
"High School Musical 3: Senior Year","Forum Films","$3,178,250","10/24"
"Step Up 2 the Streets","Monolith","$3,089,073","2/29"
"Enchanted","Forum Films","$3,050,486","1/18"
"Dr. Seuss' Horton Hears a Who!","Cinepix","$2,957,038","4/11"
"National Treasure: Book of Secrets","Forum Films","$2,646,637","1/4"
"Sex and the City","WB","$2,348,251","6/20"
"Alvin and the Chipmunks","Cinepix","$2,246,736","1/11"
"Rozmowy noca (Midnight Talks)","SPI Int'l","$2,174,137","2/14"
"Burn After Reading","Best","$2,131,182","10/24"
"Wanted","UIP","$2,081,055","6/27"
"I Am Legend","WB","$2,029,623","1/11"
"Urmel aus dem Eis","Vision","$1,703,357","2/8"
"You Don't Mess with the Zohan","UIP","$1,651,056","9/12"
"El Orfanato (The Orphanage)","Kinowelt","$1,546,476","5/9"
"The Mist","Kino S'Wiat","$1,534,536","3/7"
"American Gangster","UIP","$1,452,179","1/25"
"2 Days in Paris","Kino S'Wiat","$1,426,834","5/30"
"Mala wielka milosc (Expecting Love)","ITI","$1,415,232","2/29"
"What Happens in Vegas","Cinepix","$1,347,590","5/9"
"10,000 B.C.","WB","$1,338,064","3/14"
"Babylon A.D.","Vision","$1,264,474","9/19"
"Journey to the Center of the Earth","WB","$1,249,861","8/22"
"Cassandra's Dream","Kinowelt","$1,202,635","4/25"
"Forgetting Sarah Marshall","UIP","$1,167,140","8/8"
"[Rec]","Kinowelt","$1,113,393","8/14"
"The Happening","Cinepix","$1,096,850","6/13"
"Space Chimps","Monolith","$1,073,596","8/29"
"Jumper","Cinepix","$1,065,828","2/14"
"The Other Boleyn Girl","Monolith","$1,054,190","6/6"
"Atonement","UIP","$1,053,008","2/8"
"Awake","ITI","$1,045,482","8/22"
"The Water Horse: Legend of the Deep","UIP","$1,035,989","2/22"
"Made of Honor","UIP","$1,030,648","7/25"
"The Women (2008)","Monolith","$1,007,162","10/10"
"Iron Man","UIP","$995,816","4/30"
"The Eye","Kino S'Wiat","$988,381","3/28"
"Mala Moskwa (Little Moscow)","Syrena","$967,443","11/28"
"Juno","Monolith","$965,400","4/4"
"Yes Man","WB","$962,362","12/26"
"Saw V","Kinowelt","$946,072","10/24"
"Taken","Monolith","$937,514","8/15"
"No Country for Old Men","UIP","$919,082","2/15"
"Make It Happen","Kinowelt","$897,799","12/19"
"My Best Friend's Girl","Monolith","$894,313","11/21"
"Tropic Thunder","UIP","$852,549","9/26"
"Australia","Cinepix","$851,258","12/26"
"P.S. I Love You","Monolith","$850,527","2/14"
"33 sceny z zycia","Kino S'Wiat","$847,137","11/7"
