" Movie Title"," Gross"
"Shrek the Third","$4,855,854"
"Ratatouille","$4,168,055"
"Bee Movie","$3,266,684"
"Pirates of the Caribbean: At World's End","$3,063,423"
"Mr. Bean's Holiday","$2,887,271"
"Harry Potter and the Order of the Phoenix","$2,881,941"
"Spider-Man 3","$2,608,126"
"I Am Legend","$2,157,257"
"The Simpsons Movie","$2,077,224"
"Blood Diamond","$1,888,649"
"National Treasure: Book of Secrets","$1,861,449"
"Transformers","$1,795,481"
"Ocean's Thirteen","$1,789,744"
"Call Girl","$1,610,085"
"The Golden Compass","$1,601,873"
"The Heartbreak Kid","$1,439,943"
"Night at the Museum","$1,419,274"
"Live Free or Die Hard","$1,407,774"
"American Gangster","$1,404,196"
"Corrupção","$1,364,024"
"The Bourne Ultimatum","$1,314,403"
"300","$1,307,159"
"Norbit","$1,306,602"
"Apocalypto","$1,255,837"
"Beowulf","$1,207,715"
"Wild Hogs","$1,090,708"
"Enchanted","$1,087,947"
"Surf's Up","$1,072,599"
"I Now Pronounce You Chuck and Larry","$1,062,225"
"Evan Almighty","$1,006,707"
"Rush Hour 3","$988,543"
"Meet the Robinsons","$940,549"
"Elizabeth: The Golden Age","$868,526"
"Knocked Up","$844,062"
"Charlotte's Web","$824,130"
"Alvin and the Chipmunks","$802,543"
"Fantastic Four: Rise of the Silver Surfer","$778,998"
"Disturbia","$775,298"
"Ghost Rider","$773,720"
"Scoop","$763,919"
"Music and Lyrics","$742,003"
"Fracture","$709,160"
"Stardust","$700,216"
"The Good Shepherd","$669,177"
"Resident Evil: Extinction","$658,905"
"Hitman","$656,765"
"The Brave One","$612,842"
"Zodiac","$609,447"
"Rocky Balboa","$605,102"
"The Kingdom","$581,107"
"Mr. Brooks","$573,946"
"I Could Never Be Your Woman","$533,676"
"Shooter","$533,223"
"The Pursuit of Happyness","$524,091"
"Happily N'Ever After","$515,118"
"No Reservations","$506,260"
"Next","$505,428"
"License to Wed","$492,410"
"Lions for Lambs","$491,228"
"The Last Legion","$490,987"
"1408","$478,407"
"Good Luck Chuck","$473,808"
"Grindhouse: Death Proof","$469,879"
"Hannibal Rising","$469,269"
"Dreamgirls","$443,768"
"Epic Movie","$442,603"
"The Reaping","$419,238"
"Perfect Stranger","$417,898"
"The Last King of Scotland","$414,049"
"TMNT","$399,587"
"Eastern Promises","$390,749"
"Because I Said So","$382,584"
"The Invasion","$381,717"
"Shark Bait (a.k.a. The Reef)","$359,366"
"Letters from Iwo Jima","$333,221"
"Hairspray (2007)","$332,811"
"Little Children","$317,152"
"Smokin' Aces","$301,219"
"The Number 23","$296,435"
"A Mighty Heart","$291,700"
"Superbad","$271,634"
"Love and Other Disasters","$269,359"
"Notes on a Scandal","$259,165"
"The Painted Veil","$246,786"
"Breaking and Entering","$242,087"
"Georgia Rule","$239,362"
"Trust the Man","$236,027"
"Premonition","$229,695"
"The Wicker Man","$229,532"
"Flags of Our Fathers","$214,912"
"Vacancy","$213,948"
