" Movie Title"," Gross"
"Mamma Mia!","$5,378,097"
"Madagascar: Escape 2 Africa","$4,739,673"
"Indiana Jones and the Kingdom of the Crystal Skull","$4,075,860"
"Kung Fu Panda","$3,322,483"
"Astérix aux jeux olympiques","$2,937,385"
"Quantum of Solace","$2,521,917"
"Bolt","$2,228,595"
"The Dark Knight","$2,163,700"
"Wall-E","$1,892,821"
"The Mummy: Tomb of the Dragon Emperor","$1,861,802"
"Hancock","$1,810,955"
"Wanted","$1,788,935"
"Australia","$1,771,139"
"Sex and the City","$1,555,845"
"Journey to the Center of the Earth","$1,517,190"
"Atonement","$1,363,712"
"Dr. Seuss' Horton Hears a Who!","$1,339,227"
"Iron Man","$1,323,382"
"10,000 B.C.","$1,306,175"
"What Happens in Vegas","$1,280,336"
"The Bucket List","$1,275,514"
"Yes Man","$1,227,220"
"Amália","$1,209,841"
"The Chronicles of Narnia: Prince Caspian","$1,188,368"
"Twilight","$1,174,576"
"Burn After Reading","$1,155,313"
"Charlie Wilson's War","$1,142,375"
"Get Smart","$1,137,762"
"Jumper","$1,098,125"
"The Day the Earth Stood Still (2008)","$1,085,770"
"No Country for Old Men","$1,068,983"
"Blindness","$1,011,160"
"Sweeney Todd: The Demon Barber of Fleet Street","$954,271"
"Babylon A.D.","$939,281"
"The Tale of Despereaux","$934,104"
"Fool's Gold","$896,354"
"Tropic Thunder","$880,884"
"Body of Lies","$877,852"
"You Don't Mess with the Zohan","$858,609"
"Eagle Eye","$844,077"
"Michael Clayton","$827,658"
"Made of Honor","$811,154"
"The X-Files: I Want to Believe","$758,076"
"Nights in Rodanthe","$750,000"
"Cloverfield","$722,523"
"Alien vs. Predator - Requiem","$718,767"
"The Incredible Hulk","$712,895"
"High School Musical 3: Senior Year","$699,477"
"Rambo","$667,068"
"Death Race","$660,194"
"The Happening","$657,438"
"Hellboy II: The Golden Army","$656,521"
"Vantage Point","$626,873"
"The Spiderwick Chronicles","$614,178"
"Winx club - Il segreto del regno perduto (Winx Club: The Secret of the Lost Kingdom)","$600,805"
"Saw V","$592,687"
"Saw IV","$578,428"
"P.S. I Love You","$566,516"
"The Other Boleyn Girl","$541,938"
"Juno","$529,529"
"Superhero Movie","$527,382"
"Forgetting Sarah Marshall","$491,688"
"21","$485,795"
"Righteous Kill","$482,970"
"Definitely, Maybe","$478,560"
"88 Minutes","$468,059"
"The Ugly Duckling and Me!","$465,854"
"Meet the Spartans","$464,379"
"Space Chimps","$454,400"
"Donkey Xote","$434,864"
"Max Payne","$425,116"
"The Forbidden Kingdom","$403,071"
"Tropa de Elite (Elite Squad)","$375,999"
"Four Christmases","$373,705"
"Meet Dave","$367,982"
"Love in the Time of Cholera","$362,803"
"There Will Be Blood","$349,358"
"My Blueberry Nights","$333,914"
"Cassandra's Dream","$332,241"
"Mirrors","$328,626"
"27 Dresses","$322,772"
"Dan in Real Life","$315,533"
"Street Kings","$301,514"
"Awake","$299,208"
"[Rec]","$280,887"
"Bienvenue chez les Ch'tis","$280,583"
"3:10 to Yuma (2007)","$274,078"
"Feast of Love","$273,588"
"W.","$270,334"
